concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count,concept_norm,source_weight_total,source_weight_profile,priority_score,priority_band,risk_flags,ws_west_status,ws_south_status,ws_candidates,ws_lang_forms,c2_context_covered,main_sources,canonical_or_ledger_terms,lane_status_summary,weighted_top_by_scheme,weighted_current_scores,weighted_best_noncurrent,weighted_review_question,isv_source_cue,isv_cyr_source_cue,uk_source_cue,ru_source_cue,register_doublet_group,register_branch_profile,register_doublet_policy,register_evidence
ring,curriculum_algebra,yes,Automorphismenring; Dieselben Überlegungen gelten für den Multiplikationsring,ring,власне підкільце,двусторонне неразложимые кольца,,,okruh [C],okruh [C],pierścień [C],kolobar [C],prsten [C],prăsten [C],anillo,anneau,aneis,anel,anell,anelli,inele,rintg,حلقة,حلقه,gelanggang,3,review_priority,weight_sensitive,0.125,5,ring,5.65,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.2, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.5, ""lane_interslavic"": 0.2, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5, ""native_ws_context_shelf"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",90,A_review_now,review_priority; WS_competitor_only_both; internal_variance,competitor_only,competitor_only,"{""bg prăsten"": 69, ""cs/sk okruh"": 540, ""hr/sr prsten"": 858, ""pl pierścień"": 283, ""sl kolobar"": 984}","{""bg"": [""bg prăsten""], ""cs"": [""cs/sk okruh""], ""hr"": [""hr/sr prsten""], ""pl"": [""pl pierścień""], ""sk"": [""cs/sk okruh""], ""sl"": [""sl kolobar""], ""sr"": [""hr/sr prsten""]}",yes,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_cuni_telesa_pole_note.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_algebra2_galois.txt,de:Automorphismenring; Halbeinfacher Ring; Homomorphiesatz für Ringe; Produktenring; Quotientenring; Restklassenbereich / Restklassenring; echter Unterring; zweiseitig unzerlegbare Ringe; uk:власне підкільце; двосторонньо нерозкладні кільця; кільце автоморфізмів; кільце добутку; ru:двусторонне неразложимые кольца; кольцо автоморфизмов; кольцо произведения; кольцо частных; isv:dvustranno nerazložime kolca; kolco avtomorfizmov; kolco kvocientov; kolco produkta; isv_cyr:властно подколцо; двустранно неразложиме колца; колцо автоморфизмов; колцо квоциентов,"{""arabic_farsi_persianate"": ""ar:fallback_attested_needs_review; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""fallback_attested_needs_review"", ""interslavic"": ""provisional_review_needed"", ""malay_indonesian"": ""shared_promotable_seed"", ""pan_romance"": ""interlingua_source_hit""}","{""dependence_pd"": ""prsten / pierścień / prăsten coalition"", ""equal_branch"": ""prsten / pierścień / prăsten coalition"", ""equal_splits"": ""prsten / pierścień / prăsten coalition"", ""population_proxy"": ""kolco""}","{""dependence_pd"": 0.18181818181818182, ""equal_branch"": 0.3333333333333333, ""equal_splits"": 0.3333333333333333, ""population_proxy"": 0.6317898486197685}",prsten / pierścień / prăsten coalition,"Current 'kolco' vs branch-attested alternatives: which serves family-central passive recognizability best, and is a doublet required for West readers?",Zato najprvo treba razsmotriti diskriminantne idealy primarnyh kolc.,Зато најпрво треба разсмотрити дискриминантне идеалы примарных колц.,,,,,,
quotient field,curriculum_algebra,,Quotientenkörper,quotient field,поле часток,поле частных,polje kvocientov,поље квоциентов,cs podílové těleso [C],,pl ciało ułamków [C],,,,,,,,,,,,,,,,review_priority,weight_sensitive,-0.05260867805391403,,quotient field,2.55,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",68,A_review_now,review_priority; WS_competitor_only_one_branch; internal_variance,competitor_only,no_hit,"{""cs podílové těleso"": 24, ""pl ciało ułamków"": 12}","{""cs"": [""cs podílové těleso""], ""pl"": [""pl ciało ułamków""]}",,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,de:Quotientenkörper; uk:поле часток; ru:поле частных; isv:polje kvocientov; isv_cyr:поље квоциентов,{},"{""dependence_pd"": ""West native quotient-field terms"", ""equal_branch"": ""tie: polje kvocientov / kvocientno polje / West native quotient-field terms"", ""equal_splits"": ""tie: polje kvocientov / kvocientno polje / West native quotient-field terms"", ""population_proxy"": ""polje kvocientov / kvocientno polje""}","{""dependence_pd"": 0.18181818181818182, ""equal_branch"": 0.3333333333333333, ""equal_splits"": 0.3333333333333333, ""population_proxy"": 0.6317898486197685}",West native quotient-field terms,"Current kvocient-family forms are internally non-uniform: polje kvocientov (p06/p24/p30) vs kvocientno polje (p09; later source-fidelity contexts). West shelf has native competitor forms (cs podílové těleso, pl ciało ułamków); South remains no-hit. Which form/order/doublet policy best serves family-central recognizability?",,,,,,,,
corollary,proof_grammar,yes,Dedekindsche Folgerung I/II; Folgerung,corollary,додаток,дополнение,,,důsledek [C],,wniosek [C],,≈Dedekindov poslědok I/II [S]; posljedica [C],edstvie [C],,,,,,,,,نتيجة,نتیجه,akibat/korolari,3,variant_or_doublet_note,stable,-0.253,4,corollary,5.87,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.12, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",40,B_variant_or_backfill,variant_or_doublet_note; WS_competitor_only_one_branch,competitor_only,support+competitor,"{""bg sledstvie"": 1, ""cognate of ISV form"": 15, ""cs důsledek"": 63, ""hr posljedica"": 19, ""pl wniosek"": 103}","{""bg"": [""bg sledstvie""], ""cs"": [""cs důsledek""], ""hr"": [""cognate of ISV form"", ""hr posljedica""], ""pl"": [""pl wniosek""]}",yes,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:polish_uwr_algebra2_rings.txt,de:Dedekindsche Folgerung I/II; Folgerung; uk:наслідок; наслідок Dedekind I/II; ru:следствие; следствие Dedekind I/II; isv:Dedekindov poslědok I/II; poslědok; isv_cyr:Дедекиндов последок I/II; последок,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""attested_needs_review"", ""malay_indonesian"": ""variant_pair_required""}","{""dependence_pd"": ""korolar?"", ""equal_branch"": ""korolar?"", ""equal_splits"": ""korolar?"", ""population_proxy"": ""korolar?""}","{""dependence_pd"": 0.45454545454545453, ""equal_branch"": 0.6666666666666666, ""equal_splits"": 0.4444444444444444, ""population_proxy"": 0.7163846838824577}",West native corollary terms,Confirm 'korolar?' (support pattern acceptable) or note preferred variant policy.,Dedekindov poslědok I/II,Дедекиндов последок I/II,,,consequence,důsledek(cs): W142/S4/E0; konsekwencja(pl): W10/S0/E0; posledica(S): W0/S180/E0; следстви(E/bg): W0/S3/E2,"pan-root anchor: důsledek(cs); branch aliases: W=['konsekwencja(pl)'] S=['posledica(S)', 'следстви(E/bg)']",REGISTER_DOUBLET_BRANCH_EVIDENCE_v2_20260704.json (mechanical_probe 0.5)
theorem,proof_grammar,yes,Damit ist der Satz bewiesen; Hilbertscher Satz von der Modulbasis,theorem,Теорема I,Теорема I,,,věta [C],(ascii) [C],twierdzenie [C],,≈Hilbertov teorem o bazisu modula [S],≈Hilbertov teorem o bazisu modula [S],teorema,theoreme,teorema,teorema,teorema,teorema,teorema,,مبرهنات,قضیه,teorem/teorema,3,variant_or_doublet_note,stable,-0.312,5,theorem,6.41,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.16, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",40,B_variant_or_backfill,variant_or_doublet_note; WS_competitor_only_one_branch,competitor_only,support,"{""cognate of ISV form"": 231, ""cs věta"": 237, ""cs/sk (ascii)"": 122, ""pl twierdzenie"": 280}","{""bg"": [""cognate of ISV form""], ""cs"": [""cs věta""], ""hr"": [""cognate of ISV form""], ""pl"": [""pl twierdzenie""], ""sk"": [""cs/sk (ascii)""], ""sr"": [""cognate of ISV form""]}",yes,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_left_ideals_idempotents.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt,de:satz; sätze; saetze,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""source_backed_promotable_seed"", ""malay_indonesian"": ""variant_pair_required"", ""pan_romance"": ""interlingua_source_hit""}","{""dependence_pd"": ""teorema"", ""equal_branch"": ""teorema"", ""equal_splits"": ""teorema"", ""population_proxy"": ""teorema""}","{""dependence_pd"": 0.5454545454545454, ""equal_branch"": 0.6666666666666666, ""equal_splits"": 0.5555555555555556, ""population_proxy"": 0.751113089937667}",West native theorem terms,Confirm 'teorema' (support pattern acceptable) or note preferred variant policy.,Hilbertov teorem o bazisu modula,Теорем ВИ / Теорем ВИИ,,,,,,
extension (field),,,,extension (field),,,razširjenje?,,cs rozšíření [C],,pl rozszerzenie [C],cognate of ISV form [S],hr proširenje [C],,,,,,,,,,,,,,variant_or_doublet_note,weight_sensitive,-0.033797458107342346,,extension (field),2.25,"{""adverse_competitor_channel"": 0.9, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",30,B_variant_or_backfill,variant_or_doublet_note; WS_competitor_only_one_branch,competitor_only,support+competitor,"{""cognate of ISV form"": 175, ""cs rozšíření"": 268, ""hr proširenje"": 26, ""pl rozszerzenie"": 227}","{""cs"": [""cs rozšíření""], ""hr"": [""hr proširenje""], ""pl"": [""pl rozszerzenie""], ""sl"": [""cognate of ISV form""]}",,ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:slovenian_uvod_v_algebro.txt,,{},"{""dependence_pd"": ""W/S extension-family alternatives"", ""equal_branch"": ""tie: razširjenje? / W/S extension-family alternatives"", ""equal_splits"": ""tie: razširjenje? / W/S extension-family alternatives"", ""population_proxy"": ""razširjenje?""}","{""dependence_pd"": 0.45454545454545453, ""equal_branch"": 0.6666666666666666, ""equal_splits"": 0.4444444444444444, ""population_proxy"": 0.641139804096171}",W/S extension-family alternatives,Confirm 'razširjenje?' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
splitting field,curriculum_algebra,,Zerfällungskörper; auflösbarer Zerfällungskörper,splitting field,поле розщеплення,поле разложения,polje razloženja,,cs/pl rozklad- family [C],cs/pl rozklad- family [C],pl rozkład [C],cognate of ISV form [S],,,,,,,,,,,,,,,variant_or_doublet_note,stable,-0.23423909621594394,,splitting field,3.3,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",30,B_variant_or_backfill,variant_or_doublet_note; WS_competitor_only_one_branch,competitor_only,support,"{""cognate of ISV form"": 63, ""cs/pl rozklad- family"": 349, ""pl rozkład"": 164}","{""cs"": [""cs/pl rozklad- family""], ""pl"": [""pl rozkład""], ""sk"": [""cs/pl rozklad- family""], ""sl"": [""cognate of ISV form""]}",,ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:slovak_abstraktna_algebra.txt; ws:slovenian_uvod_v_algebro.txt,de:Zerfällungskörper; auflösbarer Zerfällungskörper; uk:поле розщеплення; розв'язне поле розщеплення; ru:поле разложения; разрешимое поле разложения; isv:polje razloženja; rěšimo polje razloženja,{},"{""dependence_pd"": ""razpadno polje"", ""equal_branch"": ""razpadno polje"", ""equal_splits"": ""razpadno polje"", ""population_proxy"": ""razpadno polje""}","{""dependence_pd"": 0.45454545454545453, ""equal_branch"": 0.6666666666666666, ""equal_splits"": 0.4444444444444444, ""population_proxy"": 0.641139804096171}",rozklad / rozkład family,Confirm 'razpadno polje' (support pattern acceptable) or note preferred variant policy.,polje razloženja; rěšimo polje razloženja,,поле розщеплення; розв'язне поле розщеплення,поле разложения; разрешимое поле разложения,,,,
trace,curriculum_algebra,,spur,trace,,,sled?,,cs/pl stopa [C],,pl ślad [C],,,cognate of ISV form [S],,,,,,,,,,,,,variant_or_doublet_note,stable,-0.24058370886064562,,trace,3.3,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",30,B_variant_or_backfill,variant_or_doublet_note; WS_competitor_only_one_branch,competitor_only,support,"{""cognate of ISV form"": 16, ""cs/pl stopa"": 12, ""pl ślad"": 4}","{""bg"": [""cognate of ISV form""], ""cs"": [""cs/pl stopa""], ""pl"": [""pl ślad""]}",,ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_noncommutative_body.txt,de:spur,{},"{""dependence_pd"": ""sled?"", ""equal_branch"": ""sled?"", ""equal_splits"": ""sled?"", ""population_proxy"": ""sled?""}","{""dependence_pd"": 0.45454545454545453, ""equal_branch"": 0.6666666666666666, ""equal_splits"": 0.4444444444444444, ""population_proxy"": 0.6665182546749777}",West native trace terms,Confirm 'sled?' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
covariant,noether_corpus,yes,als Kovariante betrachtet; volle Überschiebungen über Kovarianten von System III,covariant,,,,,,,,,,,,,,,,,,,مصاحب,هموردا,kovarian,1,,,,4,covariant,1.81,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.16, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.1, ""lane_controlled_arabic"": 0.1, ""lane_interslavic"": 0.2, ""lane_malay_indonesian"": 0.2}",22,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,interslavic:noether_paper02_section19_terms.json; malay_indonesian:UM terminology covariant row,de:als Kovariante betrachtet; volle Überschiebungen über Kovarianten von System III; uk:повні трансвекції над коваріантами системи III; розглянута як коваріант; ru:полные трансвекции над ковариантами системы III; рассматриваемая как ковариант; isv:polne transvekcije nad kovariantami sistema III; razmatrivana kako kovariant; isv_cyr:полне трансвекције над ковариантами система ИИИ; разматривана како ковариант,"{""arabic_farsi_persianate"": ""ar:open_specialist_evidence_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder"", ""controlled_arabic"": ""open_specialist_evidence_required"", ""interslavic"": ""stable_provisional"", ""malay_indonesian"": ""terminology_only_specialist""}",{},{},,,polne transvekcije nad kovariantami sistema III,полне трансвекције над ковариантами система ИИИ,повні трансвекції над коваріантами системи III,полные трансвекции над ковариантами системы III,,,,
determinant,curriculum_algebra,yes,Determinante eines hyperkomplexen Systems; Determinanten aus je n Basiselementen und ihren Konjugierten,determinant,k_i-рядні детермінанти,k_i-рядные детерминанты,,,≈determinanta hiperkompleksnogo sistema [S],≈determinanta hiperkompleksnogo sistema [S],wyznacznik [C],≈determinanta hiperkompleksnogo sistema [S],≈determinanta hiperkompleksnogo sistema [S],,,,,,,,,,محدد,دترمینان,penentu/determinan,3,variant_or_doublet_note,stable,-0.599,4,determinant,6.11,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.16, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_interslavic"": 0.2, ""lane_malay_indonesian"": 0.2, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",22,C_core_fill_or_source_intake,variant_or_doublet_note,support+competitor,support,"{""cognate of ISV form"": 34, ""pl wyznacznik"": 19}","{""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""pl wyznacznik""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""]}",yes,cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section01_terms.json; interslavic:noether_paper02_section03_terms.json; interslavic:noether_paper02_section19_terms.json; malay_indonesian:UM terminology determinant rows; pl:polish_mimuw_noncommutative_body.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_uvod_v_algebro.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_telesa_pole_note.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:slovak_abstraktna_algebra.txt; ws:slovenian_uvod_v_algebro.txt,de:determinante; determinanten,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""attested_needs_review"", ""interslavic"": ""stable"", ""malay_indonesian"": ""terminology_only_specialist""}","{""dependence_pd"": ""determinanta"", ""equal_branch"": ""determinanta"", ""equal_splits"": ""determinanta"", ""population_proxy"": ""determinanta""}","{""dependence_pd"": 0.8181818181818182, ""equal_branch"": 1.0, ""equal_splits"": 0.7222222222222222, ""population_proxy"": 0.7960819234194123}",pl wyznacznik,Confirm 'determinanta' (support pattern acceptable) or note preferred variant policy.,determinanta hiperkompleksnogo sistema,детерминанта хиперкомплексного система,,,,,,
polynomial,curriculum_algebra,yes,Bereich aller geraden Polynome; Polynombereich / Polynome,polynomial,алгебраїчно-цілочисельні поліноми,,algebraično-celočislene polinomy,алгебраично-целочислене полиномы,≈algebraično-celočislene polinomy [S],≈algebraično-celočislene polinomy [S],wielomian [C],≈algebraično-celočislene polinomy [S],≈algebraično-celočislene polinomy [S],,,,,,,,,,كثير حدود,چندجمله‌ای,polinomial,3,variant_or_doublet_note,stable,-0.599,4,polynomial,5.32,"{""adverse_competitor_channel"": 0.9, ""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.12, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.2, ""lane_malay_indonesian"": 0.2, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",22,C_core_fill_or_source_intake,variant_or_doublet_note,support+competitor,support,"{""cognate of ISV form"": 1581, ""pl wielomian"": 446}","{""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""pl wielomian""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""], ""sr"": [""cognate of ISV form""]}",yes,cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UIN polynomial rows; UKM/UM terminology; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_cuni_telesa_pole_note.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt,de:primitive Polynome; uk:примітивні поліноми; ru:примитивные многочлены; isv:primitivne polinomy,"{""arabic_farsi_persianate"": ""ar:open_no_direct_evidence; fa:source_backed_seed; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""open_no_direct_evidence"", ""malay_indonesian"": ""shared_promotable_seed""}","{""dependence_pd"": ""polinom"", ""equal_branch"": ""polinom"", ""equal_splits"": ""polinom"", ""population_proxy"": ""polinom""}","{""dependence_pd"": 0.8181818181818182, ""equal_branch"": 1.0, ""equal_splits"": 0.7222222222222222, ""population_proxy"": 0.7960819234194123}",pl wielomian,Confirm 'polinom' (support pattern acceptable) or note preferred variant policy.,,,,алгебраически-целочисленные полиномы,,,,
