term_id,source_term,isv_latin,isv_cyrillic,concept_link,reason_class,status,bias_flag,safe_external,records,sources
ISV-30_märz_1926--30_marca_1926,30. März 1926,30. marca 1926.,30. марца 1926.,,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry11_terms.json
ISV-a_b_c_a_b_c--a_b_c_a_b_c,"A) / B) / C), a) / b) / c)","A) / B) / C), a) / b) / c)","А) / Б) / Ц), а) / б) / ц)",,international|script_stability,unstated,F10-0,yes,1,noether_paper02_section23_terms.json
ISV-a_b_c_d--a_b_c_d,A) / B) / C) / D),A) / B) / C) / D),А) / Б) / Ц) / Д),,script_stability,unstated,F10-1,review,1,noether_paper02_section22_terms.json
ISV-a_b_c_d_a_b--a_b_c_d_a_b,"A) / B) / C) / D), a) / b)","A) / B) / C) / D), a) / b)","А) / Б) / Ц) / Д), а) / б)",,script_stability,unstated,F10-1,review,1,noether_paper02_section24_terms.json
ISV-a_ist_teilbar_durch_t_vielfaches_a_von_t--a_jest_děljiva_črez_,a ist teilbar durch t / Vielfaches a von t,"a jest děljiva črez t / ideal a, kratny od t","a јест дельива чрез t / идеал a, кратны од t",,unstated,unstated,F10-1,review,1,noether_paper31_section06_entry01_terms.json
ISV-abbildungsfunktionen--funkcije_odobraženja,Abbildungsfunktionen,funkcije odobraženja,функције одображеньа,,unstated,unstated,F10-1,review,1,noether_paper06_section03_terms.json
ISV-abbildungskörper_abbildungsbereich--polje_obrazov_oblast,Abbildungskörper / Abbildungsbereich,polje obrazov / oblast obrazov,,,unstated,unstated,F10-0,yes,1,noether_paper10_section02_terms.json
ISV-abbildungssystem--odobražajuči_sistem,Abbildungssystem,odobražajuči sistem,одображајучи систем,,unstated,unstated,F10-1,review,2,noether_paper06_section03_terms.json; noether_paper06_section04_terms.json
ISV-abelsche_gruppenkörper--abelove_grupypolja,Abelsche Gruppen/Körper,Abelove grupy/polja,,,unstated,unstated,F10-1,review,1,noether_paper11_terms.json
ISV-abgeleitetes_hauptideal--glavny_ideal_izveden,abgeleitetes Hauptideal,"glavny ideal, izvedeny iz p","главны идеал, изведены из p",ideal,source_fidelity,unstated,F10-1,review,1,noether_paper31_section07_entry03_terms.json
ISV-abhängigkeiten_zwischen_den_lagrangesche--zavisnosti_medžu_lag,Abhängigkeiten zwischen den Lagrangeschen Ausdrücken,zavisnosti medžu Lagranževymi izrazami,,,source_fidelity,unstated,F10-1,review,1,noether_paper13_terms.json
ISV-abschnittskörper_kvartheta--polje_početnogo_odrě,Abschnittskörper K(vartheta),polje početnogo odrězka K(vartheta),,,unstated,unstated,F10-0,yes,1,noether_paper10_section02_terms.json
ISV-absolut-irreduzibel--absolutno_ireducibil,absolut-irreduzibel,absolutno ireducibilny,абсолутно иредуцибилны,,unstated,unstated,F10-1,review,1,noether_paper34_section21_source_fidelity_terms.json
ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,absolut-irreduzible Darstellung,absolutno ireducibilno predstavjenje,абсолутно иредуцибилно представјенье,,unstated,unstated,F10-1,review,1,noether_paper34_section26_source_fidelity_terms.json
ISV-absolut_algebraischer_körper--absolutno_algebraičn,absolut algebraischer Körper,absolutno algebraično polje,абсолютно алгебраично полье,algebra,unstated,unstated,F10-0,yes,1,noether_paper09_section10_terms.json
ISV-absolute_irreduzibilität_absolut_irreduz--absolutna_nerazložim,absolute Irreduzibilität / absolut irreduzibel,absolutna nerazložimost / absolutno nerazložimy,абсолутна неразложимост / абсолутно неразложимы,,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper20_terms.json
ISV-absoluter_multiplikatorenbereich--absolutna_oblast_mno,absoluter Multiplikatorenbereich,absolutna oblast množiteljev,абсолутна област множительев,,source_fidelity,unstated,F10-1,review,1,noether_paper34_section20_source_fidelity_terms.json
ISV-absolutes_primideal--absolutny_prosty_ide,absolutes Primideal,absolutny prosty ideal,,ideal,source_fidelity,unstated,F10-1,review,1,noether_paper35_source_fidelity_terms.json
ISV-abstrakte_idealtheorie--abstraktna_teorija_i,abstrakte Idealtheorie,abstraktna teorija idealov,абстрактна теорија идеалов,ideal,international|source_fidelity,unstated,F10-0,yes,1,noether_paper18_terms.json
ISV-abzählbar_unendlich_viele_klassen--izčetno_beskonečno_m,abzählbar unendlich viele Klassen,izčetno beskonečno mnogo klasov,изчетно бесконечно много класов,,unstated,unstated,F10-1,review,1,noether_paper09_section09_terms.json
ISV-adjungieren--adjungujemo,adjungieren,adjungujemo,адјунгујемо,,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
