"metric","count","note"
"observed_matches_9bbcb11b","1","9bbcb11b3e68d29ab98d3dee20ebf27855aed936"
"source_manifest_rows","315","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\language-source-bodies\indigenous-creole-sign\MANIFEST.csv"
"verification_failures","0","exists/bytes/SHA mismatches"
"witness_index_rows","315","local source package rows indexed"
"literal_source_body_rows","75","local source body rows"
"indigenous_literal_body_rows","13","indigenous source bodies"
"creole_literal_body_rows","54","creole/contact source bodies"
"sign_access_rows","90","route/capture/probe metadata; no media reuse"
"generated_draft_rows","6","noncanonical support rows carried only"
"source_use_rows","5","new source-use reconciliation rows"
"ethics_authority_rows","5","new ethics/authority map rows"
"blocker_rows","5","exact blockers"
"adverse_rows","4","source-use/adverse/branch-weight rows"
