residual_id,candidate_id,source_relpath,source_line,source_column,visible_text,detector_family,classification,disposition,reason,context,context_sha256,source_sha256,status
ega2.residual.sha256.69e8eb07f0c5286e9d7974045be0d77f20a5ad8f2b1c3a40fef33ba2efcdecb9,ega2.candidate.sha256.69e8eb07f0c5286e9d7974045be0d77f20a5ad8f2b1c3a40fef33ba2efcdecb9,preamble.tex,9,33,0.76,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\definecolor{brightmaroon}{rgb}{0.76, 0.13, 0.28}",37F047F866B4FD14A56B7EBAB258D0417D4EB2C3014F2B51334B7FDBF9D70129,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.74f0c8317cf5a62f1035094e195337febe8a82ad734dd5ae74f8f0644798d9fe,ega2.candidate.sha256.74f0c8317cf5a62f1035094e195337febe8a82ad734dd5ae74f8f0644798d9fe,preamble.tex,9,39,0.13,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\definecolor{brightmaroon}{rgb}{0.76, 0.13, 0.28}",37F047F866B4FD14A56B7EBAB258D0417D4EB2C3014F2B51334B7FDBF9D70129,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.4cfe98f90ae7a3cf1ea27ad6883b4c5c8a01f1c4a5554414496ba6718bb82da0,ega2.candidate.sha256.4cfe98f90ae7a3cf1ea27ad6883b4c5c8a01f1c4a5554414496ba6718bb82da0,preamble.tex,9,45,0.28,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\definecolor{brightmaroon}{rgb}{0.76, 0.13, 0.28}",37F047F866B4FD14A56B7EBAB258D0417D4EB2C3014F2B51334B7FDBF9D70129,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.30b92a8b6cf22828419fd0c965c31f89572198a109906281e449675eab6299d5,ega2.candidate.sha256.30b92a8b6cf22828419fd0c965c31f89572198a109906281e449675eab6299d5,preamble.tex,11,18,1.25,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\usepackage[left=1.25in,right=1.25in,top=0.75in,bottom=0.75in]{geometry}",2B59D6BFA8158993E6DCEB301B4175F4A64CCC7443FC4AF9A4096296CBBBB280,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.20bdf397fd5079c907258dbb7ef6821ad82eeb408b5f94d8363bf41630b7a468,ega2.candidate.sha256.20bdf397fd5079c907258dbb7ef6821ad82eeb408b5f94d8363bf41630b7a468,preamble.tex,11,31,1.25,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\usepackage[left=1.25in,right=1.25in,top=0.75in,bottom=0.75in]{geometry}",2B59D6BFA8158993E6DCEB301B4175F4A64CCC7443FC4AF9A4096296CBBBB280,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.6a68c4adc480ac2415e5873273db6db1e1104f72dac64a948633e7a501fa0036,ega2.candidate.sha256.6a68c4adc480ac2415e5873273db6db1e1104f72dac64a948633e7a501fa0036,preamble.tex,11,42,0.75,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\usepackage[left=1.25in,right=1.25in,top=0.75in,bottom=0.75in]{geometry}",2B59D6BFA8158993E6DCEB301B4175F4A64CCC7443FC4AF9A4096296CBBBB280,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.8e1ac1915718660276cff63f05aa20a57fb16a936b6169667e70bae27bfe6b83,ega2.candidate.sha256.8e1ac1915718660276cff63f05aa20a57fb16a936b6169667e70bae27bfe6b83,preamble.tex,11,56,0.75,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble","\usepackage[left=1.25in,right=1.25in,top=0.75in,bottom=0.75in]{geometry}",2B59D6BFA8158993E6DCEB301B4175F4A64CCC7443FC4AF9A4096296CBBBB280,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.e11e361fd766e3220cc3aca377fd66f320619c68c9a13a3fe97e75f294f7228b,ega2.candidate.sha256.e11e361fd766e3220cc3aca377fd66f320619c68c9a13a3fe97e75f294f7228b,preamble.tex,17,13,1.05,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble",\linespread{1.05},F86F2D9D96E0647C4BA06C4006048E504560DECCCEA713BA33F624B2CF308208,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.c8f15dd5f27aa726f2b3357066f7a9ec21cb60db69ceecc2cdd0ccca3d4fcf84,ega2.candidate.sha256.c8f15dd5f27aa726f2b3357066f7a9ec21cb60db69ceecc2cdd0ccca3d4fcf84,preamble.tex,64,37,2.5,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble",\def\l@subsection{\@tocline{2}{0pt}{2.5pc}{2.2pc}{}},AA8FCCC5F4E3784EB10B9CF8D85ECDAA55590358EA35809C4FB1DC539A79E242,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
ega2.residual.sha256.68cec24fa106c00a7096760b4a3f31a61718494840b0e4e874efeb18b346e644,ega2.candidate.sha256.68cec24fa106c00a7096760b4a3f31a61718494840b0e4e874efeb18b346e644,preamble.tex,64,44,2.2,bare_dotted,typography_layout_value,positive_residual,"numeric color, geometry, spacing, or macro-layout constant in the preamble",\def\l@subsection{\@tocline{2}{0pt}{2.5pc}{2.2pc}{}},AA8FCCC5F4E3784EB10B9CF8D85ECDAA55590358EA35809C4FB1DC539A79E242,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,adjudicated
