pdf_page,width_pixels,height_pixels,baseline_rgb_sha256,source_rgb_sha256,new_link_rectangles,changed_pixels,changed_pixels_outside_new_link_rectangles,maximum_word_coordinate_delta_points,layout_status
1,1530,1980,E7BB2D556E612FFEB9BAA7C7EC45287DF05E532ECC8CAABF1BCFEC7BA83A347A,E7BB2D556E612FFEB9BAA7C7EC45287DF05E532ECC8CAABF1BCFEC7BA83A347A,0,0,0,0.000000000,PASS
2,1530,1980,4E27CF9B32D2B2BD8C2F40E4BDBF5CFEF9F3861D7C13CFBC95D368ECCDF4CE42,663D06DE3BA7EAC42E432C7A7E09ECA69C5647DEB24D4C3A0DFBD01256E93FC2,6,750,103,0.009307861,PASS
3,1530,1980,E69634F0F1D5E2CB108AD3392E977EC889EB2AA762F785425B037091085978B9,E69634F0F1D5E2CB108AD3392E977EC889EB2AA762F785425B037091085978B9,0,0,0,0.000015259,PASS
4,1530,1980,833645B0F98E506D763E8522826188649342396B01C447F6D7FD28E713D0B805,833645B0F98E506D763E8522826188649342396B01C447F6D7FD28E713D0B805,0,0,0,0.000000000,PASS
5,1530,1980,E4414A538D0777D04B82120C422354EC3AC0F2C998056F636ADD0FD53877187F,E4414A538D0777D04B82120C422354EC3AC0F2C998056F636ADD0FD53877187F,0,0,0,0.000000000,PASS
6,1530,1980,8793AEEC2E48129E20FB2DE5A89954DD0F24E0B1CA82B809D07D30C0625B9921,8793AEEC2E48129E20FB2DE5A89954DD0F24E0B1CA82B809D07D30C0625B9921,0,0,0,0.000000000,PASS
7,1530,1980,4894B2D39108C4F32856EBCA9DF642C0043AA1E84A42B163F0D023DCC8B94D44,4894B2D39108C4F32856EBCA9DF642C0043AA1E84A42B163F0D023DCC8B94D44,0,0,0,0.000061035,PASS
8,1530,1980,DB21A00101774A5F85536C4CF2042BA90C0B6AB10A7D57361572BE572BB20F2C,9A1D5BA9CC0DC81134123CE1A94DA55269657EF18C2A84F7B69ED9417CCE067E,1,625,385,0.009956360,PASS
9,1530,1980,BCC0BB84F2EDAC069E53628FD3FD4F5ABA5580EC8ED28B89D35F53BE08841F02,BCC0BB84F2EDAC069E53628FD3FD4F5ABA5580EC8ED28B89D35F53BE08841F02,0,0,0,0.000000000,PASS
10,1530,1980,7452D6D9B22D330F8694123D86899FF22910F382939CFE170C574195C6682F52,7452D6D9B22D330F8694123D86899FF22910F382939CFE170C574195C6682F52,0,0,0,0.000000000,PASS
11,1530,1980,464A0DD1700328EB2924FFB225C1B5E1710E5862A85E80E11C30902B1A87B91B,464A0DD1700328EB2924FFB225C1B5E1710E5862A85E80E11C30902B1A87B91B,0,0,0,0.000000000,PASS
12,1530,1980,162498285FEBBF82886359993C30CE1117862D76F0B85B41FC5AE2A158098F9D,473A52A11AE9A4D3B816145048E847D8A1001492CB5561C5F665098929BED05F,0,127,127,0.008972168,PASS
13,1530,1980,1E503B41E52E046A19817D6FE5760F6114723BAC2C79E1205D02C34A100FE92F,1E503B41E52E046A19817D6FE5760F6114723BAC2C79E1205D02C34A100FE92F,0,0,0,0.000000000,PASS
14,1530,1980,5690D4F98DEA7B2B224AD43F8DD65CB4D734B8A0D9D21AF64BD7A48F8D6881F5,5690D4F98DEA7B2B224AD43F8DD65CB4D734B8A0D9D21AF64BD7A48F8D6881F5,0,0,0,0.000000000,PASS
