candidate_id,source_relpath,source_line,source_column,visible_text,detector_family,target_label,target_id,classification,disposition,reason,source_sha256,status
ega2.candidate.sha256.23b46a808540ac8f9d15e8bc19fb4b144d06a136f7cf659e60fdd3bc5191d4ff,ega2.tex,33,250,2,prose_locator,section:II.2,ega2.c02.sec.2,internal_reference,insert_link,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,adjudicated_and_applied
ega2.candidate.sha256.a341cb08d42b9a0f4ca1a05a7baa81cbde7a3e989f7fc2d41bfa11f7081b7f3b,ega2.tex,33,278,4,prose_locator,section:II.4,ega2.c02.sec.4,internal_reference,insert_link,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,adjudicated_and_applied
ega2.candidate.sha256.021e4864a8885d28e79e8bb3f0e2ec8fbf1806a5057d9603a38e0137eaf9ef05,ega2.tex,33,310,5,prose_locator,section:II.5,ega2.c02.sec.5,internal_reference,insert_link,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,adjudicated_and_applied
ega2.candidate.sha256.d8c3a43780765cb7767edd2e959b09029165d526513ccda0ebbd9df19acacb35,ega2.tex,34,13,8,prose_locator,section:II.8,ega2.c02.sec.8,internal_reference,insert_link,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,adjudicated_and_applied
ega2.candidate.sha256.dfcbf2e1f2bfcf2555f8c7f08cccc820cb7cc3a7f8c0214ec80c49747490f2c7,ega2.tex,34,155,1,prose_locator,section:II.1,ega2.c02.sec.1,internal_reference,insert_link,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,adjudicated_and_applied
ega2.candidate.sha256.783d5b3c9c7ca13491e11dddda915111e4d3e46d90619773344fe591147e53d8,ega2.tex,34,190,3,prose_locator,section:II.3,ega2.c02.sec.3,internal_reference,insert_link,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,adjudicated_and_applied
ega2.candidate.sha256.5c983fa9c8dbddd69f9ba76df6e1e10f9f8e1d27cf2b45eb17c97ffbf3f3429a,ega2/ega2-1.tex,5,15,\textsection1,tex_section_locator,,,external_volume_reference,positive_residual,"locator belongs to EGA 0, I, or III and is unavailable in the standalone EGA II reader",F713FC51936EFF33F3D6880562232C0D62F0BA91CC8BAA6FB8F92CA5174FBF9F,adjudicated
ega2.candidate.sha256.9b4410430321a86b887400090d0027df523c1f5690f6fdaa59c267b757440228,ega2/ega2-1.tex,12,13,1.1.1,bare_dotted,,,structural_declaration,positive_residual,"source-visible statement, equation, section, or table declaration; target rather than edge",F713FC51936EFF33F3D6880562232C0D62F0BA91CC8BAA6FB8F92CA5174FBF9F,adjudicated
ega2.candidate.sha256.e27a98a5667e8606db349fcb3198fcca5df573b765ea6eac5aa8a1535d862e75,ega2/ega2-1.tex,24,13,1.1.2,bare_dotted,,,structural_declaration,positive_residual,"source-visible statement, equation, section, or table declaration; target rather than edge",F713FC51936EFF33F3D6880562232C0D62F0BA91CC8BAA6FB8F92CA5174FBF9F,adjudicated
ega2.candidate.sha256.838d7e0d00f8cc7b4eb5077a6ac9b2799485dcf33133a34be5693509903ff54a,ega2/ega2-1.tex,45,13,1.1.3,bare_dotted,,,structural_declaration,positive_residual,"source-visible statement, equation, section, or table declaration; target rather than edge",F713FC51936EFF33F3D6880562232C0D62F0BA91CC8BAA6FB8F92CA5174FBF9F,adjudicated
