relative_path,current_bytes,current_sha256,reversed_application_count,metadata_block_removed,unique_label_block_removed,external_document_guard_reverted,sref_unavailable_target_guard_reverted,reconstructed_bytes,reconstructed_sha256,predecessor_bytes,predecessor_sha256,reconstruction_status
ega2.tex,2205,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,6,1,0,0,0,1799,F4624484EE2C0A855952DC0B3D917085AEBC10F8B71E7F373D2B2574AA8D69C1,1799,F4624484EE2C0A855952DC0B3D917085AEBC10F8B71E7F373D2B2574AA8D69C1,exact
preamble.tex,5805,86684C38D113A1215B3F2FF93AB535F2076ECC09D5C8297685A679209DC5210C,0,0,1,1,1,4627,C66493DABC162A45A8805B4AC13C71B0DE862E72951921FAE3C1E3181A6C1B18,4627,C66493DABC162A45A8805B4AC13C71B0DE862E72951921FAE3C1E3181A6C1B18,exact
preamble-base.tex,2244,15E4C08F216D49D33DE25388D9E84537617BCC904ABFC56A05C0C3729348A1F7,0,0,0,0,0,2244,15E4C08F216D49D33DE25388D9E84537617BCC904ABFC56A05C0C3729348A1F7,2244,15E4C08F216D49D33DE25388D9E84537617BCC904ABFC56A05C0C3729348A1F7,exact
ega2/ega2-1.tex,51508,F713FC51936EFF33F3D6880562232C0D62F0BA91CC8BAA6FB8F92CA5174FBF9F,1,0,0,0,0,51478,728A5313F51A2060A019D91A74E4A3C2432D9EDAE6527AFC1BE33287D8550D51,51478,728A5313F51A2060A019D91A74E4A3C2432D9EDAE6527AFC1BE33287D8550D51,exact
ega2/ega2-2.tex,103680,33C44C60F4DBC6BDDD1EA5C3739E765C43368D160E2B6C01755331270D2AF63D,0,0,0,0,0,103680,33C44C60F4DBC6BDDD1EA5C3739E765C43368D160E2B6C01755331270D2AF63D,103680,33C44C60F4DBC6BDDD1EA5C3739E765C43368D160E2B6C01755331270D2AF63D,exact
ega2/ega2-3.tex,82408,3B4585835040258EE1365497264E97EC70ED151740AF399FAF3C61256908CB79,0,0,0,0,0,82408,3B4585835040258EE1365497264E97EC70ED151740AF399FAF3C61256908CB79,82408,3B4585835040258EE1365497264E97EC70ED151740AF399FAF3C61256908CB79,exact
ega2/ega2-4.tex,92382,1AB01F2E0DD552DCF98C47CD11E5114F0F6FFCE4508CCEFA456FA79DD9AF50C9,2,0,0,0,0,92332,D8651A9B7E7BCFCDF2831FA0486BD00FCFB23985F4DD1601278FA5CB7740E2CB,92332,D8651A9B7E7BCFCDF2831FA0486BD00FCFB23985F4DD1601278FA5CB7740E2CB,exact
ega2/ega2-5.tex,58371,C46B198138413FD0D437BB2E1B272F3B7C4F8508BBA2106D53E943820A0F68B7,0,0,0,0,0,58371,C46B198138413FD0D437BB2E1B272F3B7C4F8508BBA2106D53E943820A0F68B7,58371,C46B198138413FD0D437BB2E1B272F3B7C4F8508BBA2106D53E943820A0F68B7,exact
ega2/ega2-6.tex,107146,FA0F343797D06FBF998AB08E019835B346CEF1A7AE55BFF3C8AC868320274D1C,0,0,0,0,0,107146,FA0F343797D06FBF998AB08E019835B346CEF1A7AE55BFF3C8AC868320274D1C,107146,FA0F343797D06FBF998AB08E019835B346CEF1A7AE55BFF3C8AC868320274D1C,exact
ega2/ega2-7.tex,54983,C0E635B009A521EE9AF44F0A7A3972DEF6E798320B5A51DA797DF2B2E32B78BA,0,0,0,0,0,54983,C0E635B009A521EE9AF44F0A7A3972DEF6E798320B5A51DA797DF2B2E32B78BA,54983,C0E635B009A521EE9AF44F0A7A3972DEF6E798320B5A51DA797DF2B2E32B78BA,exact
ega2/ega2-8.tex,176010,E55C4C691322F93404A26FE717045429B0A31EF4FA74C75FEB27C465CBBBF4CC,3,0,0,0,0,175981,4C4A4FDA1E257B9ADA8DFE49E05554D100B7CBA841F465D0478DDAA7BC25ED9B,175981,4C4A4FDA1E257B9ADA8DFE49E05554D100B7CBA841F465D0478DDAA7BC25ED9B,exact
ega2/ega2-bibliography.tex,1588,01D0462AB15839094994AD9B56E3D7D1B0E9789FC594B9D303498A0733291BF0,0,0,0,0,0,1588,01D0462AB15839094994AD9B56E3D7D1B0E9789FC594B9D303498A0733291BF0,1588,01D0462AB15839094994AD9B56E3D7D1B0E9789FC594B9D303498A0733291BF0,exact
ega2/ega2-indexes-and-contents.tex,23865,C81DABDF626771BFD7874BD70FD77D1BEF4183CF8612D98A31F2BF1066C6AFE5,252,0,0,0,0,17958,4FDDD1059CD428B70748CFE354A5E56006256C52BAC02AF010A8AF8F57952A87,17958,4FDDD1059CD428B70748CFE354A5E56006256C52BAC02AF010A8AF8F57952A87,exact
ega2/ega2-errata-addenda.tex,17631,91D3457569C54CEB91E7E2BD5CF80436858E0853792A52E647683D8BDA6B5292,0,0,0,0,0,17631,91D3457569C54CEB91E7E2BD5CF80436858E0853792A52E647683D8BDA6B5292,17631,91D3457569C54CEB91E7E2BD5CF80436858E0853792A52E647683D8BDA6B5292,exact
