application_id,candidate_id,source_relpath,source_line,source_column,visible_text,original_tex,applied_tex,reference_form,target_label,target_id,resolution_basis,source_sha256,status
ega2.application.sha256.23b46a808540ac8f9d15e8bc19fb4b144d06a136f7cf659e60fdd3bc5191d4ff,ega2.candidate.sha256.23b46a808540ac8f9d15e8bc19fb4b144d06a136f7cf659e60fdd3bc5191d4ff,ega2.tex,33,250,2,2,\hyperref[section:II.2]{2},prose_locator,section:II.2,ega2.c02.sec.2,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,applied
ega2.application.sha256.a341cb08d42b9a0f4ca1a05a7baa81cbde7a3e989f7fc2d41bfa11f7081b7f3b,ega2.candidate.sha256.a341cb08d42b9a0f4ca1a05a7baa81cbde7a3e989f7fc2d41bfa11f7081b7f3b,ega2.tex,33,278,4,4,\hyperref[section:II.4]{4},prose_locator,section:II.4,ega2.c02.sec.4,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,applied
ega2.application.sha256.021e4864a8885d28e79e8bb3f0e2ec8fbf1806a5057d9603a38e0137eaf9ef05,ega2.candidate.sha256.021e4864a8885d28e79e8bb3f0e2ec8fbf1806a5057d9603a38e0137eaf9ef05,ega2.tex,33,310,5,5,\hyperref[section:II.5]{5},prose_locator,section:II.5,ega2.c02.sec.5,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,applied
ega2.application.sha256.d8c3a43780765cb7767edd2e959b09029165d526513ccda0ebbd9df19acacb35,ega2.candidate.sha256.d8c3a43780765cb7767edd2e959b09029165d526513ccda0ebbd9df19acacb35,ega2.tex,34,13,8,8,\hyperref[section:II.8]{8},prose_locator,section:II.8,ega2.c02.sec.8,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,applied
ega2.application.sha256.dfcbf2e1f2bfcf2555f8c7f08cccc820cb7cc3a7f8c0214ec80c49747490f2c7,ega2.candidate.sha256.dfcbf2e1f2bfcf2555f8c7f08cccc820cb7cc3a7f8c0214ec80c49747490f2c7,ega2.tex,34,155,1,1,\hyperref[section:II.1]{1},prose_locator,section:II.1,ega2.c02.sec.1,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,applied
ega2.application.sha256.783d5b3c9c7ca13491e11dddda915111e4d3e46d90619773344fe591147e53d8,ega2.candidate.sha256.783d5b3c9c7ca13491e11dddda915111e4d3e46d90619773344fe591147e53d8,ega2.tex,34,190,3,3,\hyperref[section:II.3]{3},prose_locator,section:II.3,ega2.c02.sec.3,unique EGA II section/subsection target in explicit local context,D42280B6ECD1E0ECCB4812A5F902510E9DBF1BBCFB6965EEA7CED06E0199A525,applied
ega2.application.sha256.810b968f526bb166479d2b900a3677a42f292ed195bceb3bb265be1ff1535f58,ega2.candidate.sha256.810b968f526bb166479d2b900a3677a42f292ed195bceb3bb265be1ff1535f58,ega2/ega2-1.tex,423,173,5.4,5.4,\hyperref[subsection:II.5.4]{5.4},prose_locator,subsection:II.5.4,ega2.c02.subsec.5-4,unique EGA II section/subsection target in explicit local context,F713FC51936EFF33F3D6880562232C0D62F0BA91CC8BAA6FB8F92CA5174FBF9F,applied
ega2.application.sha256.48af31eda48f5fac8dea33a1cbae94fc98e36996c81e4fadc91625d15c7de35e,ega2.candidate.sha256.48af31eda48f5fac8dea33a1cbae94fc98e36996c81e4fadc91625d15c7de35e,ega2/ega2-4.tex,210,202,2,2,\hyperref[section:II.2]{2},prose_locator,section:II.2,ega2.c02.sec.2,unique EGA II section/subsection target in explicit local context,1AB01F2E0DD552DCF98C47CD11E5114F0F6FFCE4508CCEFA456FA79DD9AF50C9,applied
ega2.application.sha256.37363bd7a7d21ef5fe2e6298960db59e63b4d51b9e5cde211627237723571218,ega2.candidate.sha256.37363bd7a7d21ef5fe2e6298960db59e63b4d51b9e5cde211627237723571218,ega2/ega2-4.tex,210,230,3,3,\hyperref[section:II.3]{3},prose_locator,section:II.3,ega2.c02.sec.3,unique EGA II section/subsection target in explicit local context,1AB01F2E0DD552DCF98C47CD11E5114F0F6FFCE4508CCEFA456FA79DD9AF50C9,applied
ega2.application.sha256.e0f09913e0b14cd79457fd50ac29c942d159cbe9b18df2bf1870a97feed193aa,ega2.candidate.sha256.e0f09913e0b14cd79457fd50ac29c942d159cbe9b18df2bf1870a97feed193aa,ega2/ega2-8.tex,1933,10,8.5.1.2,\sref{II.8.5.1.2},\eref{eq:2.8.5.1.2},local_equation_target_repair,eq:2.8.5.1.2,ega2.c02.eq.8-5-1-2,exact local equation label,E55C4C691322F93404A26FE717045429B0A31EF4FA74C75FEB27C465CBBBF4CC,applied
