"action_id","timestamp_utc","paper","page_or_locus","origin_type","origin_source","what_changed_or_was_checked","current_head_or_artifact","promoted_or_logged","status","notes"
"CO-20260705-001","2026-07-05","process","master logbook","user_directed","user instruction","Record the failure to keep a master logbook and the duplicate-numbering damage explicitly.","NOETHER_MASTER_PUBLICATION_LOGBOOK_20260705.md","logged","done","This is a process correction requested by the user, not a mathematical source error discovered by Codex."
"CO-20260705-002","2026-07-05","process","ledger contract","user_directed","user instruction","Add rule that every correction records its origin: user-directed, Web/WebB-found, local-Codex-found, or archaeology/reconciliation-found.","NOETHER_MASTER_PUBLICATION_LOGBOOK_20260705.md","logged","done","Added after user pointed out that origin of corrections must be distinguished."
"CO-20260705-003","2026-07-05","P24","p245-p246","WebB_found_then_local_survival_checked","WebB R530/R527 plus local Codex source/current-head comparison","Hilfssatz V readings u_{mu r}/t_{mu r}, x_{i+lambda}, x_i^{p^{f'}}, and c_i(t) g_i(y^{p^f},t^{p^f}) checked against current R796.","R796","logged","partial_close","The source errors were found by WebB; local Codex checked survival in R796 and source witnesses. Broader P24 remains open."
"CO-20260705-004","2026-07-05","P24","p233","local_Codex_prior_row_superseded_by_later_source_recheck","Local R302 row rechecked against 2026-07-05 650dpi p233 crops","Marked earlier R302-derived `=0(...)` p233 equality recovery as superseded; direct 650dpi source crops show `\equiv0(\frakm)` at the two checked p233 loci.","NOETHER_PAGE_QC_LEDGER_20260705.csv","logged_superseded","done","This corrects a local-Codex-origin bookkeeping/source-read error. CO-20260705-034 and CO-20260705-035 are the controlling promoted p233 congruence entries."
"CO-20260705-005","2026-07-05","P24","p234-p236","local_Codex_found_previous_then_local_survival_checked","Local P24 p234-236 source audit plus R796 comparison","Verified survival of source-certain p234 R-product, p235 Q_lambda norm equality, and p236 formula (5) factorization fixes.","R796","logged","done","No new TeX patch required for p234-p236; current R796 already carried these earlier local fixes."
"CO-20260705-006","2026-07-05","P24","p237-p244","local_Codex_found_previous_then_local_survival_checked","Local/WebR270-era P24 source audits plus R796 comparison","Verified survival of p237 component/congruence, p238-p239 barred coefficient, p240-p242 E-product/G-H, and p244 barred-x Nullstellenkörper fixes.","R796","logged","done","No new TeX patch required for p237-p244; current R796 already carried these earlier local fixes. P243 remains a no-patch row."
"CO-20260705-007","2026-07-05","P13","p248-p257","WebB_found_previous_then_local_survival_checked","WebB R673 HardSymbol/HardMath packages plus current local head comparison","Verified survival of WebB-found hard-symbol fixes: coefficient lower-i removal, bare sum with y_varkappa, derivative replacement family, x_varkappa Jacobians, alpha dot chi^(varkappa), and bare-sum energy/PDE displays. Superseded in one respect by CO-20260705-024: the p249 `B_i` integration display is source baseline subscript, not evaluation bar.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","logged","superseded_partial","No TeX patch was made in this older survival row. Later Web R781 found the p249 evaluation-bar regression and local Codex promoted that correction under CO-20260705-024."
"CO-20260705-008","2026-07-05","P13","p248-p257","local_Codex_found_previous_then_local_survival_checked","LocalCodex R674 P13 source-style/footnote package plus current local head comparison","Verified survival of previous local-Codex P13 source-style fixes: footnote markers before punctuation, p250 explanatory footnote, and section-heading/source spacing punctuation.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","logged","done","No new TeX patch required; these are source-fidelity/style/footnote fixes rather than newly discovered mathematical-symbol errors."
"CO-20260705-009","2026-07-05","tail/Schur","p748-p755","WebB_found_previous_then_local_survival_checked","WebB R484/R496 plus LocalCodex R507 ledgers and current local head comparison","Verified survival of tail dense fixes: p748 alpha superscript removal, p753 display-period placement, p754 multiplication dot after d_{mu nu}, and p755 crossed-product multiplication dots.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","logged","done","No TeX patch required in this pass; current local head already carries these WebB/local refined tail fixes."
"CO-20260705-010","2026-07-05","tail/Schur","p754-p764","local_Codex_found_previous_then_local_survival_checked","Local tail packages after WebR273, R274 rejection ledger, and current local head comparison","Verified survival/guard status for p754 matrix-ring Z, p759 unbarred u_S and retained final equality line, p760-p761 no-patch rows, p762 quotient by H, p764 subtitle without Göttingen.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","logged","partial_close","No TeX patch required; p763 relation symbol remains unresolved because local package and R274 rejection conflict and the visible crop is weak."
