"paper","printed_page","qc_record_count","current_heads","last_updated_utc","qc_instances","audit_depths","fixes_found","fixes_integrated","statuses","hard_math_record_count","hard_math_classes","next_actions","evidence","notes"
"P01","176","2","cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","RA14 source audit; R203 front-matter repair; R252/R273 authority checks; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (multiple prior targeted passes plus 1 current full-page pass) || RA14 source audit; R203 front-matter repair; R252/R273 authority checks; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (multiple prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete printed page: title, author, dissertation excerpt, opening prose, formulas, footnotes 1-2, punctuation, emphasis, continuity || complete printed page: title, author, dissertation excerpt, opening prose, formulas, footnotes 1-2, punctuation, emphasis, continuity; independent second pass for source letterspacing, page-local note markers, and output structure","prior title/author/excerpt authority repair survives; no new page-176 delta || Web second pass found source letterspacing/name typography and page-local note markers 1)/2), which the earlier local full-page pass had not represented.","yes; original-publication author line and prior repairs survive || yes; WEB-EARLY-001 and WEB-EARLY-002","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge || closed_current_head_complete_page_source_checked_best_available","0","","Reopen only on a concrete original-publication contradiction; do not delete the author line from the later collected-volume comparator. || Reopen only on a concrete original-publication contradiction.","P01_full_page_audit_20260718.csv; P01_SOURCE_AUTHORITY_AND_CLOSURE_20260718.md; source p176; output p1 || P01_full_page_audit_20260718.csv; P01_SOURCE_AUTHORITY_AND_CLOSURE_20260718.md; source p176; output p1; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] The corpus number and bibliographic citation line are transparent edition apparatus; the transcribed source heading remains intact. Independent Web review retained the original author line and improved its source typography. || The corpus number and bibliographic citation line are transparent edition apparatus; the transcribed source heading remains intact."
"P01","177","2","cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","RA14 symbol/formula audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (prior targeted passes plus 1 current full-page pass) || RA14 symbol/formula audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete printed page: Pascal/Maisano prose, two relation formulas, goal paragraph, Hilbert finiteness paragraph, Delta/nu module chain, notes and page continuity || complete printed page: Pascal/Maisano prose, two relation formulas, goal paragraph, Hilbert finiteness paragraph, Delta/nu module chain, notes and page continuity; independent second pass for source letterspacing, page-local note markers, and output structure","R620 apostrophe repair in Maisano'schen survives; relation formulas and multiplication dots survive; no new delta || Web second pass found the live apostrophe regression in Maisanoschen, source letterspacing, and page-local note markers; the prior local ledger had incorrectly said the apostrophe repair survived.","yes; prior repair survives current head || yes; WEB-EARLY-003 and WEB-EARLY-004","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge || closed_current_head_complete_page_source_checked_best_available","0","","Reopen only on a concrete original-publication contradiction. || Reopen only on a concrete source contradiction.","P01_full_page_audit_20260718.csv; source p177; output p1 || P01_full_page_audit_20260718.csv; source p177; output p1; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] No new mathematical-symbol error. This corrects a false current-survival statement in the prior local page row. || No new mathematical-symbol error."
"P01","178","2","cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","RA14 table/formula audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page and high-zoom audit plus output QA (prior targeted passes plus 1 current full-page pass) || RA14 table/formula audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page and high-zoom audit plus output QA (prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete dense printed page: nu(s), module pair, 331-count conclusion, symbolic folding product, four-column replacement array, equations s_sigma=0 and t_tau=0, theorem, exception note, Formenreihe continuation || complete dense printed page: nu(s), module pair, 331-count conclusion, symbolic folding product, four-column replacement array, equations s_sigma=0 and t_tau=0, theorem, exception note, Formenreihe continuation; independent second pass for source letterspacing, page-local note markers, and output structure","1 source-fidelity correction: stale R620 semicolon after Diagonalglied superseded by the clearly printed period; folding array and linked symbol families need no new repair || Web second pass restored source letterspacing and note markers; the source period after Diagonalglied was already present from the local 1300 dpi repair.","yes; CO-20260718-P01-002 || yes; WEB-EARLY-005 and the new portions of WEB-EARLY-006; local period retained","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge || closed_current_head_complete_page_source_checked_best_available_after_supersession","0","","Reopen only on a concrete original-publication contradiction. || Retain the period; reject the prior R620 semicolon if encountered in archaeology.","P01_span_punctuation_fix.diff; P01_p178_footnote2_punctuation_1300dpi_enlargement.png; source p178; output pp1-2 || P01_span_punctuation_fix.diff; P01_p178_footnote2_punctuation_1300dpi_enlargement.png; source p178; output pp1-2; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] No new mathematical-symbol error; one prior source-punctuation adjudication was wrong and is explicitly superseded. The independent pass confirmed the local punctuation supersession and added source typography. || No new mathematical-symbol error; one prior source-punctuation adjudication was wrong and is explicitly superseded."
"P01","179","2","cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","RA14 close-page audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (prior targeted passes plus 1 current full-page pass) || RA14 close-page audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete printed page: two schema directions, Reduzent definition, bold reduction theorem, two final reduction methods, punctuation and terminal boundary || complete printed page: two schema directions, Reduzent definition, bold reduction theorem, two final reduction methods, punctuation and terminal boundary; independent second pass for source letterspacing, page-local note markers, and output structure","no new delta || Web second pass restored source letterspacing in the reduction theorem and two item-level emphasis bands.","not applicable; current text matches source || yes; WEB-EARLY-007","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge || closed_current_head_complete_page_source_checked_best_available","0","","Reopen only on a concrete original-publication contradiction. || Reopen only on a concrete source contradiction.","P01_full_page_audit_20260718.csv; source p179; output p2 || P01_full_page_audit_20260718.csv; source p179; output p2; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] No diagrams; no omitted prose, mathematics, list item, or terminal content found. Mathematical wording is unchanged; source emphasis is now represented. || No diagrams; no omitted prose, mathematics, list item, or terminal content found."
"P02","23","2","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796 || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","origin=R603_queue_control_no_patch_closure || Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","aggregate P02 body/table current-branch survival check || full-page visual audit of title, introduction, run-in formula, names, and notes","no new source-backed patch found || source star-marker map; author/name italics; run-in automorphic formula","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference || yes; WEB-EARLY-008, WEB-EARLY-009","closed_current_head_five_page_packet_source_checked_compile_render_checked || superseded_by_20260718_page_level_secondpass","0","","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction. || Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv || 05_contacts/Web_P02_p023_title_runin_source_before_after.png; 02_source/P02/strips/P02_p023_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] This does not claim full-paper P02 closure. || R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","24","2","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796 || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","origin=R603_queue_control_no_patch_closure || Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","aggregate P02 body/table current-branch survival check || full-page visual audit of introduction prose, note formulas, emphasis, and page continuity","Benützung; cited-name italics; source * and ** markers || no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference || yes; WEB-EARLY-010","closed_current_head_five_page_packet_source_checked_compile_render_checked || superseded_by_20260718_page_level_secondpass","0","","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction. || Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv || 05_contacts/Web_P02_source_packet_contact.png; 02_source/P02/strips/P02_p024_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] Long footnote relations were reopened without further symbol change. || R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","25","2","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796 || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","origin=R603_queue_control_no_patch_closure || Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","aggregate P02 body/table current-branch survival check || full-page visual audit of module sequence, symbol inventory, and note block","no new source-backed patch found || quadratischer grammar; source name italics; source note marker","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference || yes; WEB-EARLY-011","closed_current_head_five_page_packet_source_checked_compile_render_checked || superseded_by_20260718_page_level_secondpass","0","","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction. || Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv || 05_contacts/Web_P02_p025_grammar_symbols_source_before_after.png; 02_source/P02/strips/P02_p025_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] The linked nu/varrho/t symbol inventory was reopened and retained. || R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","26","2","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796 || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","origin=R603_queue_control_no_patch_closure || Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","aggregate P02 body/table current-branch survival check || full-page visual audit of section head, symbolic-product table, condition (a), variable families, and note","no new source-backed patch found || source heading/emphasis; stacked left-numbered (a); Latin v; source note marker","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference || yes; WEB-EARLY-012, WEB-EARLY-013","closed_current_head_five_page_packet_source_checked_compile_render_checked || superseded_by_20260718_page_level_secondpass","1","linked Latin-v versus Greek-nu variable-family drift","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction. || Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv || 05_contacts/Web_P02_p026_condition_a_v_source_before_after.png; 02_source/P02/strips/P02_p026_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] Greek nu in exponent families remains; only the prose variable is Latin v. || R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","27","2","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796 || Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","origin=R603_queue_control_no_patch_closure || Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","aggregate P02 body/table current-branch survival check || full-page visual audit of theorem proof identities, multiplication, note attachment, and continuation to p28","bold Beweis; explicit product dot; source * and ** markers || no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference || yes; WEB-EARLY-014, WEB-EARLY-015","closed_current_head_five_page_packet_source_checked_compile_render_checked || superseded_by_20260718_page_level_secondpass","1","missing multiplication operator in linked folding identity","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction. || Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv || 05_contacts/Web_P02_p027_dot_markers_source_before_after.png; 02_source/P02/strips/P02_p027_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] Footnote counter guard preserves the downstream cumulative; output reconverges at p6. || R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","28","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
