"paper","printed_page_or_range","current_head","last_updated_utc","source_witness_or_basis","source_quality","audited_by_or_qc_instances","audit_depth","fixes_found","fixes_integrated","current_status","next_action","evidence_files","notes"
"P01","176","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P01_Erlangen_1907_pp176_179_original.pdf; p01_erlangen_1907_src_650-1.png; Web independent original-publication 600 dpi full page p176 and five source strips","original Erlangen 1907 publication; underlying PDF reports 600x600 ppi and the working full-page render is 650 dpi; independent Web render from the same original Erlangen witness","RA14 source audit; R203 front-matter repair; R252/R273 authority checks; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (multiple prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete printed page: title, author, dissertation excerpt, opening prose, formulas, footnotes 1-2, punctuation, emphasis, continuity; independent second pass for source letterspacing, page-local note markers, and output structure","Web second pass found source letterspacing/name typography and page-local note markers 1)/2), which the earlier local full-page pass had not represented.","yes; WEB-EARLY-001 and WEB-EARLY-002","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge","Reopen only on a concrete original-publication contradiction.","P01_full_page_audit_20260718.csv; P01_SOURCE_AUTHORITY_AND_CLOSURE_20260718.md; source p176; output p1; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] The corpus number and bibliographic citation line are transparent edition apparatus; the transcribed source heading remains intact. Independent Web review retained the original author line and improved its source typography."
"P01","177","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P01_Erlangen_1907_pp176_179_original.pdf; p01_erlangen_1907_src_650-2.png; Web independent original-publication 600 dpi full page p177 and five source strips","original Erlangen 1907 publication; underlying PDF reports 600x600 ppi and the working full-page render is 650 dpi; independent Web render from the same original Erlangen witness","RA14 symbol/formula audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete printed page: Pascal/Maisano prose, two relation formulas, goal paragraph, Hilbert finiteness paragraph, Delta/nu module chain, notes and page continuity; independent second pass for source letterspacing, page-local note markers, and output structure","Web second pass found the live apostrophe regression in Maisanoschen, source letterspacing, and page-local note markers; the prior local ledger had incorrectly said the apostrophe repair survived.","yes; WEB-EARLY-003 and WEB-EARLY-004","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge","Reopen only on a concrete original-publication contradiction.","P01_full_page_audit_20260718.csv; source p177; output p1; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] No new mathematical-symbol error. This corrects a false current-survival statement in the prior local page row."
"P01","178","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P01_Erlangen_1907_pp176_179_original.pdf; p01_erlangen_1907_src_650-3.png; P01_p178_footnote2_punctuation_1300dpi_enlargement.png; P01_p178_theorem_end_punctuation_1300dpi_enlargement.png; Web independent original-publication 600 dpi full page p178 and five source strips","original Erlangen 1907 publication; 650 dpi full page plus 1300 dpi inspection enlargements from that page; independent Web render from the same original Erlangen witness","RA14 table/formula audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page and high-zoom audit plus output QA (prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete dense printed page: nu(s), module pair, 331-count conclusion, symbolic folding product, four-column replacement array, equations s_sigma=0 and t_tau=0, theorem, exception note, Formenreihe continuation; independent second pass for source letterspacing, page-local note markers, and output structure","Web second pass restored source letterspacing and note markers; the source period after Diagonalglied was already present from the local 1300 dpi repair.","yes; WEB-EARLY-005 and the new portions of WEB-EARLY-006; local period retained","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge","Reopen only on a concrete original-publication contradiction.","P01_span_punctuation_fix.diff; P01_p178_footnote2_punctuation_1300dpi_enlargement.png; source p178; output pp1-2; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] No new mathematical-symbol error; one prior source-punctuation adjudication was wrong and is explicitly superseded. The independent pass confirmed the local punctuation supersession and added source typography."
"P01","179","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P01_Erlangen_1907_pp176_179_original.pdf; p01_erlangen_1907_src_650-4.png; Web independent original-publication 600 dpi full page p179 and five source strips","original Erlangen 1907 publication; underlying PDF reports 600x600 ppi and the working full-page render is 650 dpi; independent Web render from the same original Erlangen witness","RA14 close-page audit; R620 punctuation pass; LocalCodex 2026-07-18 independent complete-page audit and render QA (prior targeted passes plus 1 current full-page pass); Web Pro 2026-07-18 independent complete-page reaudit; LocalCodex integration adjudication","complete printed page: two schema directions, Reduzent definition, bold reduction theorem, two final reduction methods, punctuation and terminal boundary; independent second pass for source letterspacing, page-local note markers, and output structure","Web second pass restored source letterspacing in the reduction theorem and two item-level emphasis bands.","yes; WEB-EARLY-007","closed_current_head_after_independent_web_complete_page_reaudit_and_local_merge","Reopen only on a concrete original-publication contradiction.","P01_full_page_audit_20260718.csv; source p179; output p2; Web_P01_P02p023_027_page_audit.csv; Web_P01 source/contact evidence","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] No diagrams; no omitted prose, mathematics, list item, or terminal content found. Mathematical wording is unchanged; source emphasis is now represented."
"P02","23","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","02_source/P02/full_pages/P02_p023_source_600dpi.png; P02 original article PDF","fresh 600 dpi render from original JRAM article; complete page","Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","full-page visual audit of title, introduction, run-in formula, names, and notes","source star-marker map; author/name italics; run-in automorphic formula","yes; WEB-EARLY-008, WEB-EARLY-009","closed_current_head_five_page_packet_source_checked_compile_render_checked","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction.","05_contacts/Web_P02_p023_title_runin_source_before_after.png; 02_source/P02/strips/P02_p023_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] This does not claim full-paper P02 closure."
"P02","24","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","02_source/P02/full_pages/P02_p024_source_600dpi.png; P02 original article PDF","fresh 600 dpi render; complete page","Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","full-page visual audit of introduction prose, note formulas, emphasis, and page continuity","Benützung; cited-name italics; source * and ** markers","yes; WEB-EARLY-010","closed_current_head_five_page_packet_source_checked_compile_render_checked","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction.","05_contacts/Web_P02_source_packet_contact.png; 02_source/P02/strips/P02_p024_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] Long footnote relations were reopened without further symbol change."
"P02","25","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","02_source/P02/full_pages/P02_p025_source_600dpi.png; P02 original article PDF","fresh 600 dpi render; complete page","Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","full-page visual audit of module sequence, symbol inventory, and note block","quadratischer grammar; source name italics; source note marker","yes; WEB-EARLY-011","closed_current_head_five_page_packet_source_checked_compile_render_checked","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction.","05_contacts/Web_P02_p025_grammar_symbols_source_before_after.png; 02_source/P02/strips/P02_p025_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] The linked nu/varrho/t symbol inventory was reopened and retained."
"P02","26","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","02_source/P02/full_pages/P02_p026_source_600dpi.png; P02 original article PDF","fresh 600 dpi render; complete page","Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","full-page visual audit of section head, symbolic-product table, condition (a), variable families, and note","source heading/emphasis; stacked left-numbered (a); Latin v; source note marker","yes; WEB-EARLY-012, WEB-EARLY-013","closed_current_head_five_page_packet_source_checked_compile_render_checked","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction.","05_contacts/Web_P02_p026_condition_a_v_source_before_after.png; 02_source/P02/strips/P02_p026_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] Greek nu in exponent families remains; only the prose variable is Latin v."
"P02","27","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","02_source/P02/full_pages/P02_p027_source_600dpi.png; P02 original article PDF","fresh 600 dpi render; complete page","Web Pro 2026-07-18 complete-page source audit; LocalCodex 2026-07-18 source/contact and exact-diff adjudication","full-page visual audit of theorem proof identities, multiplication, note attachment, and continuation to p28","bold Beweis; explicit product dot; source * and ** markers","yes; WEB-EARLY-014, WEB-EARLY-015","closed_current_head_five_page_packet_source_checked_compile_render_checked","Continue the independent Paper 2 lane outside this closed packet; reopen this page only on a concrete source contradiction.","05_contacts/Web_P02_p027_dot_markers_source_before_after.png; 02_source/P02/strips/P02_p027_source_600dpi_strip_1.png ... strip_5.png","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated.] Footnote counter guard preserves the downstream cumulative; output reconverges at p6."
"P03","101","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","Noether_P03_GDZ_DMV19_1910_p101_canvas00000109_fullres.jpg; Noether_P03_Zur_Invariantentheorie_DMV19_1910_pp101_104_GDZ_article.pdf","complete original GDZ article page; raw page 3352x5277 plus 1000 dpi inspection witness","RA57 complete-page audit; R273 survival comparison; LocalCodex 2026-07-18 live-span and direct full-page reconciliation (3 source-reading/survival instances)","complete printed page: shared-page article boundary, title, author, lecture footnote, opening prose, punctuation, emphasis and continuity","prior title spelling and author-line repairs survive; lecture footnote survives; no new patch","yes; prior RA57 fixes retained and source reconfirmed","closed_current_head_complete_page_source_checked_best_available","Reopen only on a concrete original-source contradiction.","p03_RA57_source_page_dispositions.csv; p03_RA57_confirmed_fixes.csv; P03_current_span_lines3520_3561.tex; raw p101","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] The preceding article occupies the top of the shared source page; only Noether's article beginning was transcribed into P03."
