"input_path","note","exists"
"interlanguage-sidecar/rtl-persianate-arabic-cycle2-source-gated-draft-support-20260706/CYCLE2_SOURCE_GATED_DRAFT_ROWS.csv","post-push packet input or baseline","True"
"interlanguage-sidecar/rtl-persianate-arabic-cycle2-source-gated-draft-support-20260706/CYCLE2_INTERLINEAR_SCAFFOLDS.jsonl","post-push packet input or baseline","True"
"source-canon-recovery/r3-extraction-correctness-source-use-audit-20260706/SOURCE_GATED_DRAFT_ELIGIBILITY.csv","post-push packet input or baseline","True"
"source-canon-recovery/r3-source-use-routing-continuation-20260706/SOURCE_GATED_DRAFT_ROUTING_ROWS.csv","post-push packet input or baseline","True"
"language-source-bodies/rtl-persianate-arabic/generated-drafts/draft-translation-support/DRAFT_TRANSLATION_SUPPORT.csv","post-push packet input or baseline","True"
"language-source-bodies/rtl-persianate-arabic/generated-drafts/draft-translation-support/SOURCE_CONTEXT_NOTES.csv","post-push packet input or baseline","True"
"source-canon-recovery/r3-ur-ota-source-body-recovery-cycle3-20260706/EXACT_TERM_CONTEXT_EVIDENCE_CYCLE3.csv","post-push packet input or baseline","True"
"source-canon-recovery/r3-ur-ota-source-body-recovery-cycle3-20260706/SOURCE_BODY_CANDIDATES_CYCLE3.csv","post-push packet input or baseline","True"
"source-canon-recovery/r3-ur-ota-source-body-recovery-cycle3-20260706/BLOCKER_GAP_ROWS_CYCLE3.csv","post-push packet input or baseline","True"
"interlanguage-sidecar/r3-fable-chatgpt-claude-standardization-20260706/R3_FABLE_CHATGPT_CLAUDE_STANDARDIZATION_WORKCYCLE_20260706T024956Z","post-push packet input or baseline","True"
