"source_use_label","source_type","next_action","capture_status","candidate_id","boundary","bytes","sha256","local_path","title","language_gate","access_license_signal"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-000","captured for source-canon/provenance review only; no source certification or accepted terminology","996","f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6","source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-001","captured for source-canon/provenance review only; no source certification or accepted terminology","15007","6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb","source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_1","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-002","captured for source-canon/provenance review only; no source certification or accepted terminology","27043","7f159a655be44f4ac555a322a3e0fffd9a4456f090a0dd554dec791b4cff9237","source-bodies\ur_Arab\UR-WB-LA-002_bab2_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_2","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-003","captured for source-canon/provenance review only; no source certification or accepted terminology","9159","ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6","source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_3","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-004","captured for source-canon/provenance review only; no source certification or accepted terminology","31701","eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42","source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_4","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-005","captured for source-canon/provenance review only; no source certification or accepted terminology","16543","8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9","source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_5","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-006","captured for source-canon/provenance review only; no source certification or accepted terminology","11061","21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207","source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_6","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-007","captured for source-canon/provenance review only; no source certification or accepted terminology","17521","7dcbd4e6d434d7c51208f1411e66361b7571a31e11d79ba5997863322e3961d5","source-bodies\ur_Arab\UR-WB-LA-007_bab7_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_7","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","MediaWiki raw wikitext source-body candidate","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","captured","UR-WB-LA-008","captured for source-canon/provenance review only; no source certification or accepted terminology","20447","8816e9349b30a7d415452a1731783f333e8cf73dea6b5e850d9ce8591fba1f6d","source-bodies\ur_Arab\UR-WB-LA-008_bab8_ur_wikibooks_linear_algebra_raw.wikitext","لکیری_الجبرا/باب_8","ur_Arab","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim"
"Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body","PDF provenance lead","trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate","captured","OTA-CEBIR-003","provenance only; does not close literal Ottoman source-body blocker","11264217","a6a1b0e09ec00894c136376686a8545c8e9248a5776d8fc536affc2532fb4f3a","source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf","Takiyuddin'in Cebir Risalesi DergiPark PDF","ota_Arab","public web/PDF access signal; no license-clearance claim"
