"bucket","witness_class","count","bytes"
"extracted-ocr-witnesses","extracted_text_or_ocr_witness","26","3338359"
"provenance/download-probes-and-blockers","blocker_or_runtime_error_witness","18","9770"
"provenance/download-probes-and-blockers","download_probe_or_ambiguous_binary","5","3749944"
"provenance/html","provenance_or_metadata_html","19","3059457"
"provenance/http-headers","http_header_witness","9","10909"
"provenance/other","text_provenance_witness","4","404838"
"provenance/search-results","source_archive_search_result","10","4158"
"source-bodies/doc","literal_source_body_doc","1","322560"
"source-bodies/native-html","native_web_source_body_html","1","23862"
"source-bodies/native-text","native_mediawiki_source_text","15","195491"
"source-bodies/pdf","literal_source_body_pdf","27","135036877"
