"field","value"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_58566B83_7B77_EB15_BRANCH_VISIBILITY_AUDIT_20260706\R3_58566B83_7B77_EB15_BRANCH_VISIBILITY_AUDIT_20260706_20260706T211509Z"
"prior_frontier","7b77da5b876cad312a205bfdc0278659497c3dd8"
"current_frontier","58566b83bd3cdc838d25f3659b4b0d81af4ac103"
"branch_delta_rows","18"
"branch_visible_eb15_files","11"
"branch_local_hash_matches","11"
"branch_local_hash_mismatches","0"
"r3_source_fact_change","false"
"new_generated_draft_rows","false"
"language_lane_git_push","false"
