alignment_id,alignment_area,source_checked,observed_state,session_k_alignment_action,review_only_or_gap_boundary,mapping_decisions,translations_created,approvals_recorded,gate_promotions,done_claims,git_push_by_session_k
K-NPA-001,repo_instruction,AGENTS.md,source canon before translation; GitHub is instruction bus; B3 packages and pushes,keep Session K support source-witness-first and route cross-lane requests through GitHub-visible artifacts,not a source witness; instruction alignment only,0,0,0,0,0,false
K-NPA-002,repo_instruction,.github/copilot-instructions.md,source-canon support required before translation or validation,keep generated templates separate from source corpus and publish only provenance/gap labels,not a reviewer return or license clearance,0,0,0,0,0,false
K-NPA-003,parent_ledger,NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md,parent ledger keeps OLP as support lane and B3 as package steward,record OLP source-witness support and explicit gaps without language ownership claims,language lanes own target-language source witnesses,0,0,0,0,0,false
K-NPA-004,source_steering,NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md,required witness shape includes lane; target; title; owner; topic; tier; source type; URL; path; license/access; hash; language; gap; non-claim boundary,crosswalk Session K witness register to required fields and record gaps for fields outside support-lane scope,not a replacement for target-language source witness tables,0,0,0,0,0,false
K-NPA-005,b3_steward_log,NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md,B3 records source-canon supplements; packages; safety scans; and B3-only push authority,keep Session K package-compatible only and avoid staging or pushing from this lane,B3 owns gating; staging; commit; push; PR alignment,0,0,0,0,0,false
K-NPA-006,branch_frontier,codex/noether-pc-20260629 checkout,observed HEAD 6f756fcf3ab0528ab6286c4ee53f69ff956bf82a Route Noether machine coordination through GitHub,record observed frontier as coordination context only,not a package action by Session K,0,0,0,0,0,false
K-NPA-007,adjacent_lane_scan,local noether-* output directories,15 output lanes with source-like artifacts observed; OLP output folder has 52 files and 6 source-like files,do not rediscover other lane source witnesses; point to them and keep OLP support distinct from language content,counts are directory observations only,0,0,0,0,0,false
K-NPA-008,slavic_source_canon_shelf,repo noether-slavic-source-canon/20260704,8 source-canon directories observed including arXiv; GitHub TeX; focused algebra; web provenance; weak-language supplements,use Slavic shelves as source-canon context only; do not generalize Slavic evidence to other languages,not an OLP approval or target-language substitute,0,0,0,0,0,false
K-NPA-009,session_k_source_register,SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704,local source witness register exists; markdown sha256 86368CBC8DF2E4E854A03058CD04DA7F422994C4946C7E522CB822DD75BE0B18,keep this as Session K's source-canon-first entry point for OLP/relation-function support,source pointer metadata only,0,0,0,0,0,false
K-NPA-010,required_field_gap,target_language_or_access_target,Session K is a support lane rather than a target-language lane,represent target-language needs as owner_route and review_only_language_route rows; language owners supply actual source witnesses,explicit gap row for target-language source canon,0,0,0,0,0,false
K-NPA-011,required_field_gap,source_author_or_owner,Session K source register captures source family and URLs but not normalized author/owner in every row,add strict author/owner normalization only if a source-policy owner returns evidence,field gap not approval blocker resolution,0,0,0,0,0,false
K-NPA-012,review_only_boundary,blank templates and intake rows,package148 slots; router; proof policy; context shells; intake rows remain blank support infrastructure,keep all blank rows out of reviewer-return and source-canon counts,no blank row is a return,0,0,0,0,0,false
