entry_id,lemma,english_gloss,class,variant_count,variants_sample,provenance,status,source_use,permitted_use_weight,support_path_weight,review_risk_weight,automaton_path
reg-analogija,analogija,analogously,proof_adverb,10,analogija; analogiji; analogno; analogične; analogon; analogije; analogna; analogičny; analognom; analogičnyh,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3213,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[10] -> REVIEW[0.60]
reg-byti,byti,were,auxiliary,2,byly; byti,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
integral-whole,cěly,integral / whole (entire),curriculum_algebra,7,cel; cela; celo; cěl; cěla; cělo; cělu,fable_pass28_kwic;fable_pass29_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2892,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[7] -> REVIEW[0.60]
reg-davati,davati,giving,proof_operation,11,dade; dala; dali; dalo; danu; dati; dava; davaje; davajemo; davajut; davati,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass28_kwic;fable_pass29_kwic;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3276,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[11] -> REVIEW[0.60]
reg-dobiti,dobiti/dobyti,obtains; gets,proof_operation,12,dobilo; dobite; dobiti; dobiva; dobivajemo; dobiven; dobiveny; dobyta; dobyte; dobyva; dobyvajut; dobyvamo,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass28_kwic;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3326,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[12] -> REVIEW[0.60]
obtains-yields,dobivaje,obtains / yields,proof_grammar,3,dobiv; poluc; poluč,fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
reg-dopuščati,dopuščati,allows; admits,modal/proof_predicate,11,dopusca; dopuska; dopuskaje; dopustja; dopusča; dopušća; dopušćajut; dopušča; dopuščati; dozvalja; dozvoljaje,chatgpt_v1;chatgpt_v4_longtail_attach;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3276,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[11] -> REVIEW[0.60]
reg-dostati,dostati/dobyti,we obtain,proof_operation,8,dostajemo; dostati; dostavajemo; dostavajut; dostajut; dostatno; dostavljeno; dostavljene,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3026,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[8] -> REVIEW[0.60]
reg-dva,dva,two (genitive/locative),quantifier,7,dva; dvaju; dvije; dvoma; dvuh; dvěh; dvěma,chatgpt_v1;fable_pass27_kwic;fable_pass29_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2892,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[7] -> REVIEW[0.60]
divisible,dělimy,divisible,curriculum_algebra,5,delim; dělim; děliv; dělivna; děljiva,fable_pass28_kwic;fable_pass29_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
