concept_norm,term_count,E_mass,W_mass,S_mass,I_mass,X_mass,candidate_W_add,candidate_S_add,D1_effective_branches_certified,D1_effective_branches_candidate,KL_to_balanced_certified,KL_to_balanced_candidate,mean_accept_support_candidate_pct,adverse_terms,writeback_candidates,top_flags,top_actions,routes,example_term_ids
(unlinked),642,1375.0,81.0,78.0,0.0,169.0,0.0,0.0,1.499,1.499,0.694,0.694,3.57,0,0,F10-1:382; F10-0:200; F10-3:28; F10-2:19; F10-4:13,MISSING_WITNESS_BACKFILL:382; REVIEW_OR_CONTEXT_CHECK:125; ACCEPTABLE_LOW_PRIORITY:75; P1_REVIEW_ADVERSE_OR_COMPETITOR:28; OVERCLAIM_BACKFILL_NEEDED:19; AUTHORITY_OR_SPECIALIST_NEEDED:13,(none):581; D_no_route_true_gap:60; E_noise_or_bibliographic:1,ISV-a_b_c_a_b_c--a_b_c_a_b_c; ISV-a_b_c_d--a_b_c_d; ISV-a_b_c_d_a_b--a_b_c_d_a_b; ISV-absolute_irreduzibilität_absolut_irreduz--absolutna_nerazložim; ISV-abstrakte_idealtheorie--abstraktna_teorija_i
ideal,70,152.0,28.0,28.0,0.0,3.0,43.55,43.55,2.158,2.798,0.33,0.07,30.93,0,67,F10-1:67; F10-0:2; F10-4:1,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:67; AUTHORITY_OR_SPECIALIST_NEEDED:1; ACCEPTABLE_LOW_PRIORITY:1; REVIEW_OR_CONTEXT_CHECK:1,A_probe_covered_concept:67; (none):3,ISV-absolutes_primideal--absolutny_prosty_ide; ISV-allgemeine_idealtheorie--obča_teorija_idealov; ISV-ausnahmeprimzahlen_ausnahme-primideale--izključene_prvočisla; ISV-direkte_summenzerlegung_in_rechtsideale--direktno_razloženje_; ISV-durch_ein_ideal_teilbar_f_0_m--dělimy_črez_ideal_f_
coefficient,48,57.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,8.85,0,0,F10-1:48,MISSING_WITNESS_BACKFILL:48,A_probe_covered_concept:48,ISV-abbildungsfunktionen--funkcije_odobraženja; ISV-die_übrigen_formen--ostale_formy; ISV-eindeutigkeits-_und_anordnungssatz--teorema_jednoznačnos; ISV-entsprechenden_formen--odgovarjajuče_formy; ISV-faltung_von_s_mit_den_formen_7_ordnung--svijanje_s_s_formami
basis,36,74.0,7.0,7.0,0.0,0.0,23.4,23.4,1.731,2.721,0.55,0.098,22.82,0,36,F10-1:36,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:36,A_probe_covered_concept:36,ISV-algebraische_basis_rationale_basis--algebraična_baza_rac; ISV-algebraische_erweiterung--algebraično_razširen; ISV-ausgezeichnete_basis--vyznačena_baza; ISV-basisbegriffe--pojmy_bazy; ISV-basisfragen--pitanja_o_bazah
field,36,69.0,6.0,6.0,0.0,0.0,23.4,23.4,1.686,2.743,0.576,0.09,18.09,36,0,F10-1:36,P1_REVIEW_ADVERSE_OR_COMPETITOR:36,A_probe_covered_concept:36,ISV-absolut-irreduzibel--absolutno_ireducibil; ISV-absolut-irreduzible_darstellung--absolutno_ireducibil; ISV-algebraisch-ganz_rational-ganz--algebraično-cěly_rac; ISV-algebraisch-ganz_und_ganzzahlig_in_bezug--algebraično_cěla_i_c; ISV-algebraisch-ganze_abgeschlossenheit--algebraično-cěla_zat
form,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.24,0,0,F10-1:24,MISSING_WITNESS_BACKFILL:24,B_intl_stem_probeable:17; C_concept_linked_shelf_plausible:7,ISV-anfangsform--početna_forma; ISV-ausgelassen_sind--sut_izpušćene; ISV-einförmiger_fall--jednoformny_slučaj; ISV-formenreiheformenreihen--ręd_form_rędy_form; ISV-gesamtformenreihe--cěly_ręd_form
folding,21,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,4.72,0,0,F10-1:21,MISSING_WITNESS_BACKFILL:21,C_concept_linked_shelf_plausible:21,ISV-ein-_und_zweimalige_faltungen--jedno-_i_dvojnokratn; ISV-einmalige_faltung--jednokratno_svijanje; ISV-einmalige_faltung--jednorazovo_svijanje; ISV-faltung_von_s_mit_nu_h_l_h2--svijanje_s_s_nu_h_l_; ISV-faltungsprozeß_faltung--proces_svijanja_svij
element,20,39.0,2.0,2.0,0.0,6.0,8.45,8.45,1.453,2.432,0.725,0.21,26.4,20,13,F10-1:15; F10-0:3; F10-4:1; F10-3:1,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:13; REVIEW_OR_CONTEXT_CHECK:3; MISSING_WITNESS_BACKFILL:2; AUTHORITY_OR_SPECIALIST_NEEDED:1; P1_REVIEW_ADVERSE_OR_COMPETITOR:1,A_probe_covered_concept:13; (none):5; B_intl_stem_probeable:2,ISV-elementarteiler--elementarne_dělitelj; ISV-elementarteiler--elementarny_dělitelj; ISV-elementarteilerform--forma_elementarnyh_d; ISV-elementarteilerform_norm--forma_elementarnyh_d; ISV-elementarteilersystem--sistem_elementarnyh_
covariant,18,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,10.8,18,0,F10-1:18,P0_TRAP_SENSE_AUDIT:18,A_probe_covered_concept:18,ISV-als_kovariante_betrachtet--razmatrivana_kako_ko; ISV-als_produkte_von_system_i_und_ii_bleiben--kako_produkty_sistem; ISV-associated_system_of_values--prinaležny_sistem_ve; ISV-hyperkomplexes_system--hiperkompleksny_sist; ISV-relativ_vollständige_system--relativno_polny_sist
module,18,27.0,7.0,7.0,0.0,0.0,11.7,11.7,2.408,2.952,0.22,0.016,27.22,0,18,F10-1:18,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:18,A_probe_covered_concept:18,ISV-hassescher_normensatz--normna_teorema_hasse; ISV-hauptmodul--glavny_modul; ISV-k-rechtsmodul--pravy_k-modul; ISV-linearformenmodul--modul_linearnyh_form; ISV-modul_aus_linearformen--modul_iz_linearnyh_f
