term_id,source_term,chosen_form_latin,chosen_form_cyrillic,concept,concept_norm,source_pointers,record_count,reason_class,status,f10_flag_original,f10_flag_current,route,route_key,c2_priority,trap_concept,witness_E,witness_W,witness_S,witness_I,witness_X,candidate_W_add,candidate_S_add,D1_effective_branches_certified,D1_effective_branches_candidate,KL_to_balanced_certified,KL_to_balanced_candidate,support_mass_certified,support_mass_candidate,adverse_mass,gap_mass,source_weight,concept_link_weight,candidate_form_weight,support_path_weight_certified,support_path_weight_candidate,adverse_path_weight,gap_path_weight,automaton_accept_support_certified_pct,automaton_accept_support_candidate_pct,west_status,south_status,support_west_count,support_south_count,competitor_west_count,competitor_south_count,ws_forms_top,ws_source_files_count,candidate_source,writeback_status,routeB_kwic_rows,recommended_action,operational_weight_band,automaton_path
ISV-a_b_c_a_b_c--a_b_c_a_b_c,"A) / B) / C), a) / b) / c)","A) / B) / C), a) / b) / c)","А) / Б) / Ц), а) / б) / ц)",,,noether_paper02_section23_terms.json,1,international;script_stability,unstated,F10-0,F10-0,,,False,False,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,1.55,1.55,0.0,0.65,0.9,0.2,0.88,0.0931,0.0931,0.0044,0.938,8.99,8.99,no_ws_data,no_ws_data,0,0,0,0,,0,,none,0,REVIEW_OR_CONTEXT_CHECK,C_gap_or_missing_witness,START -> SOURCE[0.90] -> CONCEPT[0.20] -> FORM[0.88] -> SUPPORT/EVIDENCE[0.093] | ADVERSE[0.004] | GAP[0.938]
ISV-a_b_c_d--a_b_c_d,A) / B) / C) / D),A) / B) / C) / D),А) / Б) / Ц) / Д),,,noether_paper02_section22_terms.json,1,script_stability,unstated,F10-1,F10-1,D_no_route_true_gap,,False,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,1.0,1.0,0.0,1.0,0.9,0.05,0.63,0.0123,0.0123,0.0055,1.342,0.91,0.91,no_ws_data,no_ws_data,0,0,0,0,,0,,none,0,MISSING_WITNESS_BACKFILL,C_gap_or_missing_witness,START -> SOURCE[0.90] -> CONCEPT[0.05] -> FORM[0.63] -> SUPPORT/EVIDENCE[0.012] | ADVERSE[0.005] | GAP[1.342]
ISV-a_b_c_d_a_b--a_b_c_d_a_b,"A) / B) / C) / D), a) / b)","A) / B) / C) / D), a) / b)","А) / Б) / Ц) / Д), а) / б)",,,noether_paper02_section24_terms.json,1,script_stability,unstated,F10-1,F10-1,D_no_route_true_gap,,False,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,1.0,1.0,0.0,1.0,0.9,0.05,0.63,0.0123,0.0123,0.0055,1.342,0.91,0.91,no_ws_data,no_ws_data,0,0,0,0,,0,,none,0,MISSING_WITNESS_BACKFILL,C_gap_or_missing_witness,START -> SOURCE[0.90] -> CONCEPT[0.05] -> FORM[0.63] -> SUPPORT/EVIDENCE[0.012] | ADVERSE[0.005] | GAP[1.342]
ISV-abbildungsfunktionen--funkcije_odobraženja,,funkcije odobraženja,функције одображеньа,coefficient,coefficient,noether_paper06_section03_terms.json,1,unstated,unstated,F10-1,F10-1,A_probe_covered_concept,coefficient,True,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,1.0,1.0,0.0,0.5,0.45,0.65,0.52,0.0662,0.0662,0.0293,0.563,10.05,10.05,no_ws_data,no_ws_data,0,0,0,0,[]:2,0,,review_context_required,0,MISSING_WITNESS_BACKFILL,C_gap_or_missing_witness,START -> SOURCE[0.45] -> CONCEPT[0.65] -> FORM[0.52] -> SUPPORT/EVIDENCE[0.066] | ADVERSE[0.029] | GAP[0.563]
ISV-abbildungssystem--odobražajuči_sistem,,odobražajuči sistem,одображајучи систем,sistem,sistem,noether_paper06_section03_terms.json; noether_paper06_section04_terms.json,2,unstated,unstated,F10-1,F10-1,B_intl_stem_probeable,sistem,False,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,1.0,1.0,0.0,0.5,0.45,0.45,0.52,0.0458,0.0458,0.0203,0.599,6.89,6.89,no_ws_data,no_ws_data,0,0,0,0,,0,,none,0,MISSING_WITNESS_BACKFILL,C_gap_or_missing_witness,START -> SOURCE[0.45] -> CONCEPT[0.45] -> FORM[0.52] -> SUPPORT/EVIDENCE[0.046] | ADVERSE[0.020] | GAP[0.599]
ISV-absolut-irreduzibel--absolutno_ireducibil,absolut-irreduzibel,absolutno ireducibilny,абсолутно иредуцибилны,field,field,noether_paper34_section21_source_fidelity_terms.json,1,unstated,unstated,F10-1,F10-1,A_probe_covered_concept,field,True,False,2.0,0.0,0.0,0.0,0.0,0.65,0.65,1.0,2.569,1.099,0.155,1.0,2.105,1.0,0.35,0.9,0.65,0.52,0.1324,0.2128,0.3042,0.476,14.51,21.43,support_plus_competitor,support_plus_competitor,78,2090,2054,138,"cognate of ISV form:1084; cs těleso:581; pl ciało(field):360; cs/sk (ascii):86; sl obseg:52; bg pole:17; [[""těles"", 581], [""ciał"", 360], [""teles"", 86], [""pole"", 39]]:1; [[""polj"", 1008], [""obseg"", 52], [""поле"", 34], [""pole"", 20]]:1",21,routeA_policy,hold_for_variant_policy_support_and_competitor_channel,0,P1_REVIEW_ADVERSE_OR_COMPETITOR,C_partial,START -> SOURCE[0.90] -> CONCEPT[0.65] -> FORM[0.52] -> SUPPORT/EVIDENCE[0.213] | ADVERSE[0.304] | GAP[0.476]
ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,,absolutno ireducibilno predstavjenje,абсолутно иредуцибилно представјенье,field,field,noether_paper34_section26_source_fidelity_terms.json,1,unstated,unstated,F10-1,F10-1,A_probe_covered_concept,field,True,False,2.0,1.0,1.0,0.0,0.0,0.65,0.65,2.828,2.987,0.059,0.004,2.7,3.805,1.0,0.35,0.45,0.65,0.52,0.1196,0.1348,0.1521,0.413,17.47,19.26,support_plus_competitor,support_plus_competitor,78,2090,2054,138,"cognate of ISV form:1084; cs těleso:581; pl ciało(field):360; cs/sk (ascii):86; sl obseg:52; bg pole:17; [[""těles"", 581], [""ciał"", 360], [""teles"", 86], [""pole"", 39]]:1; [[""polj"", 1008], [""obseg"", 52], [""поле"", 34], [""pole"", 20]]:1",21,routeA_policy,hold_for_variant_policy_support_and_competitor_channel,0,P1_REVIEW_ADVERSE_OR_COMPETITOR,C_partial,START -> SOURCE[0.45] -> CONCEPT[0.65] -> FORM[0.52] -> SUPPORT/EVIDENCE[0.135] | ADVERSE[0.152] | GAP[0.413]
ISV-absolute_irreduzibilität_absolut_irreduz--absolutna_nerazložim,,absolutna nerazložimost / absolutno nerazložimy,абсолутна неразложимост / абсолутно неразложимы,,,noether_paper20_terms.json,1,pan_slavic_native;international,unstated,F10-0,F10-0,,,False,False,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,2.05,2.05,0.0,0.65,0.45,0.2,0.95,0.059,0.059,0.0024,0.794,6.9,6.9,no_ws_data,no_ws_data,0,0,0,0,,0,,none,0,REVIEW_OR_CONTEXT_CHECK,C_gap_or_missing_witness,START -> SOURCE[0.45] -> CONCEPT[0.20] -> FORM[0.95] -> SUPPORT/EVIDENCE[0.059] | ADVERSE[0.002] | GAP[0.794]
ISV-absoluter_multiplikatorenbereich--absolutna_oblast_mno,absoluter Multiplikatorenbereich,absolutna oblast množiteljev,абсолутна област множительев,multiplier domain,multiplier domain,noether_paper34_section20_source_fidelity_terms.json,1,source_fidelity,unstated,F10-1,F10-1,C_concept_linked_shelf_plausible,multiplier domain,False,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,1.0,1.0,0.0,0.5,0.9,0.35,0.65,0.0891,0.0891,0.0394,0.734,10.33,10.33,no_ws_data,no_ws_data,0,0,0,0,,0,,none,0,MISSING_WITNESS_BACKFILL,C_gap_or_missing_witness,START -> SOURCE[0.90] -> CONCEPT[0.35] -> FORM[0.65] -> SUPPORT/EVIDENCE[0.089] | ADVERSE[0.039] | GAP[0.734]
ISV-absolutes_primideal--absolutny_prosty_ide,,absolutny prosty ideal,,ideal,ideal,noether_paper35_source_fidelity_terms.json,1,source_fidelity,unstated,F10-1,F10-1,A_probe_covered_concept,ideal,True,False,2.0,1.0,1.0,0.0,0.0,0.65,0.65,2.828,2.987,0.059,0.004,2.7,3.805,0.0,0.35,0.45,0.65,0.65,0.1495,0.1685,0.0366,0.413,24.95,27.26,support_only,support_only,1016,1576,0,0,"cognate of ISV form:1296; [[""ideál"", 336], [""ideał"", 164], [""ideal"", 8]]:1; [[""ideal"", 759], [""идеал"", 29]]:1",17,routeA_policy,candidate_F10_writeback_after_Noether_source_row_check,0,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK,C_partial,START -> SOURCE[0.45] -> CONCEPT[0.65] -> FORM[0.65] -> SUPPORT/EVIDENCE[0.169] | ADVERSE[0.037] | GAP[0.413]
