term_id,from_state,to_state,transition_type,semiring,weight,evidence
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q0_START,q1_SOURCE,source_authority,support_product,0.9,canonical source term present
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.2,unlinked
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q2_CONCEPT,q3_ISV_FORM,candidate_form,support_product,0.88,international;script_stability
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_E_SUPPORT,support_branch,support_sum,0.68109,E witness mass=2.0
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_W_SUPPORT,support_branch,support_sum,0.0,W witness mass=0.0
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_S_SUPPORT,support_branch,support_sum,0.0,S witness mass=0.0
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_I_SUPPORT,support_branch,support_sum,0.0,I witness mass=0.0
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_X_SUPPORT,support_branch,support_sum,0.43528,X witness mass=1.0
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_ADVERSE,adverse_or_competitor,risk_maxplus,0.0,no_ws_data / no_ws_data; flag=F10-0; trap=False
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q3_ISV_FORM,q4_GAP,missing_evidence,gap_sum,0.65,no route
ISV-a_b_c_a_b_c--a_b_c_a_b_c,q4_SUPPORT,q5_DECISION,acceptance_candidate,support_product,0.08989,REVIEW_OR_CONTEXT_CHECK
ISV-a_b_c_d--a_b_c_d,q0_START,q1_SOURCE,source_authority,support_product,0.9,canonical source term present
ISV-a_b_c_d--a_b_c_d,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.05,unlinked
ISV-a_b_c_d--a_b_c_d,q2_CONCEPT,q3_ISV_FORM,candidate_form,support_product,0.63,script_stability
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_E_SUPPORT,support_branch,support_sum,0.68109,E witness mass=2.0
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_W_SUPPORT,support_branch,support_sum,0.0,W witness mass=0.0
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_S_SUPPORT,support_branch,support_sum,0.0,S witness mass=0.0
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_I_SUPPORT,support_branch,support_sum,0.0,I witness mass=0.0
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_X_SUPPORT,support_branch,support_sum,0.0,X witness mass=0.0
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_ADVERSE,adverse_or_competitor,risk_maxplus,0.0,no_ws_data / no_ws_data; flag=F10-1; trap=False
ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM,q4_GAP,missing_evidence,gap_sum,1.0,D_no_route_true_gap
ISV-a_b_c_d--a_b_c_d,q4_SUPPORT,q5_DECISION,acceptance_candidate,support_product,0.00908,MISSING_WITNESS_BACKFILL
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q0_START,q1_SOURCE,source_authority,support_product,0.9,canonical source term present
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.05,unlinked
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q2_CONCEPT,q3_ISV_FORM,candidate_form,support_product,0.63,script_stability
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_E_SUPPORT,support_branch,support_sum,0.68109,E witness mass=2.0
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_W_SUPPORT,support_branch,support_sum,0.0,W witness mass=0.0
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_S_SUPPORT,support_branch,support_sum,0.0,S witness mass=0.0
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_I_SUPPORT,support_branch,support_sum,0.0,I witness mass=0.0
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_X_SUPPORT,support_branch,support_sum,0.0,X witness mass=0.0
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_ADVERSE,adverse_or_competitor,risk_maxplus,0.0,no_ws_data / no_ws_data; flag=F10-1; trap=False
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q3_ISV_FORM,q4_GAP,missing_evidence,gap_sum,1.0,D_no_route_true_gap
ISV-a_b_c_d_a_b--a_b_c_d_a_b,q4_SUPPORT,q5_DECISION,acceptance_candidate,support_product,0.00908,MISSING_WITNESS_BACKFILL
ISV-abbildungsfunktionen--funkcije_odobraženja,q0_START,q1_SOURCE,source_authority,support_product,0.45,source term missing/implicit
ISV-abbildungsfunktionen--funkcije_odobraženja,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.65,coefficient
ISV-abbildungsfunktionen--funkcije_odobraženja,q2_CONCEPT,q3_ISV_FORM,candidate_form,support_product,0.52,unstated
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_E_SUPPORT,support_branch,support_sum,0.68109,E witness mass=2.0
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_W_SUPPORT,support_branch,support_sum,0.0,W witness mass=0.0
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_S_SUPPORT,support_branch,support_sum,0.0,S witness mass=0.0
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_I_SUPPORT,support_branch,support_sum,0.0,I witness mass=0.0
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_X_SUPPORT,support_branch,support_sum,0.0,X witness mass=0.0
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_ADVERSE,adverse_or_competitor,risk_maxplus,0.0,no_ws_data / no_ws_data; flag=F10-1; trap=False
ISV-abbildungsfunktionen--funkcije_odobraženja,q3_ISV_FORM,q4_GAP,missing_evidence,gap_sum,0.5,A_probe_covered_concept
ISV-abbildungsfunktionen--funkcije_odobraženja,q4_SUPPORT,q5_DECISION,acceptance_candidate,support_product,0.10054,MISSING_WITNESS_BACKFILL
ISV-abbildungssystem--odobražajuči_sistem,q0_START,q1_SOURCE,source_authority,support_product,0.45,source term missing/implicit
ISV-abbildungssystem--odobražajuči_sistem,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.45,sistem
ISV-abbildungssystem--odobražajuči_sistem,q2_CONCEPT,q3_ISV_FORM,candidate_form,support_product,0.52,unstated
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_E_SUPPORT,support_branch,support_sum,0.68109,E witness mass=2.0
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_W_SUPPORT,support_branch,support_sum,0.0,W witness mass=0.0
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_S_SUPPORT,support_branch,support_sum,0.0,S witness mass=0.0
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_I_SUPPORT,support_branch,support_sum,0.0,I witness mass=0.0
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_X_SUPPORT,support_branch,support_sum,0.0,X witness mass=0.0
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_ADVERSE,adverse_or_competitor,risk_maxplus,0.0,no_ws_data / no_ws_data; flag=F10-1; trap=False
ISV-abbildungssystem--odobražajuči_sistem,q3_ISV_FORM,q4_GAP,missing_evidence,gap_sum,0.5,B_intl_stem_probeable
ISV-abbildungssystem--odobražajuči_sistem,q4_SUPPORT,q5_DECISION,acceptance_candidate,support_product,0.06891,MISSING_WITNESS_BACKFILL
ISV-absolut-irreduzibel--absolutno_ireducibil,q0_START,q1_SOURCE,source_authority,support_product,0.9,canonical source term present
ISV-absolut-irreduzibel--absolutno_ireducibil,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.65,field
ISV-absolut-irreduzibel--absolutno_ireducibil,q2_CONCEPT,q3_ISV_FORM,candidate_form,support_product,0.52,unstated
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_E_SUPPORT,support_branch,support_sum,0.68109,E witness mass=2.0
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_W_SUPPORT,support_branch,support_sum,0.0,W witness mass=0.0
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_S_SUPPORT,support_branch,support_sum,0.0,S witness mass=0.0
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_I_SUPPORT,support_branch,support_sum,0.0,I witness mass=0.0
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_X_SUPPORT,support_branch,support_sum,0.0,X witness mass=0.0
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_W_CANDIDATE_SUPPORT,candidate_support_branch,support_sum,0.31025,routeA_policy
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_S_CANDIDATE_SUPPORT,candidate_support_branch,support_sum,0.31025,routeA_policy
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_ADVERSE,adverse_or_competitor,risk_maxplus,1.0,support_plus_competitor / support_plus_competitor; flag=F10-1; trap=False
ISV-absolut-irreduzibel--absolutno_ireducibil,q3_ISV_FORM,q4_GAP,missing_evidence,gap_sum,0.35,A_probe_covered_concept
ISV-absolut-irreduzibel--absolutno_ireducibil,q4_SUPPORT,q5_DECISION,acceptance_candidate,support_product,0.21433,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,q0_START,q1_SOURCE,source_authority,support_product,0.45,source term missing/implicit
ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,q1_SOURCE,q2_CONCEPT,concept_link,support_product,0.65,field
