tag,french_authority_line,english_insertion_line,kind,comparison
"5.0.1",4937,15,"formula","exact-display-parity"
"5.0.2",4941,19,"formula","exact-display-parity"
"5.0.3",4945,23,"formula","exact-display-parity"
"5.0.4",4950,28,"formula","exact-display-parity"
"5.0.5",4951,29,"formula","exact-display-parity"
"5.0.6",4955,33,"formula","exact-display-parity"
"5.0.7",4956,34,"formula","exact-display-parity"
"5.0.8",4959,37,"formula","exact-display-parity"
"5.0.9",4970,48,"formula","exact-display-parity"
"5.0.10",4974,52,"formula","exact-display-parity"
"5.0.11",4978,56,"formula","exact-display-parity"
"5.2.1",4996,74,"formula","exact-display-parity"
"5.2.2",5001,79,"formula","exact-display-parity"
"5.2.3",5009,87,"formula","exact-display-parity"
"5.3.1",5016,94,"formula","exact-display-parity"
"5.3.2",5021,99,"formula","exact-display-parity"
"5.3.3",5026,104,"formula","exact-display-parity"
"5.3.4",5032,110,"formula","exact-display-parity"
"5.3.5",5036,114,"formula","exact-display-parity"
"5.3.6",5040,118,"formula","exact-display-parity"
"5.4.1",5048,126,"formula","exact-display-parity"
"5.4.2",5057,135,"formula","exact-display-parity"
"5.6.1",5075,153,"formula","exact-display-parity"
"5.6.2",5079,157,"formula","exact-display-parity"
"5.6.3",5084,162,"formula","exact-display-parity"
"5.6.4",5085,163,"formula","exact-display-parity"
"5.6.5",5090,168,"formula","exact-display-parity"
"5.6.6",5094,172,"formula","exact-display-parity"
"5.7.1",5114,192,"formula","exact-display-parity"
"5.7.2",5122,200,"formula","exact-display-parity"
"5.7.3",5126,204,"formula","exact-display-parity"
"5.7.4",5130,208,"formula","exact-display-parity"
"5.7.5",5134,212,"formula","exact-display-parity"
"5.8.1",5142,220,"formula","exact-display-parity"
"5.8.2",5146,224,"formula","exact-display-parity"
"5.8.3",5158,236,"formula","exact-display-parity"
"5.8.4",5163,241,"diagram","exact-display-parity"
"5.8.5",5175,253,"formula","exact-display-parity"
