record_type,pdf_page,source_anchor,expose,risk_or_reason,text_chars,ink_pct_under_250,verdict,notes
diagnostic,4,,I,"required sample; overfull 38.56181 pt",2615,8.646203,pass,"dense opening content; no crop loss"
source_anchor,23,"printed source p38",I,"cartesian square U/U'/X/X' and i/i' arrows",1636,5.225989,pass,"objects and arrows visibly correct"
source_anchor,28,"printed source p48",I,"two distinguished triangles and +1 labels",1099,3.450160,pass,"both arrow cycles complete"
source_anchor,41,"printed source p71",I,"i' arrow U to Y' upward-right",1335,4.225241,pass,"arrow and label visibly correct"
diagnostic,45,,,"overfull 10.81624 pt",2021,6.114439,pass,"Kunneth paragraph complete"
diagnostic,53,,,"overfull 11.46852 pt",1382,4.344706,pass,"long formula complete"
diagnostic,63,,,"scriptsize-in-math warning",1233,3.590374,pass,"diagram 4.4.2 complete"
diagnostic,67,,,"scriptsize-in-math warning",1581,4.692727,pass,"diagram 4.4.6 complete"
diagnostic,73,,,"overfull 23.09824 pt",1980,6.265134,pass,"composition formula readable"
diagnostic,82,,,"overfull 0.29135 pt",2233,6.969519,pass,"no visible defect"
diagnostic,85,,,"overfull 11.65924 pt",1948,5.944920,pass,"residue formulas complete"
near_blank,88,,III,"characters below 600 and ink below 2%",429,1.385241,pass,"intentional bibliography/reference tail"
changed_area,94,,"III B","section 2.1 diagrams 1-4",1494,4.385027,pass,"all diagrams and references complete"
diagnostic,111,,"III B","section 5.9; overfull 5.13628 pt",1400,4.782781,pass,"extension-of-scalars formula and diagram complete"
diagnostic,115,,"III B","section 5.10.9; overfull 8.09499 pt",1935,6.579786,pass,"square (*) and displays 2-3 complete"
diagnostic,118,,"III B","required sample; scriptsize-in-math warning",1886,5.823316,pass,"5.12.2-5.12.5 diagrams and section 5.13 transition complete"
changed_area,121,,"III B","module categories and formula 6.2.3",1456,4.540000,pass,"second argument visible"
changed_area,124,,"III B","section 6.6 tensor bases",1649,4.991551,pass,"A/Lambda/A/final-A bases complete"
changed_area,135,,"III B","Proposition 6.23",1745,5.363316,pass,"connected inverse image and inclusion complete"
late_repair,190,"source p286",VII,"projective-bundle arrow c",1363,4.347807,pass,"restored map complete"
late_repair,197,,VII,"formula 3.8.1 H^{2i}",1801,5.649091,pass,"complete"
late_repair,198,,VII,"exponential sequences",2135,6.643316,pass,"t maps to 2ipi t and mod-nu sequence complete"
late_repair,207,,VII,"Q(S/T,L) with R^n",1723,5.576791,pass,"complete"
late_repair,214,,VII,"Corollary 7.4 cotangent bundle",2223,6.775401,pass,"7.4.1 and 7.4.2 complete"
late_repair,217,,VII,"Lemma 8.2(c) omitted map",1356,4.372620,pass,"restored display present"
late_repair,228,,VII,"formulas 9.7.1 9.7.4 9.8.1",1420,4.087914,pass,"symbols and pushforwards complete"
late_repair,229,,VII,"beta_* delta_* derivation and D1",1715,5.052834,pass,"derivation formulas and diagram complete"
late_repair,230,,VII,"D2 continuation and theorem",1562,4.761070,pass,"diagram and theorem complete"
late_repair,248,,X,"Proposition 3.2 K-theory bullets",1862,5.989198,pass,"K bullet not K asterisk"
late_repair,254,,X,"Sw_y' proof and 4.5.1-4.5.3",1461,4.167807,pass,"complete"
late_repair,260,,X,"reverse arrow 7.6 and triangle 7.8",1613,5.280428,pass,"complete"
late_repair,261,,X,"coproduct over y in Y",1676,5.034011,pass,"complete"
late_repair,263,,X,"triangles 7.15 7.16 and cartesian square",1204,3.986310,pass,"complete"
transition,264,,"X/XII","end X and Expose XII title",1239,4.239358,pass,"transition complete"
diagnostic,266,,XII,"trace formula; overfull 15.1008 pt",1364,3.830160,pass,"readable and unclipped"
changed_area,271,,XII,"dense local calculation",1230,3.684385,pass,"complete"
changed_area,276,,XII,"section 6.2 local terms",1775,5.486096,pass,"complete"
transition,282,,"XII/XV","end XII and Expose XV title",1113,3.902460,pass,"transition complete"
late_repair,287,,XV,"pi map type for Spec(A)",2048,6.483209,pass,"source and target complete"
late_repair,289,,XV,"Frobenius adjunction start",1961,5.877540,pass,"complete"
late_repair,290,,XV,"adjoint clause and corrected Frobenius context",1799,5.480749,pass,"complete"
late_repair,298,,XV,"finite punctual reduction",1717,5.093155,pass,"X=Spec(F_q') visible"
late_repair,299,,XV,"first noetherian reduction",2746,8.174973,pass,"j=1,...,r-1 visible"
changed_area,300,,XV,"dense Lefschetz calculation",2778,8.079144,pass,"complete"
changed_area,302,,XV,"system construction and lemma",1991,6.068449,pass,"complete"
changed_area,303,,XV,"dense continuation",3114,9.582353,pass,"complete"
transition,305,,"XV/index","terminological index start",1795,5.590374,pass,"transition complete"
index_context,307,,index,"preceding index page",817,2.439465,pass,"sparse but above candidate thresholds"
near_blank,308,,index,"characters below 600 and ink below 2%",586,1.797112,pass,"intentional index continuation"
near_blank,309,,index,"characters below 600 and ink below 2%",207,0.615615,pass,"intentional final index tail"
