artifact,sha256,bytes,role
"03_projects/language_management/english_germanic/02_native_examples/sga5_current_french_workpass/sga5_fr_workpass.tex","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28",848165,"current French authority"
"C:/Users/Floris/Documents/Papors/OS/SGA5 (1).pdf","B256EBD072A8C68209518412A263C9289C6F1854A346733D86F885930D5FE6CA",62025563,"original LNM 589 scan"
"active-workpass-lines-5134-5384.LF-normalized.UTF-8","8D17CC58DB096F6F5CCC1713F1A65E94C1C73AE465B13FEC95BF6E3300084431",18063,"integrated 251-line production block virtual witness"
"expose_iiib_5_0_5_8_insertion.tex","857C6199051E3BFED7364873512478026480B0B697810CA122640D79D7F0D218",18339,"standalone insertion witness with provenance comments"
"expose_iiib_5_0_5_8_formula_comparison.csv","8732B49A3CDFA796B1BF921A728D3B6470ED014A31A6BEF85BE41447E446B479",1951,"38-tag exact formula and diagram ledger"
"expose_iiib_5_0_5_8_audit.md","2C23B76633DE73FA5AB60F31F1E61755CEF0F32A21C7BF38BF801A308342EBC6",10124,"source terminology insertion and visual-QA audit"
"expose_iiib_5_0_5_8_compile_full.tex","8AD8C551BBB79FAFD07F2F6094CEA7041B33F6DBA1D8D01E34608B9CF2D4A460",785957,"frozen integrated active-state compile source"
"expose_iiib_5_0_5_8_compile_full.pdf","D3EB73B6950F8F5C98EA4CEAEAE2A2CC8D54F4E83E15F3F62341627A456407EF",1947314,"two-pass 308-page compile proof"
"expose_iiib_5_0_5_8_compile_full.log","EEB02E9A2C0B193200FC39E2011EE684969579B62592283B23FC6E207104C33F",348408,"final compile log"
"expose_iiib_5_0_5_8_compiled_extract.pdf","A3AA650C686FA90B875B56E6250A0CD2A870A6A6CE44232F226DF416E1EB0912",3549539,"seven-page integrated block PDF extract"
"expose_iiib_5_0_5_8_rendered/page-105.png","D3E04C0F80D6E81B4193CB40D939CC2B202B13B313852141A97BE1475BA06BA8",262354,"rendered visual QA"
"expose_iiib_5_0_5_8_rendered/page-106.png","1E136EED0EA17FF107F87BC4E53B7DCC9FB489EA00F292DA0F4DAD9FD68D5692",340845,"rendered visual QA"
"expose_iiib_5_0_5_8_rendered/page-107.png","F760DD2EDA78ABEF958B19C2109B8ACE782545CF1615E7464B6CEC31705BD2B8",280699,"rendered visual QA"
"expose_iiib_5_0_5_8_rendered/page-108.png","6562B0078A763FB36315F1B4AD71FC4BE187E1399113A1BEFD9C193D9BBA3CD5",316521,"rendered visual QA"
"expose_iiib_5_0_5_8_rendered/page-109.png","45592AA9AFB08CB35EC55C21D16F81D1C37F6E7A1BDE160D611D49816AD3BC5D",275384,"rendered visual QA"
"expose_iiib_5_0_5_8_rendered/page-110.png","3AFF8AA5897AD97A4EEC53C0D6537CCAA84CAFE80C17003F65D05D64A9326803",300487,"rendered visual QA"
"expose_iiib_5_0_5_8_rendered/page-111.png","41F474762004C9822D8713A6319FA098AC86139C7C6E2888F21BED3CCFBE4025",218621,"rendered visual QA including diagram 5.8.4 and seam into 5.9"
"expose_iiib_5_0_5_8_rendered/visual_qa_contact.png","8F773F0C8E0DE3A2CE07FAE6B511DA9EA2CB540BFE01A015752017E0539FA85C",2092278,"rendered QA contact sheet"
