"Label","Thread","Root","Path","RelativePath","Extension","Bytes","LastWriteUtc","SHA256"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\B3_UPLOADER_READY_SUMMARY.csv","B3_UPLOADER_READY_SUMMARY.csv",".csv","607","2026-07-06T04:48:27.3883805Z","50CB40DC8DFB4607A7F4B742E6EB20096C711097F077170A61A529950A67F032"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\BLOCKERS_GAPS_NEXT_ACTIONS.csv","BLOCKERS_GAPS_NEXT_ACTIONS.csv",".csv","3419","2026-07-06T04:48:27.3843629Z","B6797BD7020D432CE3B9055D37E6458347509EC52D99581F49A6DF6D825A48F7"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\DO_NOT_USE_GATE_BOUNDARY_MATRIX.csv","DO_NOT_USE_GATE_BOUNDARY_MATRIX.csv",".csv","1305","2026-07-06T04:48:27.3883805Z","EE4337F1E2019537E882C664974135F5944DE438059AA9AEB8A1DAE5BE3486BD"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv",".csv","3404","2026-07-06T04:48:27.3843629Z","CA938D877D95BBF363A1F63AB79DDB8BF30E168C2FC57300AAD0CCD30B840917"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\GATE_BOUNDARY_COUNTS.csv","GATE_BOUNDARY_COUNTS.csv",".csv","3729","2026-07-06T04:48:27.3863727Z","0688E350C5ECB3F4426529CF7607128F381A24459216BDE78BC0883193B807E7"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\LOCAL_SOURCE_BODY_AND_RECOVERY_FILE_INDEX.csv","LOCAL_SOURCE_BODY_AND_RECOVERY_FILE_INDEX.csv",".csv","132740","2026-07-06T04:48:27.3192382Z","53DA0431BEA4E1BF582A3C5919F3833571673263869A39124C9D136F0513D4AF"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\MANIFEST.csv","MANIFEST.csv",".csv","1994","2026-07-06T04:48:27.6309259Z","C8A1FA0459E4985AD36FB7A4D44BFB5BFE7A1F96B896F3506E0C5F64A514B713"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\PACKAGE_VALIDATION.json","PACKAGE_VALIDATION.json",".json","737","2026-07-06T04:48:27.4567596Z","CC8F3BE90D3255A424374E08D14DE4F2C2CA4433D85251C04FEE8C940A2A17D3"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\README.md","README.md",".md","1784","2026-07-06T04:48:27.4587676Z","BEEB8662FBF67558ABC95EEEB2118C089ADDD52CC92875059A81C697FD3A7F58"
"R3 source-backed payload","019f2b1b-443f-7d12-94b2-234a0710581e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706\R3_C7FB_MUTUAL_WAKE_SOURCE_BACKED_PAYLOAD_20260706T044807Z\RESOLVED_SOURCE_WITNESS_RECOVERY_ROWS.csv","RESOLVED_SOURCE_WITNESS_RECOVERY_ROWS.csv",".csv","15793","2026-07-06T04:48:27.3765939Z","6F4B604483F1FB5BA4975B72373B12CDC5DE3998C6082726CB47EE18A44A24B4"
