volume,paper_number,title,source_publication,language,book_page_start,book_page_end,pdf_page_start,pdf_page_end,status_note
I,1,Analytical development of Fresnel's optical theory of crystals,"Philosophical Magazine 1837, 1838",English,1,27,19,45,Paper 1 is the large optics paper; high equation density.
I,2,On the motion and rest of fluids,Philosophical Magazine 1838,English,28,32,46,50,Completed in Batch 01.
I,3,On the motion and rest of rigid bodies,Philosophical Magazine 1839,English,33,35,51,53,Completed in Batch 01.
I,4,"On definite double integration, supplementary to a former paper on the motion and rest of fluids",Philosophical Magazine 1839,English,36,38,54,56,Completed in Batch 01; two TikZ schematic figures reconstructed.
I,5,On an extension of Sir John Wilson's theorem to all numbers whatever,Philosophical Magazine 1838,English,39,39,57,57,Completed in Batch 01.
I,6,Note to the foregoing,Philosophical Magazine 1839,English,39,39,57,57,Completed in Batch 01.
I,7,"On rational derivation from equations of coexistence, that is to say, a new and extended theory of elimination, Part I",Philosophical Magazine 1839,English,40,46,58,64,
I,8,"On derivation of coexistence, Part II., being the theory of simultaneous simple homogeneous equations",Philosophical Magazine 1840,English,47,53,65,71,
I,9,A method of determining by mere inspection the derivatives from two equations of any degree,Philosophical Magazine 1840,English,54,57,72,75,
I,10,Note on elimination,Philosophical Magazine 1840,English,58,58,76,76,
I,11,On the relation of Sturm's auxiliary functions to the roots of an algebraic equation,Plymouth British Association Report 1841,English,59,60,77,78,
I,12,Examples of the dialytic method of elimination as applied to ternary systems of equations,Cambridge Mathematical Journal 1841,English,61,65,79,83,
I,13,Introduction to an essay on the amount and distribution of the multiplicity of the roots of an algebraic equation,Philosophical Magazine 1841,English,66,68,84,86,
I,14,A new and more general theory of multiple roots,Philosophical Magazine 1841,English,69,74,87,92,
I,15,"On a linear method of eliminating between double, treble, and other systems of algebraic equations",Philosophical Magazine 1841,English,75,85,93,103,
I,16,"Memoir on the dialytic method of elimination, Part I",Philosophical Magazine 1842,English,86,90,104,108,
I,17,Elementary researches in the analysis of combinatorial aggregation,Philosophical Magazine 1844,English,91,102,109,120,
I,18,On the existence of absolute criteria for determining the roots of numerical equations,Philosophical Magazine 1844,English,103,106,121,124,
I,19,An account of a discovery in the theory of numbers relative to the equation Ax^3 + By^3 + Cz^3 = Dxyz,Philosophical Magazine 1847,English,107,109,125,127,
I,20,"On the equation in numbers Ax^3 + By^3 + Cz^3 = Dxyz, and its associate system of equations",Philosophical Magazine 1847,English,110,113,128,131,
I,21,"On the general solution, in certain cases, of the equation x^3 + y^3 + z^3 = Mxyz",Philosophical Magazine 1847,English,114,118,132,136,
I,22,"On the intersections, contacts, and other correlations of two conics expressed by indeterminate coordinates",Cambridge and Dublin Mathematical Journal 1850,English,119,137,137,155,
I,23,An instantaneous demonstration of Pascal's theorem by the method of indeterminate coordinates,Philosophical Magazine 1850,English,138,138,156,156,Single-page paper; easy to lose at chunk boundary.
I,24,On a new class of theorems in elimination between quadratic functions,Philosophical Magazine 1850,English,139,144,157,162,
I,25,"Additions to the articles On a new class of theorems, and On Pascal's theorem",Philosophical Magazine 1850,English,145,151,163,169,
I,26,On the solution of a system of equations in which three homogeneous quadratic functions of three unknown quantities are respectively equated to numerical multiples of a fourth non-homogeneous function of the same,Philosophical Magazine 1850,English,152,154,170,172,
I,27,On an aporismatic property of two conics having with one another a contact of the third order,Philosophical Magazine 1850,English,155,156,173,174,
I,28,On the rotation of a rigid body about a fixed point,Philosophical Magazine 1850,English,157,161,175,179,
