"row_id","lane_scope","target_language_or_access_target","source_title","source_owner","topic_tags","evidence_tier","source_type","source_url","current_status","content_type","byte_count_or_status","sha256_or_error","signal_summary","license_access_signal","upload_policy","exact_gap_or_blocker","source_package_status","next_source_action","non_claim_boundary"
"R7KHOER001","SEA-Pacific","Khmer_Cambodia","OER Cambodia home","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;OER;Mathematics route;Grade 12 route;CC_BY","C_HTML_REMOTE_HASHED_OFFICIAL_OER_ROUTE","remote HTML official OER page","https://oer.moeys.gov.kh/","200","text/html; charset=UTF-8","168367","5EBDFACB0880D54571AB2014FF6209751C8D10E22146D443489EB1090D28E73B","Mathematics=true; Grade12=true; CC_BY=true; Khmer_script=false","OER site footer indicates Creative Commons Attribution 3.0; no license-clearance claim beyond observed site signal","manifest_only_remote_hash_no_payload","Official OER route not exact higher-algebra proof prose and not source-level TeX","no_TeX_or_source_package; official route/provenance only","Use as Cambodia OER route anchor and search item-level math documents","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER002","SEA-Pacific","Khmer_Cambodia","OER Cambodia upper secondary mathematics curriculum page","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;OER;upper secondary;Mathematics;Grade 10;Grade 11;Grade 12;curriculum","C_HTML_REMOTE_HASHED_OFFICIAL_OER_MATH_ROUTE","remote HTML official OER curriculum page","https://oer.moeys.gov.kh/2015/10/curricula-upper-secondary-education.html","200","text/html; charset=UTF-8","143206","BBFC52FBD490E6C1923A14D20945DD2FF8ADA0E489A7199FB0DD61761000A715","Mathematics=true; Grade12=true; CC_BY=true; Khmer_script=false","OER page carries site CC BY 3.0 signal; no license-clearance claim beyond observed site signal","manifest_only_remote_hash_no_payload","Official curriculum-route evidence only; no downloadable curriculum body captured from page links in this pass","no_TeX_or_source_package; no PDF body captured; not higher-algebra proof prose","Use as official upper-secondary mathematics route; continue source search for exact curriculum/PDF/text body","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER003","SEA-Pacific","Khmer_Cambodia","OER Cambodia About page","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;OER;site license;source provenance","C_HTML_REMOTE_HASHED_OFFICIAL_OER_CONTEXT","remote HTML official OER about/license page","https://oer.moeys.gov.kh/p/about-us.html","200","text/html; charset=UTF-8","133020","BC95CB462EF48FCA13D9A3977F26232A6AE9BC8EEE6A75ADD32A924EB498A056","Mathematics=true; Grade12=true; CC_BY=true; Khmer_script=false","About page carries site CC BY 3.0 signal; no license-clearance claim beyond observed site signal","manifest_only_remote_hash_no_payload","Site provenance/license context only; not a math source body","not_source_package; context/license route only","Use as OER provenance sidecar for Cambodia route rows","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER004","SEA-Pacific","Khmer_Cambodia","OER Cambodia Mathematics label page","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;OER;Mathematics label;source-return","C_HTML_REMOTE_HASHED_OFFICIAL_OER_ROUTE","remote HTML official OER label page","https://oer.moeys.gov.kh/search/label/Mathematics","200","text/html; charset=UTF-8","170080","ED34BEB4CC3C8D60D1436E6560B251A5D520D937CE31BBB5A78DD4A76E75AF2E","Mathematics=true; Grade12=true; CC_BY=true; Khmer_script=false","OER site CC BY 3.0 signal observed; no license-clearance claim beyond observed site signal","manifest_only_remote_hash_no_payload","Label/listing route only; not exact higher-algebra proof prose","no_TeX_or_source_package; listing route only","Use for item discovery; do not treat listing as content authority","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER005","SEA-Pacific","Khmer_Cambodia","OER Cambodia Grade 12 label page","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;OER;Grade 12;source-return","C_HTML_REMOTE_HASHED_OFFICIAL_OER_ROUTE","remote HTML official OER label page","https://oer.moeys.gov.kh/search/label/Grade%2012","200","text/html; charset=UTF-8","178078","2C6B9DFBEC4A0F97C2EE4F9C44F3ED864E0AA2671F677E5FE773E8303ECE101D","Mathematics=true; Grade12=true; CC_BY=true; Khmer_script=false","OER site CC BY 3.0 signal observed; no license-clearance claim beyond observed site signal","manifest_only_remote_hash_no_payload","Grade label/listing route only; not exact mathematics text","no_TeX_or_source_package; listing route only","Use for item discovery; search for exact Grade 12 math files/pages","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER006","SEA-Pacific","Khmer_Cambodia","OER Cambodia Upper Secondary label page","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;OER;Upper Secondary;Mathematics route;source-return","C_HTML_REMOTE_HASHED_OFFICIAL_OER_ROUTE","remote HTML official OER label page","https://oer.moeys.gov.kh/search/label/Upper%20Secondary","200","text/html; charset=UTF-8","177388","40AE44E656FD606D182EBC5EBC9ACC94F4814C30F04B768FD77EFA063198719D","Mathematics=true; Grade12=true; CC_BY=true; Khmer_script=false","OER site CC BY 3.0 signal observed; no license-clearance claim beyond observed site signal","manifest_only_remote_hash_no_payload","Upper-secondary label/listing route only; not exact mathematics text","no_TeX_or_source_package; listing route only","Use for item discovery; search for exact upper-secondary math documents","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER007","SEA-Pacific","Khmer_Cambodia","OER upper secondary math curriculum thumbnail/image","Ministry of Education Youth and Sport Cambodia via Blogger/Googleusercontent","Cambodia;MoEYS;OER;curriculum image;route sidecar","C_IMAGE_REMOTE_HASHED_ROUTE_SIDECAR","remote image sidecar","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg93A717AU_AZ4i2awIQnD1I4xHDwXYzTIIPMZdygQzMHu4QygBPJA4n0DjjHBsI1nnMLfeAKMVmApE72WzYtMZJIYzZ7RovCJ15cmeH3ZJ8iwYstZgHM9DYlCKX4iuvOInxzAXZyE7kZ1t/s320/Curricula+Upper+Secondary+EducationMaths-2006+.jpg","200","image/jpeg","36992","EF356D805AFFBBD5EC830F7BEC1FF599087CAE3403E948C2A622B82C82D60BE1","image sidecar; text signal not parsed","Image inherits only route-sidecar status here; no license clearance claimed","manifest_only_remote_hash_no_payload","Image/title sidecar only; not source text or proof prose","not_source_package; not OCR/text corpus","Use only to corroborate the OER curriculum route visually if needed","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER008","SEA-Pacific","Khmer_Cambodia","MoEYS storage PDF candidate from search result 65bcc1a4d6ae8","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;PDF candidate;access wrapper","ACCESS_OR_WRAPPER_NOT_PDF_PAYLOAD","remote storage route probe","https://moeys.gov.kh/storage/uploads/documents/65bcc1a4d6ae8.pdf","200","text/plain","266","00048EF1E2D4DC2DFAE0412252C3D5F6F8B225B8852CA8E069B036507A910E9A","Mathematics=false; Grade12=false; CC_BY=false; Khmer_script=false","Search-result PDF route returns tiny text/plain response in direct tooling; no license clearance claimed","manifest_only_remote_hash_no_payload","Direct route did not return a PDF payload; exact document body not captured","not_source_package; wrapper/blocker row","Retry through browser or official page route before treating as PDF evidence","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER009","SEA-Pacific","Khmer_Cambodia","MoEYS literacy syllabus PDF candidate","Ministry of Education Youth and Sport Cambodia","Cambodia;MoEYS;literacy syllabus;math mention;PDF candidate;access wrapper","ACCESS_OR_WRAPPER_NOT_PDF_PAYLOAD","remote storage route probe","https://moeys.gov.kh/storage/uploads/documents/65d407540de16.pdf","200","text/plain","266","2C51BA487D14E7F81FFC033AD3AAB8EA20F20AE782D07BECAC78CC7C2C24BB6F","Mathematics=false; Grade12=false; CC_BY=false; Khmer_script=false","Search-result PDF route returns tiny text/plain response in direct tooling; no license clearance claimed","manifest_only_remote_hash_no_payload","Direct route did not return a PDF payload; exact document body not captured","not_source_package; wrapper/blocker row","Retry through browser or official page route before treating as PDF evidence","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7KHOER010","SEA-Pacific","Khmer_Cambodia","Krou Cambodia Grade 12 mathematics search-result route","Ministry of Education Youth and Sport Cambodia / Krou Cambodia","Cambodia;Krou;Grade 12;Mathematics;SSL_blocker;source-return","ACCESS_BLOCKER_SSL","remote official learning platform route probe","https://krou.moeys.gov.kh/index.php?id=7103&option=com_k2&task=user&view=itemlist","ERR","ERR","ERR","The SSL connection could not be established see inner exception.","search result reports Grade 12 Mathematics route; direct tooling SSL blocked","Official Krou route but current tooling cannot establish SSL; no license clearance claimed","manifest_only_no_raw_source_body_payload","Direct route blocked; exact lesson page/list not captured","not_source_package; platform route blocked","Retry with browser/manual TLS or alternate Krou API route","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
