filename,category,status,additions,deletions,changes
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/ARABIC_25B_BLOCKER_ROLLUP.csv,coordination,added,6,0,6
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/ARABIC_25B_CHILD_ROUTE_SUMMARY.csv,coordination,added,2,0,2
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/ARABIC_25B_FABLE_ADVERSE_ROLLUP.csv,coordination,added,5,0,5
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/ARABIC_25B_SIX_ROW_GATE_ROLLUP.csv,coordination,added,7,0,7
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/B3_HANDOFF_READY_ARABIC_25B.md,coordination,added,8,0,8
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/B3_HANDOFF_SENT_ARABIC_25B.md,coordination,added,9,0,9
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/MANIFEST.csv,coordination,added,10,0,10
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/README.md,coordination,added,7,0,7
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/ROUTE_SUMMARY_ARABIC_25B.csv,coordination,added,3,0,3
coordination/non-slavic-core-25b9a6df-arabic-rtl-child-route-20260707/NON_SLAVIC_CORE_25B9A6DF_ARABIC_RTL_CHILD_ROUTE_20260707/SHA256SUMS.txt,coordination,added,9,0,9
