metric,value
current_live_frontier,25b9a6df17e374b5fb25c3599c1caf384dcf228c
prior_local_frontier,8a7f43fdbcd418ad39e60365de9666a7b93be61f
prior_prepared_but_not_promoted_frontier,7b77da5b876cad312a205bfdc0278659497c3dd8
prior_coordinator_frontier,25b9a6df17e374b5fb25c3599c1caf384dcf228c
previous_local_packet,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_8A7F43FD_SPLIT_SOURCE_EVIDENCE_DRAFT_RECOVERY_20260707
formal_object_files_copied,11
fa_IR_manual_review_rows,4
prs_AF_blocker_rows,4
tg_Cyrl_TJ_discovery_rows,12
draft_pretranslation_rows,9
source_use_gap_adverse_fable_rows,5
exact_blocker_recovery_rows,10
25b_source_use_gap_fable_adverse_rows,5
25b_exact_blocker_recovery_rows,5
25b_b3_handoff_boundary_rows,2
source_witness_subset_rows,20
tajik_promoted_term_rows,0
language_lane_push,no
