comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-III-IV-CMP-001,source_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-TRANS,proof_implication,French2807,2807,93,82,opening italic sentence,SGA2-VIII-III-IV,SGA2-VIII-III-IV-IMM,iii implies ii exact direction,preserve,pass,self_reviewed_logic_pass,high,none,reverse direction,1,French line2820
SGA2-VIII-III-IV-CMP-002,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-IMM,canonical_immersion,French2808-2809,2808-2809,93,82,first display,SGA2-VIII-III-IV,SGA2-VIII-III-IV-COND,i colon U to X and canonical immersion,preserve symbols and wording,pass,self_reviewed_formula_terminology_pass,high,same i later degree variable,rename i to j,1,French line2820
SGA2-VIII-III-IV-CMP-003,source_citation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-COND,homology_sequence_citation,French2809,2809,93,82,precondition paragraph,SGA2-VIII-III-IV,SGA2-VIII-III-IV-SEQ,closed subset Y exact homology sequence and citation I.2.11,preserve homology distinct from later cohomology,pass,self_reviewed_source_pass,high,none,rename both sequences cohomology,1,French line2820
SGA2-VIII-III-IV-CMP-004,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-COND,condition_iv_and_anchor,French2811,2811,93,82,condition iv line,SGA2-VIII-III-IV,SGA2-VIII-III-IV-BOUND,R superscript i; i-star; F restriction U; coherent; i-less-than-n; label condition,preserve formula and durable label,pass,self_reviewed_formula_structure_pass,high,label later referenced at French2886,omit label or change strict inequality,1,French line2820
SGA2-VIII-III-IV-CMP-005,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-SEQ,five_term_exact_sequence,French2814-2815,2814-2815,94,82,central display,SGA2-VIII-III-IV,SGA2-VIII-III-IV-COH,zero; H0-supportY-F; F; i-star-F-restrictionU; H1-supportY-F; zero,preserve order maps endpoints supports degrees,pass,self_reviewed_formula_pass,high,none,omit endpoints or support,1,French line2820
SGA2-VIII-III-IV-CMP-006,source_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-COH,coherence_iff,French2816,2816,94,82,paragraph after five-term sequence,SGA2-VIII-III-IV,SGA2-VIII-III-IV-ISO,H0 quasi-coherent subsheaf of coherent F hence coherent; H1 coherent iff i-star restriction coherent,preserve two-step reasoning and iff,pass,self_reviewed_logic_pass,high,none,weaken equivalence,1,French line2820
SGA2-VIII-III-IV-CMP-007,source_terminology,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-ISO,cohomology_sequence_wording,French2816,2816,94,82,last paragraph,SGA2-VIII-III-IV,SGA2-VIII-III-IV-COND,p-positive exact cohomology sequence of closed subset Y,preserve cohomology distinct from homology at2809,pass,self_reviewed_terminology_pass,high,source intentionally uses two terms,homogenize both to one term,1,French line2820
SGA2-VIII-III-IV-CMP-008,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-ISO,derived_pushforward_local_cohomology_isomorphism,French2817-2819,2817-2819,94,82,closing display,SGA2-VIII-III-IV,SGA2-VIII-III-IV-BOUND,R superscript p i-star F-restrictionU; approx over arrow; H supportY degree p+1 of F,preserve degree shift support restriction and exact arrow adornment,pass,self_reviewed_formula_pass,high,comparison changes approx to sim,use sim or omit adornment,1,French line2820
SGA2-VIII-III-IV-CMP-009,page_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-PAGE,printed_page94_marker,French2813,2813,94,82,visible printed-page locator,SGA2-VIII-III-IV,SGA2-VIII-III-IV-SEQ,marker94 immediately before Indeed,preserve marker transition,pass,self_reviewed_page_mapping_pass,high,preceding lines remain printed93,flatten all to page94,1,French line2820
SGA2-VIII-III-IV-CMP-010,boundary_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-BOUND,unit_boundary,French2819-2820,2819-2820,94,82,closing display and outbound cursor,SGA2-VIII-III-IV,OUTBOUND:SGA2-VIII-IV2II,close after isomorphism display; next sentence starts new proof step,preserve exact cursor,pass,self_reviewed_boundary_pass,high,no blank separator,extend by layout alone,1,French line2820
SGA2-VIII-III-IV-CMP-011,comparison_witness_delta,comparison_only_not_authority,SGA2-VIII-III-IV-CAND,current_external_candidate,jcreinhold487-506,2807-2819,93-94,82,comparison controls,SGA2-VIII-III-IV,COMPARISON:jcreinhold_e7a259f,candidate preserves broad logic but plain F changes approx to sim and omits page marker and durable label,retain comparison only after direct French audit,pass,comparison_recorded_not_promoted,high,single LLM lineage no independent agreement,copy candidate wholesale,1,French line2820
SGA2-VIII-III-IV-CMP-012,independent_review,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-REVIEW,full_formula_symbol_structure_gate,French2807-2819 plus physical82,2807-2819,93-94,82,final TeX PDF extraction render and aux,SGA2-VIII-III-IV,SGA2-VIII-III-IV-IMM|SGA2-VIII-III-IV-COND|SGA2-VIII-III-IV-SEQ|SGA2-VIII-III-IV-COH|SGA2-VIII-III-IV-ISO|SGA2-VIII-III-IV-PAGE|SGA2-VIII-III-IV-BOUND,iii-implies-ii; immersion; I.2.11; homology-cohomology distinction; condition iv and label; exact sequence; iff; p-positive; approx arrow; marker94; cursor2820,seal after direct source review and independent content comparison,pass,independent_review_pass_after_target_only_prose_repair,high,prose repair clarifies antecedent without formula change,promote superseded awkward target,1,French line2820
