alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-III-IV-ALIGN-001,proof_transition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-TRANS,SGA2-VIII-III-IV,2807,93,82,74,opening sentence,complete,preserve remaining implication iii-implies-ii,self_reviewed_logic_pass,high,none,reverse or strengthen direction,SGA2-VIII-III-IV-IMM,French line2820,source revision,1
SGA2-VIII-III-IV-ALIGN-002,map_definition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-IMM,SGA2-VIII-III-IV,2807-2809,93,82,74,first display and following sentence,complete,preserve i as canonical immersion U-to-X,self_reviewed_formula_terminology_pass,high,same glyph i later denotes degree,rename map without record,SGA2-VIII-III-IV-COND,French line2820,notation revision,1
SGA2-VIII-III-IV-ALIGN-003,citation_and_equivalence,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-COND,SGA2-VIII-III-IV,2809-2811,93,82,74,paragraph before condition iv,complete,preserve exact homology wording citation I.2.11 and equivalence,self_reviewed_source_logic_pass,high,cohomology occurs separately at2816,collapse both source terms to cohomology,SGA2-VIII-III-IV-SEQ,French line2820,citation or terminology review,1
SGA2-VIII-III-IV-ALIGN-004,condition_and_anchor,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-COND,SGA2-VIII-III-IV,2811,93,82,74,condition iv line and hidden anchor,complete,preserve R-i pushforward coherence for i-less-than-n and durable condition label,self_reviewed_formula_structure_pass,high,label is later cited by pageref at French2886,omit invisible anchor because no local prose reference,SGA2-VIII-III-IV-BOUND,French line2820,cumulative integration,1
SGA2-VIII-III-IV-ALIGN-005,printed_page_marker,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-PAGE,SGA2-VIII-III-IV,2813,94,82,74,visible French printed p94 locator before Indeed,complete,retain marker94 at exact transition,self_reviewed_page_mapping_pass,high,unit begins on printed93,claim whole unit is printed94,SGA2-VIII-III-IV-SEQ,French line2820,source repagination,1
SGA2-VIII-III-IV-ALIGN-006,exact_sequence,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-SEQ,SGA2-VIII-III-IV,2813-2815,94,82,74,five-term display,complete,preserve five objects maps endpoints supports and degrees,self_reviewed_formula_pass,high,none,drop zero endpoints or supportY,SGA2-VIII-III-IV-COH,French line2820,formula review,1
SGA2-VIII-III-IV-ALIGN-007,coherence_argument,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-COH,SGA2-VIII-III-IV,2816,94,82,74,paragraph after exact sequence,complete,preserve quasi-coherent subsheaf reasoning and iff statement,self_reviewed_logic_terminology_pass,high,none,weaken iff to one implication,SGA2-VIII-III-IV-ISO,French line2820,mathematical review,1
SGA2-VIII-III-IV-ALIGN-008,isomorphism_family,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-ISO,SGA2-VIII-III-IV,2816-2819,94,82,74,closing paragraph and display,complete,preserve p-positive cohomology wording degree shift and approx over arrow,self_reviewed_formula_pass,high,comparison changes approx to sim,normalize arrow to unlabeled or sim,SGA2-VIII-III-IV-BOUND,French line2820,notation review,1
SGA2-VIII-III-IV-ALIGN-009,comparison_control,comparison_only_not_authority,SGA2-VIII-III-IV-CAND,SGA2-VIII-III-IV,jcreinhold487-506 versus French2807-2819,93-94,82,74,comparison ledger,complete_comparison_only,accept no wording formula symbol or structure without direct French check,comparison_audited_not_promoted,high,candidate uses plain F sim and no durable condition anchor,promote candidate as independent authority,COMPARISON:jcreinhold_e7a259f,French line2820,candidate revision,1
SGA2-VIII-III-IV-ALIGN-010,boundary_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-BOUND,SGA2-VIII-III-IV,2819-2820,94,82,74,outbound cursor,complete,stop after closed isomorphism display and exclude next proof step,self_reviewed_boundary_pass,high,no blank separator at cursor,extend through induction opening without a new gate,OUTBOUND:SGA2-VIII-IV2II,French line2820,next-unit integration,1
SGA2-VIII-III-IV-ALIGN-011,independent_review,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-III-IV-REVIEW,SGA2-VIII-III-IV,2807-2820,93-94,82,74,full bounded unit and continuation cursor,complete_independent_review,accept after one target-only prose repair with French unchanged,independent_review_pass_after_prose_clarity_repair,high,first target had an ambiguous repetitive pronoun chain,retain the first awkward target identity,SGA2-VIII-III-IV-PROSEQA|SGA2-VIII-III-IV-BOUND,French line2820,target TeX or authority revision,1
