printed_page,source_page_label,status,notes
138,P15_source_p138,fix_survives,"Dash punctuation around ""präziser ausgedrückt ... zu"" survives in current head."
139,P15_source_p139,no_patch_checked,Page visually checked in prior batch; no source-certain patch recorded.
140,P15_source_p140,no_patch_checked,Page visually checked in prior batch; no source-certain patch recorded.
141,P15_source_p141,fix_survives,"Condition below symmetric-function display keeps source a_lambda,b_lambda,c_lambda pattern."
142,P15_source_p142,fix_survives,"Formula (2) keeps source prime placement a'_0,a'_1,...,a'_n."
143,P15_source_p143,fix_survives,"Formula (4) and following prose keep source alpha'_i, beta'_i, sigma'_i placement."
144,P15_source_p144,no_patch_checked,Page visually checked; no source-certain patch recorded.
145,P15_source_p145,no_patch_checked,Page visually checked; no source-certain patch recorded.
146,P15_source_p146,no_patch_checked,Page visually checked; no source-certain patch recorded.
147,P15_source_p147,no_patch_checked,Page visually checked; no source-certain patch recorded.
148,P15_source_p148,new_fix_promoted,Current R779 still had exponent nu in the two-row case; direct source page shows x. R780 restores x in both occurrences.
149,P15_source_p149,stale_conflict_resolved,Current [G]_(xi14=xi13)=K(...) confirmed directly from source. Older ratio-specialization/equivalence notes rejected.
150,P15_source_p150,fix_survives,Section c footnote marker placement and lambda-repetition/wo F_lambda continuation survive.
151,P15_source_p151,fix_survives,Normalized-sum display keeps source S_0^(l).
152,P15_source_p152,fix_survives,Latin x-index family survives; formula (12) equality trap retained as no-fix.
153,P15_source_p153,no_patch_checked,"Formulae (14)-(16) and (n,n-1) not congruent zero trap checked no-patch."
154,P15_source_p154,fix_survives,"Dash pair around der Ordnung der Gruppe, Schur S. 355, and spaced phrases survive."
155,P15_source_p155,fix_survives,w_i=omega_i/h survives; spaced ganzen algebraischen phrase survives.
156,P15_source_p156,fix_survives,Colon before omega_i=w_i/h and spaced theorem/rational-coefficient phrases survive.
