paper,printed_page,source_file,visual_status,high_risk_items_checked,result
P14,182,P14_GDZ_JDMV28_printed_p182_canvas00000186_600ppi.jpg,checked,"title, author line, intro bibliography, contents, footnotes 1-5",no_patch
P14,183,P14_GDZ_JDMV28_printed_p183_canvas00000187_600ppi.jpg,checked,"contents continuation and section 1 opening",no_patch
P14,184,P14_GDZ_JDMV28_printed_p184_canvas00000188_600ppi.jpg,checked,"section 1 continuation, footnotes, D-W/Hensel references",no_patch
P14,185,P14_GDZ_JDMV28_printed_p185_canvas00000189_600ppi.jpg,checked,"section 2 start, K(z), phi(x), conjugate fields",no_patch
P14,186,P14_GDZ_JDMV28_printed_p186_canvas00000190_600ppi.jpg,checked,"module definition, fraktur S, footnote",no_patch
P14,187,P14_GDZ_JDMV28_printed_p187_canvas00000191_600ppi.jpg,checked,"linear-form module theorem, omega quotient, xi substitution",no_patch
P14,188,P14_GDZ_JDMV28_printed_p188_canvas00000192_600ppi.jpg,checked,"fundamental-system footnotes, section 3 start, ideal product notation",no_patch
P14,189,P14_GDZ_JDMV28_printed_p189_canvas00000193_600ppi.jpg,checked,"different/discriminant cluster F'(delta), f*D, Delta=R^2D",no_patch
P14,190,P14_GDZ_JDMV28_printed_p190_canvas00000194_600ppi.jpg,checked,"prime forms, mod (z-c), discriminant intersections, footnotes 1-5",no_patch
P14,191,P14_GDZ_JDMV28_printed_p191_canvas00000195_600ppi.jpg,checked,"point definition, xi=1/z, partial derivative ideals",no_patch
P14,192,P14_GDZ_JDMV28_printed_p192_canvas00000196_600ppi.jpg,checked,"q_i=p_i^ell_i, prime element pi series, section 5 start",no_patch
P14,193,P14_GDZ_JDMV28_printed_p193_canvas00000197_600ppi.jpg,checked,"birational transformation equations f/F/g1/g2, singularity footnote",no_patch
P14,194,P14_GDZ_JDMV28_printed_p194_canvas00000198_600ppi.jpg,checked,"normal curve phi, section 6 start, singular point definition",no_patch
P14,195,P14_GDZ_JDMV28_printed_p195_canvas00000199_600ppi.jpg,checked,"f, df/dz, df/ds condition; eta quotient; F'(delta)/F'(z)",no_patch
P14,196,P14_GDZ_JDMV28_printed_p196_canvas00000200_600ppi.jpg,checked,"omega basis paragraph and omega_i=G_i/R display",no_patch
P14,197,P14_GDZ_JDMV28_printed_p197_canvas00000201_600ppi.jpg,checked,"fundamental theorem display psi=A f+B phi and quotient psi/phi",no_patch
P14,198,P14_GDZ_JDMV28_printed_p198_canvas00000202_600ppi.jpg,checked,"section 7 start, a=p powers, g_i curve list, ideal relations",no_patch
P14,199,P14_GDZ_JDMV28_printed_p199_canvas00000203_600ppi.jpg,checked,"a f m and b f m relations, polygon quotient footnotes",no_patch
P14,200,P14_GDZ_JDMV28_printed_p200_canvas00000204_600ppi.jpg,checked,"ideal/polygon class relation with N^rho/N^sigma",no_patch
P14,201,P14_GDZ_JDMV28_printed_p201_canvas00000205_600ppi.jpg,checked,"Riemann-Roch/rank matrix paragraph, section 8 start",no_patch
P14,202,P14_GDZ_JDMV28_printed_p202_canvas00000206_600ppi.jpg,checked,"Kronecker/Fueter/Hecke/Furtwaengler footnotes",no_patch
P14,203,P14_GDZ_JDMV28_printed_p203_canvas00000207_600ppi.jpg,checked,"Noether tail ends before Brouwer article starts",no_patch
