"paper","source_page","source_witness","current_tex_anchor","status","notes"
"P10","536","P10_GDZ_MathAnn77_p536_canvas00000554.jpg","lines 7656-7678","checked_no_new_patch","Title/byline, opening Dedekind paragraph, equations (1)-(4), and Landau/Lebesgue/Ostrowski footnote checked. Project numbering/citation is editorial apparatus, not source defect."
"P10","537","P10_GDZ_MathAnn77_p537_canvas00000555.jpg","lines 7680-7687","checked_no_new_patch","Hamel paragraph, section 1 opening, f(0)=0 and nonzero proof display checked. Source star footnote content present via srcfn apparatus."
"P10","538","P10_GDZ_MathAnn77_p538_canvas00000556.jpg","lines 7687-7696","checked_no_new_patch","Rational relation display F(x,y,...,t)=0, integrality-domain paragraph, section 2 opening, rational/algebraic number setup, and basis footnotes checked."
"P10","539","P10_GDZ_MathAnn77_p539_canvas00000557.jpg","lines 7696-7705","checked_no_new_patch","Well-order Omega, rational basis Theta, Abschnittskoerper K(vartheta), algebraic basis H/Z, Zermelo and Steinitz footnotes, and section 3 opening checked."
"P10","540","P10_GDZ_MathAnn77_p540_canvas00000558.jpg","lines 7705-7732","checked_no_new_patch","Definitions (a)-(d), terminal index k_sigma locus, x/y/x+y displays, condition for functional equation (1), H1/H2 displays, and footnotes checked. Prior k_sigma repair survives."
"P10","541","P10_GDZ_MathAnn77_p541_canvas00000559.jpg","lines 7732-7750","checked_no_new_patch","Induction proof, H(vartheta_0) display, two cases, divisibility display H(t;a_i(vartheta))=F(t;vartheta_i)G(t;vartheta_i), image relation, and footnote checked. Prior vartheta_i repair survives."
"P10","542","P10_GDZ_MathAnn77_p542_canvas00000560.jpg","lines 7750-7770","checked_no_new_patch","Conclusion of construction proof, abstract-field/prime-field paragraph, section 4 opening, Hamel extreme discontinuity setup, and two-equation display checked."
"P10","543","P10_GDZ_MathAnn77_p543_canvas00000561.jpg","lines 7770-7800","checked_no_new_patch","Complex examples, rank definition, rank-four relation, determinant/table-like display, linear system, and rank-three opening checked."
"P10","544","P10_GDZ_MathAnn77_p544_canvas00000562.jpg","lines 7800-7840","checked_no_new_patch","Rank-three/rank-two/rank-one discussion, determinant, X/Y linear forms, continuous solution display, relation c3(X-x)+c4(Y mp y)=0, f(i eta)=pm i f(eta), and final (Y mp y)=c(X-x) display checked."
"P10","545","P10_GDZ_MathAnn77_p545_canvas00000563.jpg","lines 7840-7856","checked_no_new_patch","Final rank-three exclusion checked. Source has real x, not r, in fuer jedes reelle x and f(x(1 pm ic)); current x is correct. Fraktur real-value symbol represented by local macro; Erlangen date and final footnotes checked."
