issue_id,source_pdf_page,printed_page,highres_page,fragment_lines,baseline_state,source_checked_disposition,status
P277_EXACTNESS,277,270,,6917-6926,"Proof compressed to 'relevant degrees' and unnamed stalk/cycle maps","Restored E strictly perfect; E^i=0 for i<p (respectively i<p-1); exact functor; explicit Z' stalk isomorphisms and local-freeness conclusion",CORRECTED
P277_D_MINUS,277,270,,6928,"E in Ob D(X)","E in Ob D^{-}(X)",CORRECTED
P286_FOOTNOTE,286,279,,7195,"Source footnote absent","Restored rule for omitting A and for explicitly signalled omission of 'naive'",RESTORED
P347_DERIVATIONS,347,340,,9152-9180,"Only final formulas and terse hypotheses retained","Restored universal integral-domain expansions finite-rank hypotheses cancellations and substitution argument",RESTORED
P350_GAMMA,350,343,,9213,"lambda^k(N'_0)=0 for k>d","gamma^k(N'_0)=0 for k>d",CORRECTED
P350_PROOF,350,343,,9213-9226,"Weight and homomorphism argument compressed","Restored weights citations 4.12/4.15 identity 5.5.4 morphism 4.7 and filtration compatibility",RESTORED
P377_COR14,377,370,384,10073-10082,"Corollary statement followed immediately by later material","Restored proof defining M and verifying finite presentation flatness and Proj_0 recovery",RESTORED
P377_LEMMA151,377,370,384,10084-10090,"Complete lemma absent","Restored graded local-freeness lemma and Bourbaki proof",RESTORED
P377_NUMBERING,377,370,384,"10092-10147;10386","Proposition 1.5 then Propositions 1.7/1.8; merged generation/relation section","Synchronized Lemmas 1.5.1/1.5.2 Propositions 1.6/1.7 sections 1.8/1.9 and all affected references",CORRECTED
P431_REPAIR105,431,424,,11014-11113,"Repair105 expected but retention required verification","Exact normalized block match SHA256 6641F4AF065BF59773756A251002BCC115DAD0243E4E23CE26D882F129564F7F",VERIFIED_UNCHANGED

