artifact_type,path,bytes,sha256,status
production_tex,"../../SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex",812825,"6A6878FCE68050F797E1E4256D363D038A7BE0B4C8A00430195E268887391194",final_combined_prefix
source_pdf,"C:/Users/Floris/Documents/Papors/OS/sga6.pdf",54325694,"5194436E290B8FCA54BACD5FF672588335408F1AAD3AE07D62BBA68DF35E3D76",ultimate_source
source_pdf,"C:/Users/Floris/Documents/Papors/OS/Théorie des Intersections et Théorème de Riemann-Roch.pdf",26833956,"73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA",high_resolution_supplement
control_tex,"C:/IL_GitHub/00_main_current/sources/sga/sga6-claude-workpass-source-rescribe-20260704/sga6_fr_workpass.tex",1318579,"77703F2D7E8FF9000C2C1E7320A903A48ADE00BF62C8F5F240FF88C42ED82703",unchanged_french_control
normalized_block,"production TeX lines 11014-11113 plus terminal LF",7148,"6641F4AF065BF59773756A251002BCC115DAD0243E4E23CE26D882F129564F7F",exact_repair105_match
evidence,"BEFORE_AFTER_SNIPPETS.md",2104,"53F02A7D67A163B4BEF5D2F12E865474B8875954EE34B59B1130B6BE4582072F",sealed
evidence,"CORRECTION_LEDGER.csv",1840,"F6E99614729F09DC814222B18CE28B8778C299B48398D7A3825492C0B0D71563",sealed
evidence,"FORMULA_AND_SYMBOL_CHECKS.csv",1434,"BBFC22627ED6B6C4576BD45B5F4206C106E08923E198CD6BA35DC035F17E3464",sealed
evidence,"HI_CLAUDE_CODEX_SGA6_NOTES_PREFIX_GATES_20260718.md",2394,"7A03D193A95EEE03F7CC2568613EAF826AFAD2E2D5385708A2A6A3222CAED776",sealed
evidence,"LINE_LOCATORS.csv",936,"696A5BD7400B0B88E83C636820AD6D786374FA006EA60181566E36A198147052",sealed
evidence,"SOURCE_COMPARISON.md",3818,"FEEAA95AA42B7CBE4A3FDEB61C80178EA8D75AC6AB4CA424CF92AD6B05C5138E",sealed
render,"source_renders/highresPDF_384_sourcePDF_377.png",803913,"6D10FEDB7589C304CFCD023FAA0FD30787958530414AB5EB95948B7A22BD94CA",corroborating_authority
render,"source_renders/highresPDF_395_sourcePDF_377.png",675132,"6AD91809FA67326FB169680F474794143C605D918BD68715CEF9C10C11230D14",rejected_mapping_trial_preserved
evidence,"source_renders/README.md",702,"0F484B4C13A348BA36AF9548A087620F5F74D526946BE2DFDF3A017351981203",sealed
render,"source_renders/sourcePDF_277.png",1623878,"EBB7DEBC9BFA7A62FB9903ADC25AD5FCB7A1C56E1D3B0721ED05A3B6FE2B0C59",inspected
render,"source_renders/sourcePDF_286.png",1319209,"F312A8A9CCE5121E063EBD7EA217B70625D43C4E801DA3098E60D3D4B614EC22",inspected
render,"source_renders/sourcePDF_347.png",1263504,"24074BC3510B2C2F3955DC4D25C73257D595892F1BC4103D7CA976184E765A93",inspected
render,"source_renders/sourcePDF_350.png",1216886,"D3B929F2353006FC8B7D5BD677CD71320CF7CEE1A5F4B4622EC88990D9F4010F",inspected
render,"source_renders/sourcePDF_376_context.png",1286564,"C1E95C1FCBC06A6BB130FED6B794FCCA032EE67142496BCD2A188C9B82842BE1",inspected_context
render,"source_renders/sourcePDF_377_ORIENTED_180.png",669019,"BE96B77925470C34863F4359BEB6D0224F2C6D819D154B15C43B9CD6092E49F1",primary_oriented_reading
render,"source_renders/sourcePDF_377.png",1527202,"C67FFF9EAADA12AD56790F4B1D1DD20EA097D1303F832EE6B338DA528AE159D0",physical_upside_down_source
render,"source_renders/sourcePDF_378_context.png",1383715,"FFD23E2DE81C1DDB2CDD49328CC120EEC9F7A2FAF50431DB4C35969CB9C441B3",inspected_context
render,"source_renders/sourcePDF_379_context.png",1412576,"70B9101C97122BB2A98FC741556DD016C25ED56B269E40496EB0221CF634EAA2",inspected_context
render,"source_renders/sourcePDF_380_context.png",1345564,"A0CA54CE6561F15FFF5B045D9728ECAFDF1FD4DEC8D7BF937DC955285B99FB46",inspected_context
render,"source_renders/sourcePDF_431.png",1420569,"E41C99AF1EE9010BFCA729C6760D07B21B50A9E2984ED75A0AA08CB845C1DB27",inspected
evidence,"STATIC_TEX_CHECK.md",837,"0D5C70491FA43F08EE5CD556756955789A2593227D4C65A22451B3AE3B05E49F",sealed
evidence,"STATUS.md",2310,"82FE739BAD28C3A8AF636AA7C314C739EF0CE20C42C3BEDB807DE72C22F1D306",sealed
evidence,"TERMINOLOGY_REJECTED_CHOICES.csv",1280,"F0FF1CAD598644E22193D3626980D73A53D7FAAF159749C019A4BC801DE0DA63",sealed
evidence,"VISUAL_QA.md",1715,"952B6DB4E8291BBEE5D73B7056146B549D9EEEC2CFD8E50F987F8443AB73E4C5",sealed
