source_pdf_page,printed_page,production_tex_line,locator
277,270,6917,"Proof 5.5(iii): strict perfection and exact truncation hypotheses"
277,270,6928,"Corollary 5.6: D^{-}(X)"
286,279,7195,"Restored omission-policy footnote"
347,340,9152,"Start of restored derivation of formula 5.4.1"
347,340,9164,"Formula 5.4.1"
347,340,9170,"Start of restored derivation of formula 5.4.2"
347,340,9177,"Formula 5.4.2"
350,343,9213,"Correct gamma relation and restored weight argument"
377,370,10073,"Corollary 1.4"
377,370,10078,"Restored proof of Corollary 1.4"
377,370,10084,"Restored Lemma 1.5.1"
377,370,10092,"Lemma 1.5.2"
377,370,10098,"Proposition 1.6"
377,370,10110,"Proposition 1.7"
377,370,10127,"Section 1.8 generation"
377,370,10138,"Section 1.9 relation"
377,370,10386,"Downstream corrected reference to Proposition 1.7"
431,424,11014,"Start retained repair105 Proposition 1.8"
431,424,11113,"End of exact repair105 comparison block"

