source_pdf_page,source_term_or_notation,accepted_english,rejected_choice,reason
277,"D^{-}(X)","D^{-}(X)","D(X)","The bounded-above category is printed and appears in the French control; dropping the minus changes the statement."
277,"exact à droite / à gauche","right exact / left exact","exact", "The directional distinction controls Z'^{p+1} versus Z'^p and must remain explicit."
286,"indice naïf","index 'naive'","silently omit the qualifier","The source footnote permits omission only when explicitly announced."
347,"anneau intègre","integral domain","ring","Cancellation of lambda_{-1} factors depends on the stronger property."
350,"gamma^k(N'_0)=0","gamma^k(N'_0)=0","lambda^k(N'_0)=0","Gamma is the printed relation and is required by the polynomial-generator description."
377,"Lemme 1.5.1","Lemma 1.5.1","omit as redundant","It is a full source lemma and is later cited by VII 1.8."
377,"Lemme 1.5.2","Lemma 1.5.2","Proposition 1.5","The scan and French control distinguish two lemmas under 1.5."
377,"Propositions 1.6 and 1.7","Propositions 1.6 and 1.7","Propositions 1.7 and 1.8","The inherited numbering was shifted by the omitted lemma."
431,"VI 1.5.1","VI 1.5.1","VI 1.5 or omit reference","The retained repair105 proof relies on the exact restored lemma."

