check_id,source_pdf_page,printed_page,fragment_lines,checked_reading,comparison_result
F277_TRUNCATION,277,270,6917,"E^i=0 for i<p (respectively i<p-1)",MATCH_SCAN_AND_FRENCH
F277_CYCLES,277,270,6921-6926,"right exact iff Z'^{p+1}(E_x) flat; left exact iff Z'^p(E_x) flat; explicit stalk isomorphisms",MATCH_SCAN_AND_FRENCH
F277_CATEGORY,277,270,6928,"E in Ob D^{-}(X)",MATCH_SCAN_AND_FRENCH
F286_GROUPS,286,279,7187-7195,"K_bullet(A_X); K'(A_X); naive variants and Mod(A_X)",CLEAN_FALSE_POSITIVE_PLUS_FOOTNOTE_RESTORED
F347_541,347,340,9152-9169,"lambda^p(N,x+y)=sum_{i+j=p;i,j!=0} lambda^i(N,x)lambda^j(N,y)lambda_{-1}(N)+lambda^p(N,x)+lambda^p(N,y)",MATCH_AFTER_DERIVATION_RESTORATION
F347_542,347,340,9170-9180,"lambda^p(N+N',x)lambda_{-1}(N)=lambda^p(N',x lambda_{-1}(N))",MATCH_AFTER_DERIVATION_RESTORATION
F350_RELATION,350,343,9213,"gamma^k(N'_0)=0 for k>d",CORRECTED_FROM_LAMBDA_MATCH_SCAN_AND_FRENCH
F350_WEIGHT,350,343,9213-9226,"weight i on gamma^i generators; gamma^d(N'_0)=(-1)^d lambda_{-1}(N_0); filtration-compatible K-lambda homomorphism",MATCH_SCAN_AND_FRENCH
F377_TOR,377,370,10086-10090,"Tor_1^B(M,A)=0",RESTORED_MATCH_SCAN_AND_FRENCH
F377_RELATION,377,370,10141-10146,"lambda^{r+1}(f^*E-xi)=0 and sum_{i=0}^{r+1}(-1)^i lambda^i(E)xi^{r+1-i}=0",MATCH_SCAN_AND_FRENCH_AFTER_SECTION_SPLIT
F431_TOR_CHAIN,431,424,11099-11112,"Tor_i^{A_0}(A,B_0) and graded Tor_i^{A_0}(A,J_0^n) vanishings",EXACT_REPAIR105_RETENTION

