row_id,base_head,requested_head,observed_head,status,branch_path,bytes,sha256,lane,artifact_role,branch_read_status,required_action,claim_boundary
CURRENT_HEAD_FILE_0001,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/B3_UPLOADER_READY_SUMMARY.csv,,,R3 Arabic/Persianate linear algebra,b3-uploader-transfer,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0002,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/MANIFEST.csv,,,R3 Arabic/Persianate linear algebra,manifest-sha-validation,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0003,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/PACKAGE_VALIDATION.json,,,R3 Arabic/Persianate linear algebra,manifest-sha-validation,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0004,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_BLOCKERS_RECOVERY_ROWS.csv,,,R3 Arabic/Persianate linear algebra,blocker-recovery-probe,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0005,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_BRANCH_DELTA_FROM_AC6F4EB.csv,,,R3 Arabic/Persianate linear algebra,branch-delta-compare,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0006,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_BRANCH_VISIBLE_RELEVANT_PATHS.csv,,,R3 Arabic/Persianate linear algebra,branch-delta-compare,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0007,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv,,,R3 Arabic/Persianate linear algebra,fable-source-use-adverse,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: apply Fable/source-use/adverse/do-not-use ledger before wording choices.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0008,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_LANGUAGE_BOUNDARY_GUARDS.csv,,,R3 Arabic/Persianate linear algebra,branch-delta-compare,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0009,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_LOCAL_ONLY_PACKET_STATUS.csv,,,R3 Arabic/Persianate linear algebra,branch-delta-compare,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CURRENT_HEAD_FILE_0010,ad3e3aa949423680044e8d8502fd1637d822cd14,1a1110ebfcbe729d3c0db2a3fe98148e070a5389,8be81510d284b9804706e426a312f1649f39d080,A,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_RELEVANT_R3_ARABIC_PERSIANATE_DELTA.csv,,,R3 Arabic/Persianate linear algebra,branch-delta-compare,branch-path-route-only; content hashing skipped for current-head correction,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
