lane,output_path,exists,files,csv,md,json,manifest_named,sha_named,latest_path,latest_sha256,current_head_delta_rows,source_gated_or_fable_rows,routing_status,next_action,claim_boundary
Romance,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs,true,773,290,178,53,57,62,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_BLOCKER_RESOLUTION_OUTPUT_MANIFEST_20260704.sha256,C21A05C7EA536092F8835284F533173AE2BFA527FBB7AEBD6BF0E1B7597ECD5F,0,0,source-recovery-or-route-only,record recovery/blocker rows and route to owner lane/B3,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CJK draft/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs,true,656,230,176,129,83,95,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\SHA256SUMS.txt,9F70DE475547ABDD9A6E7EC35D0CC16A2B5B77EC8CDA31E6D50F406C57820ACD,0,0,source-recovery-or-route-only,record recovery/blocker rows and route to owner lane/B3,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CJK native/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs,true,875,348,134,206,140,140,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_1A1110EB_8BE815_CURRENT_HEAD_COMPARISON_20260706.zip.sha256,42B054B7C9142C3E808623B2644C4BD6BD24DE87B854DB8333B16D8BD92419BE,0,0,source-recovery-or-route-only,record recovery/blocker rows and route to owner lane/B3,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs,true,501,285,103,18,38,67,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_A2C52A42_BRANCH_ADVANCE_COMPARISON_20260706\SHA256SUMS.txt,DA0DCFE17AC60E990068675D184B83AE92CE7D401AB0848970A1089759225D54,27,6,draft-capable-if-source-gated,continue owner-lane concrete artifacts; no completion claim,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Persianate/Tajik,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs,true,508,341,83,2,38,63,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_AD3E3AA9_BRANCH_DELTA_NOTE_20260706\SHA256_VERIFICATION_20260706.csv,188948F6B197ED1706A25A21748AF6780CB26AD7FBACD80E2856C54D2947B6E3,27,6,draft-capable-if-source-gated,continue owner-lane concrete artifacts; no completion claim,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R2 Pan-Turkic,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs,true,897,326,106,65,84,70,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_AD3E3AA_A2C52_AUTHORITY_DELTA_RESPONSE_20260706_TRANSFER_SUMMARY.csv,AFB8900903F22AFABAEE0471DDDCC4C263DEC9B4123D1853FF9A566B88152805,0,0,source-recovery-or-route-only,record recovery/blocker rows and route to owner lane/B3,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R3 Arabic/Persianate linear algebra,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs,true,1430,490,189,496,161,159,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\SHA256SUMS.txt,329DA18A74F3F79F6C07306C4A103BB9EF8B5027B5BA0C462CC2754AE0C01186,33,6,draft-capable-if-source-gated,continue owner-lane concrete artifacts; no completion claim,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R6 Indigenous/Creole/Sign,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs,true,860,384,196,78,48,54,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706\SHA256SUMS.txt,544462A1F509635DC0977A872F082EEC0D450236345733D0F3BB6A60667471D9,20,2,draft-capable-if-source-gated,continue owner-lane concrete artifacts; no completion claim,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R7 Malay/SEA/Pacific,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs,true,742,423,148,37,38,37,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\ACTIVE_SESSION_STATE.md,7B7A5BA7102028F335B28D8491D5A2F9401A240BFB3C5FA9E71571E05BB052AA,0,0,source-recovery-or-route-only,record recovery/blocker rows and route to owner lane/B3,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9 Africa/Horn/West,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs,true,656,450,146,10,24,23,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\SHA256SUMS.txt,5B67276820B57F6F58747A8980762C1DAED35BC6B32BB4AEDB059D669540AABE,0,0,source-recovery-or-route-only,record recovery/blocker rows and route to owner lane/B3,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
