source,lane,path_or_gap,artifact_role,required_action,claim_boundary
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/B3_UPLOADER_READY_SUMMARY.csv,b3-uploader-transfer,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/MANIFEST.csv,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/PACKAGE_VALIDATION.json,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_BLOCKERS_RECOVERY_ROWS.csv,blocker-recovery-probe,R3 Arabic/Persianate linear algebra: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/SHA256SUMS.txt,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/B3_UPLOADER_READY_SUMMARY.csv,b3-uploader-transfer,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/MANIFEST.csv,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/PACKAGE_VALIDATION.json,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/R3_AD3E3AA_BLOCKERS_RECOVERY_ROWS.csv,blocker-recovery-probe,R3 Arabic/Persianate linear algebra: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/SHA256SUMS.txt,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
