source,lane,branch_path,bytes,sha256,artifact_role,required_action,claim_boundary
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv,,,fable-source-use-adverse,R3 Arabic/Persianate linear algebra: apply Fable/source-use/adverse/do-not-use ledger before wording choices.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_SOURCE_BODY_SOURCE_WITNESS_STATUS_REFRESH.csv,,,source-body/source-witness/source-use,R3 Arabic/Persianate linear algebra: carry source-use/source-witness rows into body-backed queue and keep provenance labels.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706/R3_A2C52A42_BRANCH_ADVANCE_DELTA_20260706T083048Z/R3_A2C52A42_SOURCE_GATED_DRAFT_PRETRANSLATION_REFRESH.csv,,,source-gated-draft-pretranslation,R3 Arabic/Persianate linear algebra: route source-gated generated-draft/non-canonical pretranslation rows to owner; do not treat as review.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/R3_AD3E3AA_FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv,,,fable-source-use-adverse,R3 Arabic/Persianate linear algebra: apply Fable/source-use/adverse/do-not-use ledger before wording choices.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/R3_AD3E3AA_SOURCE_BODY_SOURCE_WITNESS_STATUS_REFRESH.csv,,,source-body/source-witness/source-use,R3 Arabic/Persianate linear algebra: carry source-use/source-witness rows into body-backed queue and keep provenance labels.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706/R3_AD3E3AA_BRANCH_DRIFT_FOLLOWUP_20260706T083654Z/R3_AD3E3AA_SOURCE_GATED_DRAFT_PRETRANSLATION_REFRESH.csv,,,source-gated-draft-pretranslation,R3 Arabic/Persianate linear algebra: route source-gated generated-draft/non-canonical pretranslation rows to owner; do not treat as review.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/fable/R6_AC6F_LIVE_RECOVERY_FABLE_ADVERSE_DO_NOT_USE_LEDGER.csv,,,fable-source-use-adverse,R6 Indigenous/Creole/Sign: apply Fable/source-use/adverse/do-not-use ledger before wording choices.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/source-use/R6_AC6F_LIVE_RECOVERY_SOURCE_USE_DECISIONS.csv,,,source-body/source-witness/source-use,R6 Indigenous/Creole/Sign: carry source-use/source-witness rows into body-backed queue and keep provenance labels.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,.github/copilot-instructions.md,,6D81EC89D416678E0DF9C964D959160F8EAAFF04EA69DA744E588F58C50662BC,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,R6 Indigenous/Creole/Sign,00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md,,95203982FF44525183CA1E8DB76E5D594819B78BB6047D2DAB0308DA2EA712ED,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,AGENTS.md,,55751C43623AC6BBB1B94836AD2F1B90FD968C29869CECA8C64E16AF80667D24,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
