"paper","printed_page","witness_name","exists_at_producer_audit","bytes","publication_disposition"
"P10","536","P10_GDZ_MathAnn77_p536_canvas00000554.jpg","true","1103113","manifest_only_local_witness_not_redistributed"
"P10","537","P10_GDZ_MathAnn77_p537_canvas00000555.jpg","true","1592762","manifest_only_local_witness_not_redistributed"
"P10","538","P10_GDZ_MathAnn77_p538_canvas00000556.jpg","true","2658910","manifest_only_local_witness_not_redistributed"
"P10","539","P10_GDZ_MathAnn77_p539_canvas00000557.jpg","true","1644972","manifest_only_local_witness_not_redistributed"
"P10","540","P10_GDZ_MathAnn77_p540_canvas00000558.jpg","true","2278845","manifest_only_local_witness_not_redistributed"
"P10","541","P10_GDZ_MathAnn77_p541_canvas00000559.jpg","true","2477794","manifest_only_local_witness_not_redistributed"
"P10","542","P10_GDZ_MathAnn77_p542_canvas00000560.jpg","true","1516207","manifest_only_local_witness_not_redistributed"
"P10","543","P10_GDZ_MathAnn77_p543_canvas00000561.jpg","true","1105610","manifest_only_local_witness_not_redistributed"
"P10","544","P10_GDZ_MathAnn77_p544_canvas00000562.jpg","true","1161675","manifest_only_local_witness_not_redistributed"
"P10","545","P10_GDZ_MathAnn77_p545_canvas00000563.jpg","true","1000786","manifest_only_local_witness_not_redistributed"
"P14","182","P14_GDZ_JDMV28_printed_p182_canvas00000186_600ppi.jpg","true","2059275","manifest_only_local_witness_not_redistributed"
"P14","183","P14_GDZ_JDMV28_printed_p183_canvas00000187_600ppi.jpg","true","2736134","manifest_only_local_witness_not_redistributed"
"P14","184","P14_GDZ_JDMV28_printed_p184_canvas00000188_600ppi.jpg","true","2789431","manifest_only_local_witness_not_redistributed"
"P14","185","P14_GDZ_JDMV28_printed_p185_canvas00000189_600ppi.jpg","true","2821810","manifest_only_local_witness_not_redistributed"
"P14","186","P14_GDZ_JDMV28_printed_p186_canvas00000190_600ppi.jpg","true","2778161","manifest_only_local_witness_not_redistributed"
"P14","187","P14_GDZ_JDMV28_printed_p187_canvas00000191_600ppi.jpg","true","2583123","manifest_only_local_witness_not_redistributed"
"P14","188","P14_GDZ_JDMV28_printed_p188_canvas00000192_600ppi.jpg","true","2826301","manifest_only_local_witness_not_redistributed"
"P14","189","P14_GDZ_JDMV28_printed_p189_canvas00000193_600ppi.jpg","true","2766450","manifest_only_local_witness_not_redistributed"
"P14","190","P14_GDZ_JDMV28_printed_p190_canvas00000194_600ppi.jpg","true","2571372","manifest_only_local_witness_not_redistributed"
"P14","191","P14_GDZ_JDMV28_printed_p191_canvas00000195_600ppi.jpg","true","2568476","manifest_only_local_witness_not_redistributed"
"P14","192","P14_GDZ_JDMV28_printed_p192_canvas00000196_600ppi.jpg","true","2606498","manifest_only_local_witness_not_redistributed"
"P14","193","P14_GDZ_JDMV28_printed_p193_canvas00000197_600ppi.jpg","true","2884331","manifest_only_local_witness_not_redistributed"
"P14","194","P14_GDZ_JDMV28_printed_p194_canvas00000198_600ppi.jpg","true","2647752","manifest_only_local_witness_not_redistributed"
"P14","195","P14_GDZ_JDMV28_printed_p195_canvas00000199_600ppi.jpg","true","2729219","manifest_only_local_witness_not_redistributed"
"P14","196","P14_GDZ_JDMV28_printed_p196_canvas00000200_600ppi.jpg","true","2715595","manifest_only_local_witness_not_redistributed"
"P14","197","P14_GDZ_JDMV28_printed_p197_canvas00000201_600ppi.jpg","true","2618629","manifest_only_local_witness_not_redistributed"
"P14","198","P14_GDZ_JDMV28_printed_p198_canvas00000202_600ppi.jpg","true","2711005","manifest_only_local_witness_not_redistributed"
"P14","199","P14_GDZ_JDMV28_printed_p199_canvas00000203_600ppi.jpg","true","2613085","manifest_only_local_witness_not_redistributed"
"P14","200","P14_GDZ_JDMV28_printed_p200_canvas00000204_600ppi.jpg","true","2760833","manifest_only_local_witness_not_redistributed"
"P14","201","P14_GDZ_JDMV28_printed_p201_canvas00000205_600ppi.jpg","true","2788042","manifest_only_local_witness_not_redistributed"
"P14","202","P14_GDZ_JDMV28_printed_p202_canvas00000206_600ppi.jpg","true","2813170","manifest_only_local_witness_not_redistributed"
"P14","203","P14_GDZ_JDMV28_printed_p203_canvas00000207_600ppi.jpg","true","2582990","manifest_only_local_witness_not_redistributed"
"P15","138","P15_source_p138_canvas_00000144_GDZ_PPN252457811_1919_full.jpg","true","1114368","manifest_only_local_witness_not_redistributed"
"P15","139","P15_source_p139_canvas_00000145_GDZ_PPN252457811_1919_full.jpg","true","1768541","manifest_only_local_witness_not_redistributed"
"P15","140","P15_source_p140_canvas_00000146_GDZ_PPN252457811_1919_full.jpg","true","1410104","manifest_only_local_witness_not_redistributed"
"P15","141","P15_source_p141_canvas_00000147_GDZ_PPN252457811_1919_full.jpg","true","1241286","manifest_only_local_witness_not_redistributed"
"P15","142","P15_source_p142_canvas_00000148_GDZ_PPN252457811_1919_full.jpg","true","1167944","manifest_only_local_witness_not_redistributed"
"P15","143","P15_source_p143_canvas_00000149_GDZ_PPN252457811_1919_full.jpg","true","1189628","manifest_only_local_witness_not_redistributed"
"P15","144","P15_source_p144_canvas_00000150_GDZ_PPN252457811_1919_full.jpg","true","1443241","manifest_only_local_witness_not_redistributed"
