ordinal,relative_path,bytes,sha256,scan_modes,patterns,hit_rows,occurrences,status
1,artifact_tool_evidence/ARTIFACT_TOOL_FORMULA_ERRORS.ndjson,61,44B42BBC2FA2BBF67B44AB8B232A112CF94C577C317F8B4F242E70E8F343DB89,8,7,0,0,PASS
2,artifact_tool_evidence/ARTIFACT_TOOL_OVERVIEW.ndjson,41837,6F1BE1B5FFE694985FBD1BAC6005375419DE32A8A49AD306E2F80714121ADC93,8,7,0,0,PASS
3,artifact_tool_evidence/ARTIFACT_TOOL_RECEIPT.json,1768,0BF9BBCF28ABF21D786D5B23FB6C14E63749EE80820AE2E30F443E8FFC2FBA17,8,7,0,0,PASS
4,artifact_tool_evidence/ARTIFACT_TOOL_REGION.ndjson,654,EED2B7D8C048B058CA1A0324A2270664B342C4672E4747C5CF6A59BE1BD81904,8,7,0,0,PASS
5,artifact_tool_machine_qa.mjs,4558,C8CA4C9FBBFE9103D44577613E7E3BB21A4C459A3BD5B88402414C9EF79E5F2E,8,7,0,0,PASS
6,AUTHORITY_ARTIFACT_LEDGER.csv,1605,C5413A2CE43200B6D040A2A184CF0D319C3D83A92F4A81F044098E13543CFC0E,8,7,0,0,PASS
7,AUXILIARY_LEDGER_VALIDATION.json,2514,D74AF309BBAC63325BFD097F8D8508B494CDD8A617485481C948BEC04C27C34B,8,7,0,0,PASS
8,BUILD_LOG_SANITIZATION_LEDGER.csv,1436,78C33C80143A12015F5C051EB3D165AB564383114F01E9D9459AFF3E782B54BF,8,7,0,0,PASS
9,BUILD_PASS1.log,7439,F6F136A61AEE26D42EC4846D448BBE2EE0DA8730CCF23AE81406F45C3572E853,8,7,0,0,PASS
10,BUILD_PASS1_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,8,7,0,0,PASS
11,BUILD_PASS2.log,7439,F6F136A61AEE26D42EC4846D448BBE2EE0DA8730CCF23AE81406F45C3572E853,8,7,0,0,PASS
12,BUILD_PASS2_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,8,7,0,0,PASS
13,BUILD_PASS3.log,7439,F6F136A61AEE26D42EC4846D448BBE2EE0DA8730CCF23AE81406F45C3572E853,8,7,0,0,PASS
14,BUILD_PASS3_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,8,7,0,0,PASS
15,FINAL_VALIDATION.json,6690,111958F0E59AB7DA33FAEBA718FA68863E62E147780172EE073D37DC3E4B1F90,8,7,0,0,PASS
16,FORMULA_DIAGRAM_STRUCTURE_LEDGER.csv,2837,1AF9D2DE028920B4D7B262BD248FA86DDC1B34F54D55BFECD7BBEDC6D2E1BEF1,8,7,0,0,PASS
