ordinal,relative_path,bytes,sha256
1,independent_audit_r2.py,38577,95F331EFB5DE80B47C06A60E5A254152E155C9F29E0D8CF6927E524772C467B9
2,INDEPENDENT_BUILD_PASS1_SANITIZED.log,7431,6B4EF2A29FD15D00C68916225A931984FEA03D50FE316900D2651BF940C673A6
3,INDEPENDENT_BUILD_PASS2_SANITIZED.log,7431,6B4EF2A29FD15D00C68916225A931984FEA03D50FE316900D2651BF940C673A6
4,INDEPENDENT_BUILD_PASS3_SANITIZED.log,7431,6B4EF2A29FD15D00C68916225A931984FEA03D50FE316900D2651BF940C673A6
5,INDEPENDENT_BUILD_RECEIPT.csv,1064,60F9C7FCA3FA5ADE372E8CEE97F12ADD106E0CE398AA86FC3A9A8DA0BC474F70
6,INDEPENDENT_CHECKS.csv,3390,77D92BA621AEB7354B1AF7A4EAE9A05FC5DADBED8D5BCBA8DB331DB81DA48761
7,INDEPENDENT_FINAL_AUDIT.md,2897,D703621460ECD09F73432923BDF22CD537C9A5D3F877B011C8BC79AD860A729B
8,INDEPENDENT_FULL_DEWRAPPED_PRIVACY_SCAN.csv,7018,20936B334E3EFA311E0C0A1CD7A1554DE732645B1495E948422AD31041B71CC5
9,INDEPENDENT_REBUILD.pdf,238640,70FE943717063093C9D0A8F7CB56838694268CA64487AA4257011FAD3F2D802B
10,INDEPENDENT_REBUILD_EXTRACTED_TEXT.txt,3250,BE27C4D218BB5D8E97115B09656C9BB630917682340AEA14999ACDE8CC32060B
11,INDEPENDENT_REBUILD_PAGE_001_200DPI.png,415920,768DE68E40F4A34141836841EBF93E3ED18803D1476B44AD279680CCF6774BA5
12,INDEPENDENT_REBUILD_PDFFONTS.txt,1598,F2EEA251B984DD943B03CF0F18FDE448D347E37E7EE4DEFA620960F1C091DCAD
13,INDEPENDENT_REBUILD_PDFINFO.txt,658,738E71017825637FD8C4F2E7FD02F031B032073CE8A81AD83D3D802C588AD5B9
14,INDEPENDENT_SOURCE_PHYSICAL_105_200DPI.png,493953,F02CECCC0744EF15A848483CB9F64333536ED81F1B31190A777CB51372B42D51
15,INDEPENDENT_VALIDATION.json,7865,CF7C332BE8288AE2BC5BC018E5249E1BE2334DD4640DA3B51FD7FAD24B8C82E9
16,PRODUCER_BASELINE_SHA256.json,21649,49AB7EBE8FFD5DB8FBBD14EC6AB0F8CF2A324C4B599BBE8423B11126FCEB7E27
