check,status,detail
r2_pre_audit_inventory,PASS,baseline has 68 files
r2_producer_bytes_preserved,PASS,recursive producer snapshot unchanged
r1_predecessor_bytes_preserved,PASS,recursive R1 snapshot unchanged
prior_fail_controls_preserved,PASS,four prior review controls unchanged
authority_identity,PASS,586789 B C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042
source_slice_3568_3571,PASS,1951 B 9F1568E7EF1A39A857E5DD119673EAC07F291F3D8E0B60B13DD8107DADB462BE
source_boundary_3566_3573,PASS,3557 B 12BE4289BEBBE9713AC5B67A75A62421E3E01E816A457B367D7C66E933C47081
source_cursor_boundary,PASS,raw3572=01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B substantive3573=BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071
source_locator_split,PASS,printed 122 marker lies in French line 3569; physical 105/running 97 bound
target_tex_preserved,PASS,4263 B BC57F45DB805F1E82371F1AE856455930549656C178935A946AF111C753E911B
target_pdf_preserved,PASS,238640 B 70FE943717063093C9D0A8F7CB56838694268CA64487AA4257011FAD3F2D802B
translation_formula_structure,PASS,20/20 material translation/formula tokens present
stable_observation_tex,PASS,stable inherited-regularity observation appears once and is non-emendatory
r1_binding_68_exact,PASS,68 rows; binding SHA 7E0F75281E5FFB50135441E335E81EB78044D2B228FE8B0342579C3AF22CF1BA
prior_fail_binding_4_exact,PASS,4 controls exact; binding SHA 560C66C48F5B254326571D7E19CB2E6E6368EAC9E7CF40A183634F04F75C5258
prior_fail_12_occurrences,PASS,prior FAIL binds 12 dewrapped occurrences across 3 R1 logs
all_csv_rectangular_formula_safe,PASS,10 CSVs; 237 data rows; 0 formula triggers
machine_csv_identity_dimensions,PASS,63 x 26; E7C5D83090341B2B4121E17F501CF07E687DAA1EC90ADB0D8F2C1BE986536A10
machine_jsonl_revision_reference_closure,PASS,63 records; 31 reciprocal revision pairs; 0 closure errors; AF712F5D652BF26CEBC066C15AED6343CD2D14CBD756360412B3061F8C5BB83A
stable_observation_ledger,PASS,R1 and reciprocal R2 observation records each occur once
full_r2_8_mode_privacy_zero,PASS,59 text/log files x 8 modes x 7 patterns; 0 occurrences
producer_sanitized_build_logs_clean,PASS,3 deterministic sanitized logs; empty stderr; no errors/warnings; raw retained=false
independent_three_pass_build,PASS,3/3 exit 0; PDF 238640 B 70FE943717063093C9D0A8F7CB56838694268CA64487AA4257011FAD3F2D802B
independent_pdfinfo_fonts,PASS,1 A4 page; 15/15 fonts embedded/subset/Unicode
independent_raster_identity,PASS,pixel-identical 200 dpi raster 1654x2339
source_physical_105_raster_identity,PASS,reader 41AD02C57321A8D2200FF32A929BC93ADBC3DE0D59DCD5A284D28D859FB87A90; physical page 105 pixel-identical
artifact_tool_replay,PASS,5 panels; A1:Z64; 0 formula errors/triggers; receipt 0BF9BBCF28ABF21D786D5B23FB6C14E63749EE80820AE2E30F443E8FFC2FBA17
visual_inspection,PASS,"target/source rasters and all five Artifact Tool panels independently inspected; no clipping, overlap, blank panel, or unreadable glyphs"
rights_privacy_gates,PASS,internal/not-for-release; public=false; archive=false; receipt 3B75C26B9644C2768544179D3C49D7AD08DBAB8ED9AACC33EAA70E9ACA7F7584
producer_manifest_65_replay,PASS,65/65 rehashed; represented bytes 4838850; 9EC87ACE427DD7B44E9CC133DB7126EFF634FBCC95AC0AE66CA1601C7B901FFD
final_custody_preserved,PASS,R2/R1/prior controls byte-identical to pre-audit baselines
