check_id,source_lines,item_class,selected_target_representation,comparison_result,editorial_action,status
FS-001,556-557,chapter heading and label,translated heading with label retained,same scope and label,translate wording only,pass
FS-002,560-561,historical page marker,qualified source-page margin note,page witness preserved without confusing output pagination,localize and qualify marker,pass
FS-003,568-569,section heading and label,translated heading with label retained,same scope and label,translate wording only,pass
FS-004,570-573,diagonal and fiber-product notation,both diagonal notations and bases retained,mathematical tokens preserved,spacing only,pass
FS-005,575-581,ideal and structure-sheaf notation,authority notation retained exactly,symbol families and anomalous subscript preserved,no mathematical repair,pass
FS-006,582-584,quotient and differentials notation,quotient powers and subscripts retained,mathematical structure preserved,standard TeX font command only,pass
FS-007,587-589,morphisms and principal-parts equality,arrows bases exponent equality and calligraphic family retained,mathematical structure preserved and equality remains inline,line wrapping only,pass
FS-008,592-596,emphasis and infinitesimal-neighborhood notation,emphasis and notation retained,controlled English spelling applied,US spelling only,pass
FS-009,600-603,EGA citation,locator and footnote position retained,reference and attachment point preserved,English citation capitalization,pass
FS-010,570-603,paragraph structure,one continuous TeX paragraph,source paragraph structure preserved,line wrapping only,pass
FS-011,571;585;590;594,notation anchors,four label anchors retained,anchors present but no printed index in bounded reader,defer cumulative index emission,pass_with_documented_deferment
FS-012,598,standalone index entry,no printed index entry in the bounded reader,omission recorded explicitly,restore when cumulative index machinery is introduced,documented_deferment
