printed_page	folio_as_printed	running_head_as_printed	imprint_as_printed	signature_as_printed	rules	evidence	disposition
65			G. Lejeune Dirichlet’s Werke.	9	short rule below title; rule after opening paragraph	qa/s04/source/p065_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/65	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
66	66	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p066_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/66	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
67	67	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.		9*		qa/s04/source/p067_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/67	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
68	68	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p068_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/68	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
69	69	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/s04/source/p069_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/69	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
70	70	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p070_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/70	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
71	71	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.			footnote separator	qa/s04/source/p071_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/71	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
72	72	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p072_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/72	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
73	73	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.	G. Lejeune Dirichlet’s Werke.	10		qa/s04/source/p073_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/73	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
74	74	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p074_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/74	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
75	75	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.		10*		qa/s04/source/p075_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/75	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
76	76	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p076_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/76	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
