printed_page	authority_pdf_page	scope_leaf	role	fr_status	en_status	apparatus_status	occurrences_in_each_current_reader
63	80	1	COPY_MATTER	COPY_LOGGED_COLD_REPLAYED	COPY_LOGGED_COLD_REPLAYED	COPY_LOGGED_COLD_REPLAYED	0
64	81	2	COPY_MATTER	COPY_LOGGED_COLD_REPLAYED	COPY_LOGGED_COLD_REPLAYED	COPY_LOGGED_COLD_REPLAYED	0
65	82	3	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
66	83	4	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
67	84	5	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
68	85	6	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
69	86	7	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
70	87	8	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
71	88	9	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
72	89	10	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
73	90	11	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
74	91	12	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
75	92	13	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
76	93	14	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
77	94	15	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
78	95	16	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
79	96	17	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
80	97	18	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
81	98	19	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
82	99	20	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
83	100	21	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
84	101	22	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
85	102	23	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
86	103	24	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
87	104	25	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
88	105	26	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
89	106	27	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
90	107	28	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
91	108	29	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
92	109	30	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
93	110	31	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
94	111	32	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
95	112	33	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
96	113	34	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
97	114	35	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
98	115	36	AUTHOR_TEXT	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	COLD_AUDIT_ACCEPTED_S04	1
