"printed_page","source_pdf_page","source_image","tex_anchor","scope","fixes","disposition","notes"
"765","55","tail-55.png","23712-23727","Satz Ib continuation; historical reduction; footnotes 4-6; formulas and emphasis","0","closed_no_patch","All prose, congruences, products, emphasis, and notes match the collected-volume source."
"766","56","tail-56.png","23729-23757","Hauptsatz; formula (1); recurrence setup; footnote 7","0","closed_no_patch","Every displayed index and recurrence symbol compared; current matches source."
"767","57","tail-57.png","23759-23800","Hilfssatz I-II; formulas (2)-(3); footnote 8","0","closed_diplomatic_body_source_error_apparatus","Print itself gives x K_1 and x K_2 in first two rows of (3), despite general x K_(r+1) and prose implying K_2/K_3. Preserved; logged as original-print candidate."
"768","58","tail-58.png","23806-23824","Zusätze I-II; Bertini paragraph; Satz III; footnotes 9-10","4","closed_after_patch","Restored four source-visible varrho glyphs that current rendered as rho."
"769","59","tail-59.png","23826-23846","Differentiation criterion; Zusatz zu Satz III; Zusatz with E. Noether; footnotes 11-13","0","closed_no_patch","Formula A-prime, title block, prose, and all three notes match source."
"770","60","tail-60.png","23846-23875","Satz IV; formulas (4)-(5); common-divisor setup; footnote 14","0","closed_no_patch","All exponents, bars, congruences, and note content match source."
"771","61","tail-61.png","23875-23925","proof of (5); formula (6); Hilfssatz-II proof; footnotes 15-16","0","closed_diplomatic_body_source_error_apparatus","Print itself has f(0,y) without subscript i in the second identity. Current is faithful; probable source omission logged rather than silently emended."
"772","62","tail-62.png","23927-23938","Bemerkung II; final ideal equality; receipt line","0","closed_no_patch","Verified y^(K) in opening statement versus y^lambda in proof; current distinction is source-faithful."
"773","63","tail-63.png","23943-23980","Bibliographie items 1-16","0","closed_no_patch","Titles, numbering, journal data, years, pages, and cross-references match source."
"774","64","tail-64.png","23981-24014","Bibliographie items 17-33","0","closed_no_patch","Titles, dagger, numbering, journal data, years, pages, and cross-references match source."
"775","65","tail-65.png","24015-24039","Bibliographie items 34-43 and Kapferer entry","1","closed_after_patch","Restored item 34 terminal period; current had a colon. All bibliographic body text otherwise matches source."
"776","66","tail-66.png","24043-24085","Kurzmitteilungen and Buchbesprechungen","0","closed_no_patch","Every title, volume, part, year, page, editor, and publication datum compared; no body patch."
"777","67","tail-67.png","24089-24099","Bücher, entstanden unter Mitwirkung von Emmy Noether","0","closed_no_patch","Preserved source spellings Öystein Orne and Brauschweig; both entries otherwise exact."
