"register_id","row_kind","target_language_or_access_target","source_title","evidence_tier","source_type","source_url","local_path","local_path_exists","sha256_or_other_hash","actual_local_sha256","hash_status","license_or_access_signal","source_language","topic_tags","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","is_html_or_web_fallback","missing_required_fields","row_audit_status","gap_or_blocker_note","non_claim_boundary"
"SCW-TT-001","source_witness","Tatar","Алгебраик чишелеш — Wikipedia","html_or_web_fallback","local HTML capture","https://tt.wikipedia.org/wiki/%D0%90%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0%D0%B8%D0%BA_%D1%87%D0%B8%D1%88%D0%B5%D0%BB%D0%B5%D1%88","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\tt_wikipedia_algebraic_solution.html","True","4E12698F644E671E8B68AC63E4D6DB7B047A2FACC8BACE8DD5C1B4E4F99D2492","4E12698F644E671E8B68AC63E4D6DB7B047A2FACC8BACE8DD5C1B4E4F99D2492","match","local HTML includes CC BY-SA 4.0 link","Tatar","Tatar; algebra; algebraic solution; polynomial/base context","true","false","false","true","","row_audit_pass","Target-language algebra witness only; no TeX/source package; no Noetherian-ring or polynomial-ring exact row. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-TT-002","source_witness","Tatar","Хуа леммасы — Wikipedia","html_or_web_fallback","local HTML capture","https://tt.wikipedia.org/wiki/%D0%A5%D1%83%D0%B0_%D0%BB%D0%B5%D0%BC%D0%BC%D0%B0%D1%81%D1%8B","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\tt_wikipedia_hua_lemma.html","True","D6952EF5B5E8E765C573415E384CBF555B3B2EA42926AAAE418E6E86FD3EC12F","D6952EF5B5E8E765C573415E384CBF555B3B2EA42926AAAE418E6E86FD3EC12F","match","local HTML includes CC BY-SA 4.0 link","Tatar","Tatar; algebra; lemma","true","false","false","true","","row_audit_pass","Target-language mathematics witness only; no TeX/source package; no hard-row closure. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-TT-003","source_witness","Tatar-region lead","Методические пособия\Кафедpа высшей математики и математического моделирования - Казанский (Приволжский) федеральный университет","html_or_web_fallback","local HTML capture","https://kpfu.ru/math/strctre/teach/hmnmm/metodicheskie-posobiya","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_tatar\tatar_kpfu_methodical_sources_dictionary_lead.html","True","41B5A97C751407766D9A2DB961617A5AC0C2CD42B867CF8A464240CA706BABD4","41B5A97C751407766D9A2DB961617A5AC0C2CD42B867CF8A464240CA706BABD4","match","copyright signal","Tatar-region lead","higher mathematics; institutional source shelf; KPFU","false","false","false","true","","row_audit_pass","Institutional source-shelf lead only, not a Tatar-language hard-row witness; no local TeX/source package; no exact hard row. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-TT-004","source_witness","Tatar","Татар телендә математикадан уку материаллары булдырырга йогынты ясаучы факторлар турында","html_or_web_fallback","local HTML capture","https://cyberleninka.ru/article/n/tatar-telend-matematikadan-uku-materiallary-buldyryrga-yogynty-yasauchy-faktorlar-turynda","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T223000Z_r2_pan_turkic_turkmen_tatar_kyrgyz_hard_row_discovery\html\pan_turkic_tatar\tatar_cyberleninka_math_materials_article.html","True","3691F515CC96E12E2788FAFD5243DF1656CD094C80B287866E99ED8D9993C9C6","3691F515CC96E12E2788FAFD5243DF1656CD094C80B287866E99ED8D9993C9C6","match","local HTML includes Creative Commons signal","Tatar","Tatar; mathematics education; source-material factors","true","false","false","true","","row_audit_pass","Tatar-language mathematics-materials article witness; not algebra/ring hard-row support; no TeX/source package. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-KY-001","source_witness","Kyrgyz","Көп мүчө - Википедия","html_or_web_fallback","local HTML capture","https://ky.wikipedia.org/wiki/%D0%9A%D3%A9%D0%BF_%D0%BC%D2%AF%D1%87%D3%A9","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ky_wikipedia_polynomial_kop_mucho.html","True","5D2992CB7809533D719508F5287767A1A9184FEC6EEFE901C102A9B52702AC7D","5D2992CB7809533D719508F5287767A1A9184FEC6EEFE901C102A9B52702AC7D","match","local HTML includes CC BY-SA 4.0 link","Kyrgyz","Kyrgyz; polynomial; algebra","true","false","false","true","","row_audit_pass","Target-language polynomial/base witness only; no TeX/source package; no polynomial-ring or Noetherian-ring exact row. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-KY-002","source_witness","Kyrgyz","Эмми Нётер - Википедия","html_or_web_fallback","local HTML capture","https://ky.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B8_%D0%9D%D1%91%D1%82%D0%B5%D1%80","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ky_wikipedia_emmy_noether.html","True","7AE2A60D71D2830026796DF5F0158726FD51A44F2B3870A47A6003C8C34C0D32","7AE2A60D71D2830026796DF5F0158726FD51A44F2B3870A47A6003C8C34C0D32","match","local HTML includes CC BY-SA 4.0 link","Kyrgyz","Kyrgyz; Emmy Noether; algebra context","true","false","false","true","","row_audit_pass","Target-language Noether biography/context witness only; no TeX/source package; no Noetherian-ring exact row. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-KY-003","source_witness","Kyrgyz","""шакек"" сөзүн кыргыз тилинде морфологиялык талдоо","html_or_web_fallback","local HTML capture","https://tamgasoft.kg/morfo/ky/%D1%88%D0%B0%D0%BA%D0%B5%D0%BA","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T223000Z_r2_pan_turkic_turkmen_tatar_kyrgyz_hard_row_discovery\html\pan_turkic_kyrgyz\kyrgyz_tamgasoft_shakek_morphology.html","True","CB76DC25E6458B16B28002E8570F550875DEAF2882C2BF6ACEAB25A320CE9A9F","CB76DC25E6458B16B28002E8570F550875DEAF2882C2BF6ACEAB25A320CE9A9F","match","no reusable license signal found","Kyrgyz","Kyrgyz; morphology; ring wordform lead","true","false","false","true","","row_audit_pass","Morphology-only witness for a surface form; not a mathematical publication; no source package; no hard-row support. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-KY-004","source_witness","Kyrgyz","Matematikalyk Terminderdin Kyrgyzcha Oruscha Sozdugu Bizdin KG | PDF","pdf_or_text_fallback","local dynamic HTML/PDF-surface capture","https://www.scribd.com/document/673285911/Matematikalyk-terminderdin-kyrgyzcha-oruscha-sozdugu-bizdin-kg","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T210000Z_r2_pan_turkic_nonuzbek_hard_row_source_retry\html\pan_turkic_kyrgyz\kyrgyz_scribd_math_terms_dictionary_html.html","True","A15B94BCD3A2CFFFCF5A5BF66812CD2CC794FD8BBECAC5F7CA0ADF5F21576E46","A15B94BCD3A2CFFFCF5A5BF66812CD2CC794FD8BBECAC5F7CA0ADF5F21576E46","match","copyright signal","Kyrgyz","Kyrgyz; Russian-Kyrgyz math terms dictionary","true","false","true","true","","row_audit_pass","Terminology dictionary surface witness; no local PDF hash/source package; license restrictive/unclear; no exact hard-row support. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-TK-001","source_witness","Turkmen","Ýokary matematika I","pdf_or_text_fallback","local HTML/PDF-viewer surface capture","https://kitaphana.net/book/1207","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_turkmen\turkmen_kitaphana_yokary_matematika_i.html","True","099496E59B76C7F6825828C34CA3E5AAF2DD767B65172E10952F83E8CF0456AD","099496E59B76C7F6825828C34CA3E5AAF2DD767B65172E10952F83E8CF0456AD","match","copyright signal","Turkmen","Turkmen; higher mathematics; textbook lead","true","false","true","true","","row_audit_pass","Turkmen higher-math publication surface; no local PDF hash/source package; no exact Noetherian-ring or polynomial-ring row. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"SCW-TK-002","source_witness","Turkmen","Kömekow B Algebra-2010'TDU | PDF","pdf_or_text_fallback","local dynamic HTML/PDF-surface capture","https://www.scribd.com/document/868629110/Komekow-B-Algebra-2010-TDU","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_turkmen\turkmen_scribd_komekow_algebra_dynamic_html.html","True","2B7F1D6BAD0CCA19F6E3759D8D513B2FFD25C294B537DCE7C04A0B061126514C","2B7F1D6BAD0CCA19F6E3759D8D513B2FFD25C294B537DCE7C04A0B061126514C","match","copyright signal","Turkmen","Turkmen; algebra; TDU textbook lead","true","false","true","true","","row_audit_pass","Turkmen algebra publication surface; no local PDF hash/source package; license restrictive/unclear; no exact hard-row support. Next gate:","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
