"category","item_id","status","source_url","local_path","sha256","bytes","last_write","topic_or_scope","evidence_note","non_claim_boundary"
"control_file","AGENTS.md","observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","2026-07-04T21:59:26+02:00","control/source-canon coordination","Repository source-canon-first instructions rechecked.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_file",".github/copilot-instructions.md","observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","2026-07-04T21:59:26+02:00","control/source-canon coordination","Repository GitHub AI source-canon-first instructions rechecked.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_ledger","parent_ledger","observed","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","F7D49B47107E8F33151E93B0C48EED3CCD5AFDEBCE124FD3D1FABA1A0271EE3F","420938","2026-07-04T22:58:17+02:00","control/source-canon coordination","Parent ledger rechecked.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_ledger","source_canon_steering","observed","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","2026-07-04T18:45:58+02:00","control/source-canon coordination","Source-canon-first steering record rechecked.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_ledger","b3_steward_log","observed","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","D90B72C21DB212355FBACEFB51C9A965C4DC0145E869FAB54B39C77F533E7C0D","322415","2026-07-04T22:05:10+02:00","control/source-canon coordination","B3 local steward log rechecked; direct package manifests remain fresher for package frontier.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"git_frontier","safe_checkout","observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702","c7588b53d5d37d71081c5c143b5d2636aad5d262","","2026-07-04T23:01:04+02:00","branch codex/noether-pc-20260629","HEAD=c7588b53d5d37d71081c5c143b5d2636aad5d262; upstream=c7588b53d5d37d71081c5c143b5d2636aad5d262; top_log=c7588b53 Add Noether package 349; status=## codex/noether-pc-20260629...origin/codex/noether-pc-20260629","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"register_summary","normalized_register","audited","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","2026-07-04T22:12:28+02:00","R2 normalized source-canon register","rows=61; row_kinds=exact_candidate_witness=7; explicit_hard_blocker_gap=8; ocr_source_witness=2; source_witness=44; language_counts=Kyrgyz=13; Tatar=14; Tatar-region lead=1; Turkmen=13; Uyghur=20; evidence_tiers=explicit_gap_or_blocker=8; html_or_web_fallback=29; pdf_or_text_fallback=24; source_level_tex_or_archive_rows=0; explicit_hard_blocker_gap_rows=8; non_gap_source_candidate_rows=53","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"field_coverage_all_rows","lane","all_present","","","","","","required shared witness table field","missing=0; present=61; total=61","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"field_coverage_all_rows","target_language_or_access_target","all_present","","","","","","required shared witness table field","missing=0; present=61; total=61","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"field_coverage_all_rows","source_title","all_present","","","","","","required shared witness table field","missing=0; present=61; total=61","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
