"row_type","witness_id","language","source_title","source_url","source_type","local_path","sha256","bytes","text_path","text_sha256","text_bytes","http_status","content_type","access_license_signal","topic_tags","evidence_status","result_class","exact_candidate_hit_summary","context_hit_summary","source_canon_value_and_gap","hard_row_effect","next_gate","non_claim_boundary"
"control_or_register","CTRL-AGENTS","control","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","","","0","local","","local coordination/control artifact","repository instructions","observed","control_anchor","","","Repository instruction hash anchor.","none","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-COPILOT","control","copilot instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","","","0","local","","local coordination/control artifact","copilot instructions","observed","control_anchor","","","Copilot instruction hash anchor.","none","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-PARENT","control","parent ledger","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","F4DED0B55E54DC870E5D23831216CD73D99E0102CB383F50D7F91E68C86EC4F2","526768","","","0","local","","local coordination/control artifact","parent ledger","observed","control_anchor","","","Parent ledger hash anchor for Event 052.","none","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","CTRL-STEERING","control","source-canon steering","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","","","0","local","","local coordination/control artifact","source-canon steering","observed","control_anchor","","","Source-canon-first steering hash anchor.","none","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","R2-REGISTER-BOUNDARY","control","R2 normalized register","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","","","0","local","","local coordination/control artifact","R2 normalized register","observed","control_anchor","","","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","none","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"control_or_register","R2-HARD-ROWS","control","R2 hard-row ledger","","hard_rows_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","8B7D4BA66E9311E7475984148DB296E81DF7D66A7804E515239D2F0B061301CE","1398","","","0","local","","local coordination/control artifact","R2 hard-row ledger","observed","control_anchor","","","rows=8; Uyghur candidate_only=2; all_open_gap=6; all_candidate_only=2","none","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_uyghur_authority_probe","UG-CUR-052-001","Uyghur","UYGUR.COM Noetherian ring","https://wiki.uygur.com/noeter_halqisi/","html_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-001_uygur_com_noeter_halqisi.html","E6A3C01FF060B55E3BF324E9A59D32F620DA956246CEEF3C38B4D5A1A87799AD","84366","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-001_uygur_com_noeter_halqisi.txt","AA7177389EAB80733E430A96E204F99FEB92AFE6484AD4F2CC0ED72831B8486D","84368","200 OK","text/html; charset=UTF-8","UYGUR.COM public HTML dictionary page; license/authority not cleared","Uyghur;Noetherian ring;polynomial ring;source-canon authority gate","exact_candidate_current_capture","exact_dictionary_candidate_refreshed_not_promoted","noetherian_candidate_present","context_present","Current UYGUR.COM dictionary page locally captured with exact Noetherian-ring candidate and English gloss. It remains candidate-only because authority/license/source-canon review is open.","candidate-only or blocked; no hard-row closure or promotion","Need stronger mathematical publication/source package or explicit authority review before support.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_uyghur_authority_probe","UG-CUR-052-002","Uyghur","UYGUR.COM polynomial ring","https://wiki.uygur.com/kop_ezaliq_halqa/","html_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-002_uygur_com_kop_ezaliq_halqa.html","368A3A3E19E1B955B582EA18E8F7DDCA8B47DF264DD50B7E1A275A35C2F79A5A","84391","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-002_uygur_com_kop_ezaliq_halqa.txt","BE2F13DEEF26F3179C1356F06031F1CAB7C7037210B117EBA0AE0BB9D0CF9E4C","84393","200 OK","text/html; charset=UTF-8","UYGUR.COM public HTML dictionary page; license/authority not cleared","Uyghur;Noetherian ring;polynomial ring;source-canon authority gate","exact_candidate_current_capture","exact_dictionary_candidate_refreshed_not_promoted","polynomial_candidate_present","context_present","Current UYGUR.COM dictionary page locally captured with exact polynomial-ring candidate and English gloss. It remains candidate-only because authority/license/source-canon review is open.","candidate-only or blocked; no hard-row closure or promotion","Need stronger mathematical publication/source package or explicit authority review before support.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_uyghur_authority_probe","UG-CUR-052-003","Uyghur","UYGUR.COM left Noetherian ring","https://wiki.uygur.com/sol_noeter_halqisi/","html_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-003_uygur_com_sol_noeter_halqisi.html","4D355530FE4B26572610BA33CF73B988B94F7B8E1423A5572F2DD77D82CDC5DB","84420","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-003_uygur_com_sol_noeter_halqisi.txt","31E62BF9971A40ECDCC21812456588FFAF8FBFAC84D13BCD6A5EC7F224B47DA8","84422","200 OK","text/html; charset=UTF-8","UYGUR.COM public HTML dictionary page; license/authority not cleared","Uyghur;Noetherian ring;polynomial ring;source-canon authority gate","related_noetherian_candidate_current_capture","related_exact_dictionary_candidate_not_promoted","noetherian_candidate_present","context_present","Current UYGUR.COM left-Noetherian-ring page locally captured; it reinforces candidate-family provenance only, not hard-row closure.","candidate-only or blocked; no hard-row closure or promotion","Need source-canon authority or publication/source package evidence.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"current_uyghur_authority_probe","UG-CUR-052-004","Uyghur","UYGUR.COM right Noetherian ring","https://wiki.uygur.com/ong_noeter_halqisi/","html_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-004_uygur_com_ong_noeter_halqisi.html","1C53E86D7A30407A581AFF74D0D74BBA8F3AA1BEB4495C2B2F1BF2A7EC36B977","84428","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-004_uygur_com_ong_noeter_halqisi.txt","F911A6245C5AFA45FE122A39965DDADCDDCF98D33BC7503E8D0DFAC8165ACB4D","84430","200 OK","text/html; charset=UTF-8","UYGUR.COM public HTML dictionary page; license/authority not cleared","Uyghur;Noetherian ring;polynomial ring;source-canon authority gate","related_noetherian_candidate_current_capture","related_exact_dictionary_candidate_not_promoted","noetherian_candidate_present","context_present","Current UYGUR.COM right-Noetherian-ring page locally captured; it reinforces candidate-family provenance only, not hard-row closure.","candidate-only or blocked; no hard-row closure or promotion","Need source-canon authority or publication/source package evidence.","source-canon/provenance/gap support only; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
