"current_live_head","prior_frontier","prior_branch_subject","carried_from_packet","row_set","prior_recorded_frontier","verified_branch_subject","previous_local_head","observed_head","artifact_path","language","bcp47","hard_row","source_id","source_url","term","review_decision","reason","next_gate","source_use_label","exact_closure_found","blocker_preserved","boundary"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\logs\R2_PAN_TURKIC_NOETHERIAN_POLYNOMIAL_RING_EXACT_RETRY_20260630T003000Z.json","","","ACTIVE-RECOVERY-SEARCH","","","""Nöter"" ""halka"" ""Türkmen""","no_accepted_source_row","No accepted Turkmen Noetherian-ring source found in this pass.","continue exact source-row/reviewer-return recovery; no promotion","web/local search observation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\logs\R2_PAN_TURKIC_NOETHERIAN_POLYNOMIAL_RING_EXACT_RETRY_20260630T003000Z.json","","","ACTIVE-RECOVERY-SEARCH","","","""көпмүчөлөр шакеги"" кыргыз / ""көп мүчөлөрдүн шакеги""","no_accepted_source_row","No accepted Kyrgyz polynomial-ring source found; search drifts to jewelry/ring false positives.","continue exact source-row/reviewer-return recovery; no promotion","web/local search observation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\logs\R2_PAN_TURKIC_NOETHERIAN_POLYNOMIAL_RING_EXACT_RETRY_20260630T003000Z.json","","","ACTIVE-RECOVERY-SEARCH","","","""Нётер"" ""боҗра"" татар ""алгебра""","weak_lead_recorded_no_promotion","OpenTran exposes 'Нотериан боҗрасы' wording, but source class is weak machine translation.","continue exact source-row/reviewer-return recovery; no promotion","web/local search observation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\logs\R2_PAN_TURKIC_NOETHERIAN_POLYNOMIAL_RING_EXACT_RETRY_20260630T003000Z.json","","","ACTIVE-RECOVERY-SEARCH","","","""Нөтер"" ""боҗра"" татар","no_accepted_source_row","No strong source; search mostly returns weak OpenTran/machine translation or unrelated Tatar identity pages.","continue exact source-row/reviewer-return recovery; no promotion","web/local search observation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\logs\R2_PAN_TURKIC_NOETHERIAN_POLYNOMIAL_RING_EXACT_RETRY_20260630T003000Z.json","","","ACTIVE-RECOVERY-SEARCH","","","""полиномнар боҗрасы"" татар","no_accepted_source_row","No local Tatar mathematical source found; unrelated or nonlocal results dominate.","continue exact source-row/reviewer-return recovery; no promotion","web/local search observation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\R2_PAN_TURKIC_AZ_TK_TT_BA_UG_HARD_ROW_RETRY_20260629T213000Z.json","Azerbaijani","","PDF-ONLY-LEAD-NOT-DOWNLOADED","","","""invariantlar nəzəriyyəsi"" ""halqa"" riyaziyyat","recorded_not_downloaded","physics.gov.az Azerbaijani physical-terms PDF with invariantlar nəzəriyyəsi; ADPU/NDU algebra and factor-group PDF lecture leads","source-body acquisition only if allowed by source-use policy; no closure","pdf-only lead/gap row","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\R2_PAN_TURKIC_AZ_TK_TT_BA_UG_HARD_ROW_RETRY_20260629T213000Z.json","Azerbaijani","","PDF-ONLY-LEAD-NOT-DOWNLOADED","","","""Noether"" ""halqası"" riyaziyyat","recorded_not_downloaded","Khazar University chess/history PDF snippet with Noether halqası","source-body acquisition only if allowed by source-use policy; no closure","pdf-only lead/gap row","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\R2_PAN_TURKIC_AZ_TK_TT_BA_UG_HARD_ROW_RETRY_20260629T213000Z.json","Bashkir","","PDF-ONLY-LEAD-NOT-DOWNLOADED","","","""автоморфизм"" ""башҡорт"" математика","recorded_not_downloaded","BSPU and Bashkir-language PDF/document search noise around automorphism and school programs","source-body acquisition only if allowed by source-use policy; no closure","pdf-only lead/gap row","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\R2_PAN_TURKIC_HARD_ROW_REVIEW_GATE_20260629T220000Z.json","Kazakh","","L-POLYNOMIAL-RING","kazakh_stud_linear_algebra_invariant_theory","https://stud.kz/referat/show/82045","көпмүше","supporting_polynomial_word_rejected_for_polynomial_ring_promotion","Polynomial word evidence does not establish polynomial-ring terminology.","continue exact source-row/reviewer-return recovery; no promotion","rejected/no-hit recovery row","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"08bc3426baf1b3387b737905d8fd346c685836f8","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","R2_58898A84_PROMPT_A3_SOURCE_RETURN_CROSSWALK_20260706","active-recovery-search","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","Preserve bytes for post-08BC recovery batch","58898a8429447e440e75d225d7e84fe527911c1f","58898a8429447e440e75d225d7e84fe527911c1f","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-a-3\outputs\R2_PAN_TURKIC_NONUZBEK_HARD_ROW_SOURCE_RETRY_20260629T210000Z.json","Kazakh","","PDF-ONLY-LEAD-NOT-DOWNLOADED","","","""инварианттар теориясы"" ""қазақ"" -wikipedia","recorded_not_downloaded","Kazakh PDF/doc-like search-result leads for invariant-theory and mathematical-method pages","source-body acquisition only if allowed by source-use policy; no closure","pdf-only lead/gap row","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
