"field","value","source_use_label"
"packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_1A823D4A_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_1A823D4A_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T034031Z","b3-uploader-summary"
"frontier","1a823d4a910b663836c699ea360127b1f2c8f525","b3-uploader-summary"
"prior_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707\R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707_20260707T033528Z","b3-uploader-summary"
"prior_packet_status","prior-1a823-packet-validated","b3-uploader-summary"
"same_frontier","true","b3-uploader-summary"
"blocker_recovery_rows","4","b3-uploader-summary"
"source_use_gap_rows","4","b3-uploader-summary"
"fable_adverse_rows","3","b3-uploader-summary"
"language_boundary_rows","6","b3-uploader-summary"
"reset_rule_rows","3","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
"claims","no GitHub Issues, no native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claim","b3-uploader-summary"
