lane,artifact_kind,status,exists,row_count,target_witness_rows,non_target_or_gap_rows,source_level_rows,fallback_rows,required_fields_present_count,missing_required_columns,blank_required_field_counts_target_witness_rows,sha256,byte_count,path,note
CJK native/source evidence,exact_required_field_table,required_field_shape_present,True,39,24,15,21,11,17,[],{},A204045891F2DEFB80EE93AA990960EA20464DD59EE375799371E6AC433CBA5E,33212,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_REVALIDATED_20260704.csv,CJK native lane revalidated witness/support table; later Korean correction rows must be applied.
CJK native/source evidence,routing_correction_table,support_or_audit_sidecar,True,7,0,7,0,0,3,"[""lane"", ""target_language_or_access_target"", ""source_author_or_owner"", ""topic_tags"", ""evidence_tier"", ""source_type"", ""source_url"", ""local_path"", ""license_or_access_signal"", ""sha256_or_other_hash"", ""source_language"", ""is_target_language_witness"", ""is_source_level_tex_or_archive"", ""is_pdf_docx_or_text_fallback""]",{},7EF884F6D431CFA30A4B4835F8A871C8FA26D0B8FDF3421425A7ED71F6788259,4182,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_SCHEMA_NORMALIZATION_REFRESH_20260704_CJK_KOREAN_ROUTING_CORRECTION.csv,Korean addendum/routing correction: not target-language native authority and not pan-CJK.
CJK native/source evidence,url_hash_map,support_or_audit_sidecar,True,125,0,125,0,0,6,"[""lane"", ""target_language_or_access_target"", ""source_title"", ""source_author_or_owner"", ""topic_tags"", ""source_url"", ""sha256_or_other_hash"", ""source_language"", ""is_target_language_witness"", ""is_source_level_tex_or_archive"", ""is_pdf_docx_or_text_fallback""]",{},3E4E4F0F48488A46D1361F58CE75E65C13DA3AA65328E5B64C552226643FA6F3,156439,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_CJK_CODEPOINT_REDO_SOURCE_URL_MAP_20260704.csv,CJK codepoint/source URL and hash map with GitHub raw/blob findability rows.
CJK draft/source evidence,exact_required_field_scaffold,required_field_shape_present,True,9,6,3,3,4,17,[],{},26C85EAFA5114A0F9E68EC8DDCCD530F82DECFD54BAE4778049FCFAC21326F61,13500,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_SCHEMA_NORMALIZATION_REFRESH_20260704_CJK_DRAFT_REQUIRED_FIELD_SCAFFOLD.csv,Program-normalized scaffold derived from split CJK draft lane table.
Slavic canonical baseline,exact_required_field_scaffold,required_field_shape_present,True,30,25,5,22,30,17,[],{},3E925E0FA8876CB7533BA05FDDB3DD75B73B7BF1E16D97B7F034265FF83EE1D3,55319,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_SCHEMA_NORMALIZATION_REFRESH_20260704_SLAVIC_REQUIRED_FIELD_SCAFFOLD.csv,Program-normalized scaffold derived from Slavic baseline witness table.
R6 Indigenous/Creole/Sign,exact_required_field_table,required_field_shape_present,True,82,0,82,0,0,17,[],{},FBC0F72C6FC2589DD22591524F7E4AE7A0473415FB2E45523C5AC1F580BF263E,109761,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\NOETHER_R6_SOURCE_CANON_REQUIRED_FIELD_MIRROR_20260704.csv,Owner mirror table with all required fields present at the earlier schema refresh.
R7 Malay/SEA/Pacific,exact_required_field_table,required_field_shape_present,True,59,25,34,2,50,17,[],{},98469BF68EF176B0FC7A550968543CE30EDE398CE2A9701009D9F7D4C7E57DC0,52900,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\NOETHER_R7_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv,Owner required-field witness table; follow-up discovery sidecars carry newer gap/action rows.
Romance source evidence,exact_required_field_table,required_field_shape_present,True,26,20,6,13,7,17,[],{},8F451B92C3ABD60123CE136FB09CCFAB075E77D742AC7F0AC68EBE087E5651B1,38654,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_SOURCE_CANON_WITNESS_TABLE_REQUIRED_SHAPE_20260704.csv,Owner required-shape witness table; license gap addenda remain separate evidence.
Arabic RTL source evidence,normalized_witness_table,required_field_shape_present,True,26,17,9,1,17,17,[],{},C70D17AFC7CA804738EDD376A86E432AD26B9336810142EB8AA62D6143505A4B,26326,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv,Arabic normalized table; blank URL/hash/local path fields are expected on explicit gap/rejected rows.
Arabic RTL source evidence,current_rollup,support_or_audit_sidecar,True,17,0,17,0,0,6,"[""lane"", ""source_title"", ""source_author_or_owner"", ""source_url"", ""local_path"", ""sha256_or_other_hash"", ""source_language"", ""is_target_language_witness"", ""is_source_level_tex_or_archive"", ""is_pdf_docx_or_text_fallback"", ""gap_or_blocker_note""]",{},5C3FA9092A8E95FA2C79E38B3FD3CD32C10D6C8ADB0DBA6356AA71322D50FCB0,18518,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_CURRENT_ROLLUP_20260704.csv,"Current Arabic rollup/index, not an exact required-field witness table."
Persianate/Tajik source evidence,owner_witness_table,target_witness_rows_have_required_field_blanks,True,13,8,5,2,6,17,[],"{""is_pdf_docx_or_text_fallback"": 3, ""is_source_level_tex_or_archive"": 6}",9A24804E0D7364BD3CD09B75354A525EE11B41B048CBD1FA9F48CA0EBF21F4BD,15009,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json,Owner witness table for fa_IR/prs_AF/Tajik discovery boundaries.
R2 Pan-Turkic hard blockers,owner_witness_table_nonprogram_shape,owner_shape_not_exact_required_fields,True,14,0,14,0,0,2,"[""lane"", ""target_language_or_access_target"", ""source_title"", ""source_author_or_owner"", ""evidence_tier"", ""source_type"", ""source_url"", ""license_or_access_signal"", ""sha256_or_other_hash"", ""source_language"", ""is_target_language_witness"", ""is_source_level_tex_or_archive"", ""is_pdf_docx_or_text_fallback"", ""gap_or_blocker_note"", ""non_claim_boundary""]",{},1A5CEDB4BF4BFBB363AC7FE7AC87F518A5021F65906322015529FF9C649C4656,10318,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_WITNESS_TABLE_20260704.csv,"Owner witness table exists, but it does not use the shared required-field column names and needs owner/program normalization before it can replace the audit sidecars."
