row_id,language_code,language_name,source_kind,title,institution_or_source,url,topic_tags,language_evidence,license_signal,upload_policy,source_role,boundary,notes,fetch_status,content_type,fetched_bytes,sha256,fetched_at_utc
mk_ukim_linearna_algebra_2019,mk,Macedonian,official_pdf_textbook,Линеарна алгебра / Linear Algebra,Ss. Cyril and Methodius University in Skopje (UKIM),https://ukim.edu.mk/wp-content/uploads/2025/06/linearna_algebra.pdf,linear algebra; matrices; vector spaces; determinants,Macedonian title and university textbook metadata in Cyrillic,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language algebra source witness,source-canon/provenance support only; no native review or approval claim,Official UKIM textbook-level source; strong Macedonian baseline witness.,fetched_hash_only,application/pdf,4970204,6D8877B2ED52C0447AACA3CE103DA09A40EDBA9AE471B5DB75EEA190BED59CF2,2026-07-04T19:42:08.696263+00:00
mk_ukim_vector_linear_algebra_solved_tasks,mk,Macedonian,official_pdf_problem_book,Решени задачи по векторска и линеарна алгебра,Ss. Cyril and Methodius University in Skopje (UKIM),https://ukim.edu.mk/wp-content/uploads/2025/06/resheni_zadachi_po_vektorska_i_linearna_algebra.pdf,linear algebra; vector algebra; determinants; matrices; analytic geometry,Macedonian title and CIP metadata in Cyrillic,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language algebra exercise source witness,source-canon/provenance support only; no native review or approval claim,Official solved-problem source for Macedonian linear-algebra terminology.,fetched_hash_only,application/pdf,4195083,2A334151982C1C2923A362520BA582CC14D08BB2C03214B7A62862E02D5CCFA0,2026-07-04T19:42:10.038763+00:00
mk_ukim_algebraic_n_ary_structures,mk,Macedonian,official_pdf_monograph,Алгебарски n-арни структури,Ss. Cyril and Methodius University in Skopje (UKIM),https://ukim.edu.mk/wp-content/uploads/2025/06/algebarski_n-arni_strukturi.pdf,algebraic structures; n-ary structures; abstract algebra,Macedonian title and UKIM publication route,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language abstract-algebra source witness,source-canon/provenance support only; no native review or approval claim,Already present in the Slavic access-boundary audit; promoted here for findability.,fetched_hash_only,application/pdf,1930082,64F0AAA257DE1F1E348A049858D491CB2FD4BFFE050F9BD4A902D5041254E14A,2026-07-04T19:42:11.166690+00:00
mk_ukim_matematicki_leksikon,mk,Macedonian,official_pdf_lexicon,Математички лексикон,Ss. Cyril and Methodius University in Skopje (UKIM),https://ukim.edu.mk/wp-content/uploads/2025/06/matematicki_leksikon.pdf,mathematical terminology; algebra terms; reference lexicon,Macedonian title and UKIM e-book route,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language terminology source witness,source-canon/provenance support only; no native review or approval claim,"Terminology witness, not a generated translation.",fetched_hash_only,application/pdf,11391425,B01868524F3757A96D2AF13D91D8DC54AA1913A5011E16512161D29C20C70B91,2026-07-04T19:42:13.347629+00:00
be_adu_math_5_9_belarusian,be,Belarusian,official_pdf_curriculum,Вучэбная праграма: Матэматыка 5-9,National Educational Portal of Belarus / Ministry education route,https://adu.by/images/2025/08/12/Matem-5-9-BEL.pdf,algebra; sets; functions; geometry; curriculum terminology,Belarusian title and body text,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language terminology and curriculum witness,source-canon/provenance support only; no native review or approval claim,"Not advanced algebra, but strong official Belarusian mathematical-language evidence.",fetched_hash_only,application/pdf,289423,93B311D0BC19B13E02D70FF18EC2E50F981B2475AAAECAE13E321A8BD63FE408,2026-07-04T19:42:14.260636+00:00
be_adu_math_10_11_belarusian,be,Belarusian,official_pdf_curriculum,Вучэбная праграма: Матэматыка 10-11,National Educational Portal of Belarus / Ministry education route,https://adu.by/images/2025/08/12/Matem-10-11-BEL.pdf,algebra; geometry; functions; probability; secondary mathematics,Belarusian title and body text,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language terminology and curriculum witness,source-canon/provenance support only; no native review or approval claim,Official Belarusian math source; useful for target register and terminology.,fetched_hash_only,application/pdf,203707,F2940090F4AEED9DB8ABE5DD6E0700741E77B4D74083C7FD663736ABE2BD547E,2026-07-04T19:42:14.984281+00:00
be_adu_math_10_11_advanced_belarusian,be,Belarusian,official_pdf_curriculum,"Вучэбная праграма: Матэматыка 10-11, павышаны ўзровень",National Educational Portal of Belarus / Ministry education route,https://adu.by/images/2025/08/12/Matem-10-11-BEL-povysh-uzroven.pdf,advanced secondary algebra; probability algebra; functions,Belarusian title and body text,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language advanced-curriculum witness,source-canon/provenance support only; no native review or approval claim,Official advanced-level Belarusian math source; still not a research TeX corpus.,fetched_hash_only,application/pdf,233954,E43F3872F9CE5C8A6AF0C6D749DC9C0A67B8F8600B38EA805F171B137E316CBE,2026-07-04T19:42:15.815190+00:00
be_bspu_oscillator_group_lie_algebra_2025,be,Belarusian,journal_pdf_mixed_language,"Весці БДПУ. Серыя 3. 2025 №2, oscillator group/Lie algebra article",Belarusian State Pedagogical University repository,https://elib.bspu.by/bitstream/doc/67039/1/vesti%202_ser%203-5-11.pdf,Lie algebra; oscillator group; differential geometry,Belarusian journal frame with Russian article text in search snippet,repository public PDF; redistribution/license not established,manifest-only; no PDF body committed,regional source witness; language caution,source-canon/provenance support only; no native review or approval claim,"Keep as mixed-language provenance, not as clean Belarusian target-language corpus.",fetched_hash_only,application/pdf;charset=UTF-8,991447,2FD617E0D43B6A8A89281C4C03D066B3803085F385C272A64C3CE0E70C1F86D8,2026-07-04T19:42:18.548452+00:00
be_slounik_bnt_1922_elementary_math,be,Belarusian,web_terminology_source,Elementarnaja matematyka BNT 1922,Slounik.org historical terminology page,https://slounik.org/bnt01/,elementary mathematics; algebra terminology; historical lexicon,Belarusian Latin-script/transliterated historical terminology,web accessible; license not established,manifest-only; no page body committed,target-language terminology source witness,source-canon/provenance support only; no native review or approval claim,Already in local access-boundary audit; included here as a direct findability row.,fetched_hash_only,text/html; charset=UTF-8,28916,52CC7E17A36743949DCE632C15B98163B66ACCCAE779E691EAA1F2D0E15B4344,2026-07-04T19:42:19.550759+00:00
cnr_ucg_linearna_algebra_pdf,cnr,Montenegrin,official_pdf_textbook,Linearna algebra,"University of Montenegro (UCG), Faculty of Sciences and Mathematics route",https://www.ucg.ac.me/skladiste/blog_6385/objava_201504/fajlovi/LA.pdf,linear algebra; matrices; vector spaces,Montenegrin/BCS university context and UCG host,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-root linear-algebra source witness,source-canon/provenance support only; no native review or approval claim,Strong official UCG linear algebra witness; not TeX source.,fetched_hash_only,application/pdf,1154613,16AABD51929E1FDFC3B4A0902AAC3AFA8AE8744C242560BE9160371AA307C798,2026-07-04T19:42:21.665049+00:00
cnr_ucg_hyperstructures_similarity_report,cnr,Montenegrin,official_pdf_dissertation_provenance,Reducibility in algebraic hyperstructures similarity report,"University of Montenegro (UCG), PMF",https://www.ucg.ac.me/skladiste/blog_1019/objava_123989/fajlovi/Similarity%20Report%20Milica%20Kankara%C5%A1%202.pdf,algebraic hyperstructures; hypergroups; hyperrings,UCG thesis metadata and Montenegrin/BCS abstract snippets,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-root algebra research provenance witness,source-canon/provenance support only; no native review or approval claim,Research-level algebra provenance; similarity report rather than source publication body.,fetched_hash_only,application/pdf,2246869,49ACBEB9C6B34F3CA900A40B64F9C9E08322759DEA3022D24E624C2735B0CCAA,2026-07-04T19:42:24.518208+00:00
cnr_ucg_eteze_topological_f_algebras,cnr,Montenegrin,official_html_thesis_record,Topological and F-algebras of holomorphic functions,University of Montenegro e-theses,https://eteze.ucg.ac.me/application/showtheses?thesesId=159,topological algebras; F-algebras; holomorphic functions,UCG thesis record with mathematics faculty metadata,public metadata page; license/body access not established,manifest-only; no HTML/PDF body committed,target-root algebra thesis provenance witness,source-canon/provenance support only; no native review or approval claim,"Official thesis metadata; use for source discovery, not corpus-body reuse.",fetched_hash_only,text/html; charset=utf-8,27827,01BA7AD672BC068166B842E189E67DE1394D1EE19CEB47D5204C349266FE8F6D,2026-07-04T19:42:25.133143+00:00
cnr_mathmontis_journal_route,cnr,Montenegrin,journal_route_provenance,Matematika Crne Gore / Mathematica Montisnigri route,University of Montenegro / Matematika Crne Gore,https://www.ucg.ac.me/skladiste/blog_10/objava_179319/fajlovi/Univerzitet%20Crne%20Gore%201974-2024.pdf,Montenegrin mathematics journal route; algebra/source discovery,UCG anniversary publication identifies journal and ISSN/DOI route,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,journal/source-discovery provenance,source-canon/provenance support only; no native review or approval claim,Findability row for the Montenegrin journal route; not itself a payload corpus.,fetched_hash_only,application/pdf,14094598,D8DFA7D08A3E8A6BEF760EAF43153C253CB0093A481FAD92BAB47405179CF68D,2026-07-04T19:42:34.786900+00:00
hsb_sorbian_institute_termmat_source_list,hsb,Upper Sorbian,official_pdf_corpus_source_list,Žórła hornjoserbskeho tekstoweho korpusa; Termmat mathematics terminology,Sorbian Institute,https://www.serbski-institut.de/wp-content/uploads/2022/02/Z%CC%8Co%CC%81rla-hornjoserbskeho-tekstoweho-korpusa.pdf,mathematics terminology; corpus source routing,Upper Sorbian source list names Terminologija za předmjet matematika,official public web PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language terminology-source routing witness,source-canon/provenance support only; no native review or approval claim,Strong source-discovery row; actual terminology booklet body not uploaded.,fetched_hash_only,application/pdf,63162,9B444E52C8A7B2FFD05A85B41367CFB99CAB1662245D71128B1520A9D1D96DE3,2026-07-04T19:42:35.325879+00:00
hsb_domowina_math_terminology_catalog,hsb,Upper Sorbian,bibliographic_pdf_catalog,Terminologija za predmjet matematika / Terminologie fuer das Fach Mathematik,Domowina-Verlag catalogue,https://domowina-verlag.de/assets/pdf/34_LND_Lieferbare-Literatur_2022.pdf,mathematics terminology; German-Upper Sorbian glossary,Catalogue entry for mathematics terminology booklet,bibliographic public PDF; redistribution/license not established,manifest-only; no PDF body committed,target-language terminology-source bibliographic witness,source-canon/provenance support only; no native review or approval claim,Bibliographic access route for the Upper Sorbian math-terminology source.,fetched_hash_only,application/pdf,4261931,11125B6782DAC314229CF32A0171DD78DD6F38D42CCE0EE7BD27F74DB4942044,2026-07-04T19:42:36.384840+00:00
dsb_witaj_lower_sorbian_math_terminology,dsb,Lower Sorbian,bibliographic_pdf_catalog,Terminologija za pśedmjat matematika,WITAJ / Lower Sorbian bibliographic control,https://www.yumpu.com/de/document/view/23246157/pdf-2569-kb-witaj-sprachzentrums,mathematics terminology; Lower Sorbian glossary route,Lower Sorbian bibliography row in existing audit,third-party rendered public page; redistribution/license not established,manifest-only; no page/PDF body committed,target-language terminology-source bibliographic witness,source-canon/provenance support only; no native review or approval claim,Existing audit row copied into the findability layer; use only as routing evidence.,fetched_hash_only,text/html; charset=UTF-8,148234,D7A9FC420350B7F0863A2F6F998D5C028B92E93354F1413DC742BFFA17D6B9CD,2026-07-04T19:42:37.170744+00:00
