"evidence_now","next_action","lane_scope","blocker_effect","b3_packaging_note","blocker_status","route_or_language","target_id"
"probe_failed_no_body_saved","continue source-owner/manual/browser recovery; do not widen support","indigenous","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","Ecuador Kichwa/CNIB","R6-212DFB-SEARCH-1"
"probe_failed_no_body_saved","continue source-owner/manual/browser recovery; do not widen support","indigenous","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","Ecuador EIB/CNIB general","R6-212DFB-SEARCH-2"
"probe_failed_no_body_saved","continue source-owner/manual/browser recovery; do not widen support","indigenous","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","Paraguay Guarani/PRODEPA","R6-212DFB-SEARCH-3"
"probe_failed_no_body_saved","continue source-owner/manual/browser recovery; do not widen support","indigenous","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","Paraguay PRODEPA background","R6-212DFB-SEARCH-4"
"html_probe_and_candidate_links_only_no_raw_body_saved","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","ASL algebra/STEM","R6-212DFB-SEARCH-5"
"html_probe_and_candidate_links_only_no_raw_body_saved","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","ASL math dictionary","R6-212DFB-SEARCH-6"
"html_probe_and_candidate_links_only_no_raw_body_saved","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","DGS math videos","R6-212DFB-SEARCH-7"
"html_probe_and_candidate_links_only_no_raw_body_saved","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","DGS corpus dictionary","R6-212DFB-SEARCH-8"
"html_probe_and_candidate_links_only_no_raw_body_saved","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","DGS open dictionary comparator","R6-212DFB-SEARCH-9"
"probe_failed_no_body_saved","continue source-owner/manual/browser recovery; do not widen support","indigenous","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","Paraguay Guarani language program","R6-AC6F-WEB-PARAGUAY-GUARANI-PROGRAM-PDF"
"probe_failed_no_body_saved","continue source-owner/manual/browser recovery; do not widen support","indigenous","source/reviewer/ethics authority remains unresolved","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","active_source_recovery_blocker","Paraguay mathematics program comparator","R6-AC6F-WEB-PARAGUAY-MATH-PROGRAM-PDF"
