paper,printed_page,source_witness,visual_disposition,repairs_promoted,current_output_page,notes
P34,641,Noether_P34_GDZ_MathZ30_printed_p641_canvas00000645_fullres.jpg,no_secure_delta,none,317,title author opening introduction and footnote checked
P34,642,Noether_P34_GDZ_MathZ30_printed_p642_canvas00000646_fullres.jpg,no_secure_delta,none,317-318,prose matrix-order statement and footnotes 2-3 checked
P34,643,Noether_P34_GDZ_MathZ30_printed_p643_canvas00000647_fullres.jpg,source_typography_delta,CO-20260711-089,318,scope hypothesis and footnote emphasis restored
P34,644,Noether_P34_GDZ_MathZ30_printed_p644_canvas00000648_fullres.jpg,source_typography_delta,CO-20260711-090,318,splitting-field and automorphism-body emphasis restored
P34,645,Noether_P34_GDZ_MathZ30_printed_p645_canvas00000649_fullres.jpg,no_secure_delta,none,319,section opening operator law examples and footnote 6 checked
P34,646,Noether_P34_GDZ_MathZ30_printed_p646_canvas00000650_fullres.jpg,definition_typography_and_case_delta,CO-20260711-091,319,ideal sidedness module definitions and lowercase compound restored
P34,647,Noether_P34_GDZ_MathZ30_printed_p647_canvas00000651_fullres.jpg,definition_typography_and_case_delta,CO-20260711-092,320,bimodule and operator-isomorphism definitions restored
P34,648,Noether_P34_GDZ_MathZ30_printed_p648_canvas00000652_fullres.jpg,hard_math_relation_glyph_and_typography_delta,CO-20260711-093;CO-20260711-094,320,three theorem conclusions restored from sim to simeq and two defined terms emphasized
P34,649,Noether_P34_GDZ_MathZ30_printed_p649_canvas00000653_fullres.jpg,definition_typography_delta,CO-20260711-095,321,composition-series definition emphasis restored
P34,663,Noether_P34_GDZ_MathZ30_printed_p663_canvas00000667_fullres.jpg,no_secure_delta,none,329-330,end of section 12 and section 13 checked
P34,664,Noether_P34_GDZ_MathZ30_printed_p664_canvas00000668_fullres.jpg,no_secure_delta,none,330,minimal-condition and Peirce decomposition checked
P34,665,Noether_P34_GDZ_MathZ30_printed_p665_canvas00000669_fullres.jpg,no_secure_delta,none,330-331,left-right decompositions and section 14 opening checked
P34,666,Noether_P34_GDZ_MathZ30_printed_p666_canvas00000670_fullres.jpg,no_secure_delta,none,331,automorphism ring main theorem and matrix units checked
P34,667,Noether_P34_GDZ_MathZ30_printed_p667_canvas00000671_fullres.jpg,no_secure_delta,none,331-332,K construction conjugation and field formulas checked
P34,668,Noether_P34_GDZ_MathZ30_printed_p668_canvas00000672_fullres.jpg,no_secure_delta,none,332,converse center calculation full reducibility and inner automorphism theorem checked
