"row_type","witness_id","language_or_scope","topic_tags","source_title","source_url","source_type","local_path","text_or_ocr_path","sha256","text_sha256","bytes","text_bytes","access_metadata","license_or_access_signal","topic_confirmation_hits","evidence_status","next_gate","non_claim_boundary"
"control_file","CTRL-AGENTS","repository instructions","source-canon coordination","AGENTS.md","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","","6731","","local repo file hash","local control file","","observed","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_file","CTRL-COPILOT","repository instructions","source-canon coordination",".github/copilot-instructions.md","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","","2369","","local repo file hash","local control file","","observed","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_ledger","CTRL-PARENT","parent ledger","source-canon coordination","NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","","74012AA36521CE0E7D984F6CA60F98ADDF61E2621FAA980BE933DFF2294BB4B8","","498656","","local file hash","local coordination ledger","","observed","Use latest parent ledger as coordination anchor.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_ledger","CTRL-STEERING","source-canon steering","source-canon coordination","NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","","4993","","local file hash","local source-canon steering record","","observed","Use source-canon steering as coordination anchor.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"register_state","R2-REGISTER-BOUNDARY","R2 Pan-Turkic current register","R2 boundary; hard blockers unchanged","NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","","75220","","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","local normalized register","","r2_boundary_unchanged","Keep hard blockers explicit until exact source row, reviewer return, or authority/license/native-domain gate is satisfied.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"bounded_local_exact_scan","LOCAL-SCAN-TT","Tatar","Tatar; Noetherian ring; polynomial ring; local exact scan","outputs/sources bounded exact scan","","bounded_local_scan","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources","","not_a_single_file_scan","","","","rg fixed-string scan over outputs/sources text/html/md/csv/json; current pass","local provenance only","0 hits for Tatar exact hard-row phrases: Нотериан боҗрасы, Нётер боҗрасы, полиномнар боҗрасы, күпбуыннар боҗрасы","blocked_no_exact_tatar_source_row_current_local_scan","Exact Tatar source row, reviewer return, or OCR-capable Tatar algebra source.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"bounded_local_exact_scan","LOCAL-SCAN-KY","Kyrgyz","Kyrgyz; Noetherian ring; polynomial ring; local exact scan","outputs/sources bounded exact scan","","bounded_local_scan","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources","","not_a_single_file_scan","","","","rg fixed-string scan over outputs/sources text/html/md/csv/json; current pass","local provenance only","0 hits for Kyrgyz exact hard-row phrases: Нетер шакеги, Нётер шакеги, көп мүчөлөр шакеги, полиномдор шакеги","blocked_no_exact_kyrgyz_source_row_current_local_scan","Exact Kyrgyz source row, reviewer return, or Kyrgyz-capable OCR/source package.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"bounded_local_exact_scan","LOCAL-SCAN-TK","Turkmen","Turkmen; Noetherian ring; polynomial ring; local exact scan","outputs/sources bounded exact scan","","bounded_local_scan","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources","","not_a_single_file_scan","","","","rg fixed-string scan over outputs/sources text/html/md/csv/json; current pass","local provenance only","0 hits for Turkmen exact hard-row phrases: Nýoter halkasy, Noeter halkasy, polinom halkasy, köpagza halkasy","blocked_no_exact_turkmen_source_row_current_local_scan","Exact Turkmen source row, reviewer return, or Turkmen-capable OCR/source package.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"bounded_local_exact_scan","LOCAL-SCAN-UG","Uyghur","Uyghur; Noetherian ring; polynomial ring; local exact scan","outputs/sources bounded exact scan","","bounded_local_scan","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources","","not_a_single_file_scan","","","","rg fixed-string scan over outputs/sources text/html/md/csv/json; current pass","local provenance only; no license clearance","current scan found Uyghur exact candidate phrases in UYGUR.COM and Ewlat captures: كۆپ ئەزالىق ھالقا hits=6; نوئېتېر ھالقىسى hits=12","candidate_only_current_local_scan_no_promotion","Authority/license/native-domain review or reviewer return before downstream use.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"current_html_candidate_witness","UG-CUR-001","Uyghur","Uyghur; Noetherian ring; UYGUR.COM current capture","UYGUR.COM Noetherian ring current capture","https://wiki.uygur.com/noeter_halqisi/","captured_current_html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\hard_blocker_current_resweep_20260705\UG-CUR-001_uygur_com_noeter_halqisi.html","","51B67B1E804471F662E254572A9C6BD9479326494DA89A0F9D3303A9EB99DD93","","84368","","HTTP 200; Content-Type text/html; charset=UTF-8; captured 2026-07-05T06:55+02:00","public web page access; no blanket license-clearance claim","title/h1 exact phrase hits=2; English gloss line 333 Noetherian ring","captured_current_candidate_no_promotion","Authority/license/native-domain review or reviewer return before downstream use.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"current_html_candidate_witness","UG-CUR-002","Uyghur","Uyghur; polynomial ring; UYGUR.COM current capture","UYGUR.COM polynomial ring current capture","https://wiki.uygur.com/kop_ezaliq_halqa/","captured_current_html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\hard_blocker_current_resweep_20260705\UG-CUR-002_uygur_com_kop_ezaliq_halqa.html","","701FBA46C635C2B3C9C65BA83ADB05290B958E9D9B238E3EDFF41584F525F67F","","84393","","HTTP 200; Content-Type text/html; charset=UTF-8; captured 2026-07-05T06:55+02:00","public web page access; no blanket license-clearance claim","title/h1 exact phrase hits=2; English gloss line 333 polynomial ring","captured_current_candidate_no_promotion","Authority/license/native-domain review or reviewer return before downstream use.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"current_html_candidate_witness","UG-CUR-003","Uyghur","Uyghur; left Noetherian ring; UYGUR.COM current capture","UYGUR.COM left Noetherian ring current capture","https://wiki.uygur.com/sol_noeter_halqisi/","captured_current_html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\hard_blocker_current_resweep_20260705\UG-CUR-003_uygur_com_sol_noeter_halqisi.html","","97C54A25741ABF4DF79DC7F0FC5FF433DB7EAA84B490BFBD2648181F025207F6","","84422","","HTTP 200; Content-Type text/html; charset=UTF-8; captured 2026-07-05T06:55+02:00","public web page access; no blanket license-clearance claim","title/h1 exact phrase hits=2; English gloss line 333 left Noetherian ring","captured_current_related_candidate_no_promotion","Authority/license/native-domain review or reviewer return before downstream use.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"current_html_candidate_witness","UG-CUR-004","Uyghur","Uyghur; right Noetherian ring; UYGUR.COM current capture","UYGUR.COM right Noetherian ring current capture","https://wiki.uygur.com/ong_noeter_halqisi/","captured_current_html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\hard_blocker_current_resweep_20260705\UG-CUR-004_uygur_com_ong_noeter_halqisi.html","","F5229A90EF39447E3A4A026551AC011E7A4F0A33D7B79882471864AE0D3254A7","","84430","","HTTP 200; Content-Type text/html; charset=UTF-8; captured 2026-07-05T06:55+02:00","public web page access; no blanket license-clearance claim","title/h1 exact phrase hits=2; English gloss line 333 right Noetherian ring","captured_current_related_candidate_no_promotion","Authority/license/native-domain review or reviewer return before downstream use.","source-canon/provenance/gap support only; hard-blocker current resweep only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
