"category","count","note"
"branch_compare_files_total","151","files changed between 8f7 and c7fb from GitHub compare"
"branch_compare_r6_visible_or_adjacent","57","filtered R6/Indigenous/Creole/Sign/transfer-audit paths"
"branch_visible_audit_bodies_downloaded_or_attempted","5","transfer audit raw bodies attempted from c7fb compare raw_url"
"source_witness_continuity_rows","97","8f7 live-retry witness and sign/access separation carried to c7fb context"
"source_gated_scaffold_rows","6","draft/noncanonical support carry-forward rows; no scope widening"
"fable_source_use_adverse_rows","22","Fable/source-use/adverse evidence carry-forward rows"
"active_recovery_blocker_rows","30","source/reviewer/ethics blocker rows still open after c7fb replay"
"reviewer_ethics_boundary_rows","13","authority boundary rows from 8f7 integration carried forward"
"web_visible_official_route_rows","4","official route evidence rows retained as source-start/provenance only"
"local_retry_rows","6","local HTTP retry/recovery rows retained"
