decision_id,source_tranche,source_ledger_path,source_ledger_sha256,feature,decision,alternatives_considered,supporting_rationale,adverse_evidence,status,scope,evidence_tier,human_observations,native_validation,promotion_effect
G001,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,definite_article,invariant le; zero in headings and before bare symbols,la/las; zero article,avoids the prior Spanish-shaped la/las frame and is stable in number,French-looking and artificial for every cohort,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G002,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,indefinite_article,invariant un,un/una; un/le,high written recognizability and no gender agreement,Romanian and Portuguese gender systems diverge,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G003,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,plural,noun plus -s,Italian/Romanian vocalic plurals; invariant noun,broad Western written support and explicit marking,penalizes Italian Romanian and some Romansh readers,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G004,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,adjective,invariant and normally postnominal,agreement paradigms,reduces morphology and keeps technical stems stable,artificial for all standards,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G005,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,copula,invariant es for singular and plural,son; est; è; este,prevents undeclared alternation and is compact,French Italian Romanian forms diverge,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G006,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,lexical_present,one invariant third-person form listed in lexicon,full person paradigms,technical prose rarely needs person contrasts,verb stems need term-by-term review,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G007,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,passive_impersonal,se plus invariant verb,auxiliary passive,avoids participle agreement where agent is irrelevant,scope can be ambiguous and must be clause-checked,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G008,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,negation,non immediately before predicate,no; ne...pas,Galician Italian and learned support; fixed scope,Spanish Portuguese French Romanian differ,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G009,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,coordination,e / o / ma,y; et; i; și / ou; o,compact learned/western forms,connective layer has no universal attractor,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G010,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,relative,invariant que,care; che; qui,high cross-West transparency,Romanian and French penalties; subject/object ambiguity,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
