function_id,surface_form,function,construction_status,first_controlled_use,controlled_use_tranches,usage_check,spanish_comparators,french_comparators,exact_spanish_carrier,exact_french_carrier,dominance_diagnostic,supporting_rationale,adverse_evidence,human_observations,native_validation,promotion_effect,review_status
F001,le,invariant definite article,active_test_rule,R823_HG_T001:T-001,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,el|la|los|las,le|la|les,False,True,french_exact,One invariant article prevents gender and number alternation and rejects the failed la/las prototype.,Exact French carrier; artificial for every cohort and must be tested against zero article.,0,False,none,human_and_multibranch_review_required
F002,un,invariant indefinite article,active_test_rule,R823_HG_T001:T-002,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,un|una,un|une,True,True,both_exact,One analytic article prevents undeclared gender alternation.,"Exact Spanish and French carrier; Romanian, Italian, Portuguese and Romansh gender systems diverge.",0,False,none,human_and_multibranch_review_required
F003,-s,default noun plural suffix,active_test_rule,R823_HG_T001:T-001,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,structural_rule_not_token_counted,-s,-s,True,True,both_exact,Visible number marking with broad Western Romance support.,"Penalizes Italian, Romanian and part of Romansh; symbols and quantifiers should reinforce number.",0,False,none,human_and_multibranch_review_required
F004,es,invariant present copula,active_test_rule,R823_HG_T001:T-011,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,es|son,est|sont,True,False,spanish_exact,A single copula prevents the undeclared es/son alternation in the failed prototype.,"Exact Spanish singular carrier and divergent from French, Italian, Romanian and Romansh forms.",0,False,none,human_and_multibranch_review_required
F005,se,impersonal or definitional voice,active_test_rule,R823_HG_T001:T-005,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,se,se|on,True,True,both_exact,Avoids participial agreement where the agent is irrelevant.,Exact Spanish/French carrier; referential scope can be ambiguous and remains clause-mapped.,0,False,none,human_and_multibranch_review_required
F006,non,predicate negation,active_test_rule,R823_HG_T001:T-005,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,no,ne ... pas|non,False,True,french_exact,Pre-predicate position gives fixed visible scope and rotates away from bare Spanish no.,French formal non exists and ordinary standards diverge; double-negation behavior is undeclared.,0,False,none,human_and_multibranch_review_required
F007,e,additive coordination,active_test_rule,R823_HG_T001:T-002+T-003,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,y|e,et,True,False,spanish_exact,"Short coordinator with Portuguese, Galician and Italian support.",Spanish uses e as a conditioned allomorph; French and Romanian diverge.,0,False,none,human_and_multibranch_review_required
F008,o,alternative coordination,active_test_rule,R823_HG_T001:T-005,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,o|u,ou,True,False,spanish_exact,Short visible disjunction retained without a slash bundle.,Exact Spanish carrier and not neutral across the family.,0,False,none,human_and_multibranch_review_required
F009,ma,contrastive coordination,active_test_rule,R823_HG_T001:T-005+T-006,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T008,surface_sequence_found_in_target_tex,pero|sino|mas,mais,False,False,no_exact_dominant_carrier,Italian-like form separates contrast from additive coordination.,Italian-weighted; source German contrasts require clause-by-clause scope checks.,0,False,none,human_and_multibranch_review_required
F010,etiam,additive focus,active_test_operator_unreviewed,R823_HG_T001:T-008,R823_HG_T001;R823_HG_T003;R823_HG_T004;R823_HG_T005,surface_sequence_found_in_target_tex,tambien|ademas,aussi|egalement,False,False,no_exact_dominant_carrier,Learned form pairs with ma in the fixed non-solmente construction.,Unmotivated Latinism risk and no human evidence.,0,False,none,human_and_multibranch_review_required
F011,que,relative marker and complementizer,active_test_rule,R823_HG_T001:T-015,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,que,que|qui,True,True,both_exact,One invariant marker has broad Western written support.,Exact Spanish/French carrier; Romanian care and subject/object ambiguity remain penalties.,0,False,none,human_and_multibranch_review_required
F012,si,conditional antecedent marker,active_test_rule,R823_HG_T001:T-020,R823_HG_T001;R823_HG_T002;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007,surface_sequence_found_in_target_tex,si,si,True,True,both_exact,Fixed antecedent marker is always paired with an explicit consequent operator.,Exact dominant-standard carrier; accent and affirmative-si ambiguity require testing.,0,False,none,human_and_multibranch_review_required
F013,in tal caso,conditional consequent marker,active_test_rule,R823_HG_T001:T-020,R823_HG_T001;R823_HG_T003;R823_HG_T004;R823_HG_T005;R823_HG_T007,surface_sequence_found_in_target_tex,en tal caso|entonces,dans ce cas|alors,False,False,no_exact_dominant_carrier,Explicit consequent avoids the ambiguous old alora form.,Analytic and artificial; no standard uses this exact sequence identically.,0,False,none,human_and_multibranch_review_required
F014,dunque,inference or result operator,active_test_operator_unreviewed,R823_HG_T004:T-042,R823_HG_T004;R823_HG_T005;R823_HG_T008,surface_sequence_found_in_target_tex,por tanto|entonces,donc|ainsi,False,False,no_exact_dominant_carrier,Italian-shaped operator avoids making Spanish entonces or French donc the sole carrier.,Italian dominance and register risk; no native or cohort review.,0,False,none,human_and_multibranch_review_required
F015,assi,summary or consequence operator,active_test_operator_unreviewed,R823_HG_T002:T-025A,R823_HG_T002;R823_HG_T004;R823_HG_T005;R823_HG_T006;R823_HG_T007,surface_sequence_found_in_target_tex,asi,ainsi,False,False,no_exact_dominant_carrier,A distinct written form separates the operator from Spanish ahora and French donc.,May be parsed as archaic or invented; orthographic resemblance is not comprehension evidence.,0,False,none,human_and_multibranch_review_required
F016,nam,explicit causal/explanatory operator,active_test_operator_unreviewed,R823_HG_T004:T-050,R823_HG_T004;R823_HG_T005;R823_HG_T007;R823_HG_T008,surface_sequence_found_in_target_tex,pues|porque,car|puisque,False,False,no_exact_dominant_carrier,A fixed short operator prevents free mixing of Spanish and French causal conjunctions.,Strong Latinism and likely unfamiliar to several cohorts.,0,False,none,human_and_multibranch_review_required
