inventory_id,tranche,term_id,source_term,target_term,sense,construction_status,source_evidence,source_ledger_path,source_ledger_sha256,effective_wordweb_link,semantic_compatibility_status,semantic_compatibility_rationale,alternatives_or_crosswalk,adverse_evidence,source_rationale,comparison_method,spanish_comparators,french_comparators,exact_spanish_carrier,exact_french_carrier,dominance_diagnostic,attestation_effect,human_observations,native_validation,promotion_effect
L001,R823_HG_T001,HG01,Vorlesung,curso,academic lecture/course,construction_candidate,R823:21049,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,lection; lezione; curs,No eight-language source row yet,Short common academic form; native review required,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L002,R823_HG_T001,HG02,allgemeine Darstellungstheorie,teoria general de representation,general representation theory,construction_candidate,R823:21049,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T17-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,théorie des représentations; teoria de representaciones,representation ordinary-language senses,Uses the learned shared stem while keeping the concept sense-scoped,effective_sense_link,representación,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L003,R823_HG_T001,HG03,Ring,anel,noncommutative ring,construction_candidate,R823:21049;21051;21059,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T01-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anillo; anneau; anello; inel; rintg,ordinary ring object,Branch-balanced v2 candidate; not promoted as intelligible,source_term_exact,anillo,anneau,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L004,R823_HG_T001,HG04,endliche Gruppe,grup finit,finite group,construction_candidate,R823:21049,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T39-S1;T29-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,grupo finito; groupe fini; gruppo finito,finite cardinality must not become finitely generated,Uses attested Catalan/Romanian consonantal group stem and invariant adjective,effective_sense_link,finito;grupo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L005,R823_HG_T001,HG05,hyperkomplexes Zahlensystem,sistem numeric hypercomplex,historical hypercomplex number system,source_preserving_candidate,R823:21049,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,sistema de números hipercomplexos; système hypercomplexe,not silently modernized to algebra,Preserves historical conceptual framing,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L006,R823_HG_T001,HG06,Gruppenring,anel de grup,group ring,productive_compound_candidate,R823:21051,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T01-S1;T39-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anillo de grupo; anneau de groupe; anello gruppale,compound relation may lexicalize differently,Transparent analytic compound,source_term_exact,anillo de grupo,anneau de groupe,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L007,R823_HG_T001,HG07,Ideal,ideal,two-sided ideal unless qualified,construction_candidate,R823:21051,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T06-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,ideale,ordinary adjective ideal,Shared learned technical noun; first use remains sense-tagged,source_term_exact,ideal,,True,False,spanish_exact,none_existing_evidence_only,0,False,none
L008,R823_HG_T001,HG08,Rechnung,calculation,mathematical calculation,construction_candidate,R823:21051,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,cálculo; calcul; calcolo,ordinary planning/accounting senses,Learned transparent stem,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L009,R823_HG_T001,HG09,Untergruppe,subgrup,subgroup,construction_candidate,R823:21051,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T40-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,subgrupo; sous-groupe; sottogruppo,productive prefixes diverge,Uses shared sub- plus consonantal grup,source_term_exact,subgrupo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L010,R823_HG_T001,HG10,Galoissche Theorie,teoria de Galois,Galois theory,construction_candidate,R823:21051,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T26-S3,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,théorie de Galois; teoria di Galois,proper name alone underspecifies sense,Analytic compound,effective_sense_link,de Galois,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L011,R823_HG_T001,HG11,nichtkommutativer Körper,corp noncommutativ,historical noncommutative field/division ring,source_preserving_with_modern_note,R823:21051,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T03-S2,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anel de division; corps gauche; anello di divisione,body and physical-field senses,Preserves historical wording; glossary supplies modern division-ring crosswalk,source_term_exact,cuerpo no conmutativo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L012,R823_HG_T001,HG12,Arbeit,articulo,scholarly article,construction_candidate,R823:21053,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,article; articolo; artigo,work/labor sense avoided,Explicit scholarly genre,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
